"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	0.9319473	1.0000000	0.4614712	0.1342781	0.0757426	0.2348311	0.0529789	0.1774859	0.3099294	0.1231885	0.1949759	0.0402923	0.0013093	0.6747698	0.9724665	0.0202024	0.0834211	0.4882706	0.2240128	0.4025662
250	0.9421883	1.0000000	0.4614712	0.1297908	0.0737738	0.3071683	0.0496565	0.1774857	0.3183299	0.1219453	0.1949759	0.0402916	0.0004807	0.6818776	0.9724675	0.0202024	0.0808385	0.4882703	0.2240124	0.4025662
300	0.9470025	1.0000000	0.4614712	0.1281184	0.0732831	0.3532084	0.0497139	0.1774856	0.3224660	0.1215636	0.1949759	0.0402913	0.0001762	0.6852864	0.9724679	0.0202023	0.0799979	0.4882702	0.2240123	0.4025661
350	0.9491897	1.0000000	0.4614712	0.1275067	0.0731611	0.3781024	0.0503122	0.1774855	0.3243373	0.1214505	0.1949759	0.0402912	0.0000646	0.6868788	0.9724681	0.0202023	0.0797270	0.4882701	0.2240122	0.4025661
400	0.9501599	1.0000000	0.4614712	0.1272854	0.0731308	0.3901900	0.0507645	0.1774855	0.3251377	0.1214177	0.1949759	0.0402911	0.0000237	0.6876104	0.9724682	0.0202023	0.0796401	0.4882701	0.2240122	0.4025661
450	0.9505827	1.0000000	0.4614712	0.1272058	0.0731233	0.3956400	0.0510181	0.1774855	0.3254669	0.1214084	0.1949759	0.0402911	0.0000087	0.6879429	0.9724683	0.0202023	0.0796123	0.4882701	0.2240122	0.4025661
500	0.9507644	1.0000000	0.4614712	0.1271772	0.0731214	0.3979703	0.0511426	0.1774855	0.3255984	0.1214057	0.1949759	0.0402911	0.0000032	0.6880928	0.9724683	0.0202023	0.0796034	0.4882701	0.2240122	0.4025661
550	0.9054464	1.0000000	0.4614712	0.1849480	0.2521415	0.3639425	0.2374473	0.1774855	0.3224976	0.1496863	0.1949759	0.0402911	0.0168036	0.6565590	0.9724683	0.0202023	0.1450313	0.4882701	0.2240122	0.4025661
600	0.8468734	1.0000000	0.4614712	0.2420340	0.3564574	0.2436088	0.3528900	0.1774855	0.3063496	0.1749314	0.1949759	0.0402911	0.0305424	0.6162892	0.9724683	0.0202023	0.1989752	0.4882701	0.2240122	0.4025661
650	0.8086707	1.0000000	0.4614712	0.2700824	0.3867204	0.1423088	0.3591321	0.1774855	0.2859903	0.1857725	0.1949759	0.0402910	0.0364002	0.5901703	0.9724683	0.0202023	0.2210414	0.4882701	0.2240122	0.4025661
700	0.7879960	1.0000000	0.4614712	0.2817063	0.3945539	0.0870502	0.3391611	0.1774855	0.2708273	0.1896137	0.1949759	0.0402910	0.0386355	0.5759911	0.9724683	0.0202023	0.2287992	0.4882701	0.2240122	0.4025661
750	0.7777580	1.0000000	0.4614712	0.2861934	0.3965226	0.0617720	0.3223513	0.1774855	0.2620598	0.1908568	0.1949759	0.0402910	0.0394640	0.5688869	0.9724683	0.0202023	0.2313818	0.4882701	0.2240122	0.4025661
800	0.7729451	1.0000000	0.4614712	0.2878657	0.3970133	0.0511849	0.3125680	0.1774855	0.2576648	0.1912385	0.1949759	0.0402910	0.0397685	0.5654798	0.9724683	0.0202023	0.2322223	0.4882701	0.2240122	0.4025661
850	0.7707583	1.0000000	0.4614712	0.2884774	0.3971353	0.0469671	0.3076711	0.1774855	0.2556496	0.1913517	0.1949759	0.0402910	0.0398801	0.5638881	0.9724683	0.0202023	0.2324932	0.4882701	0.2240122	0.4025661
900	0.7697883	1.0000000	0.4614712	0.2886987	0.3971657	0.0453379	0.3054173	0.1774855	0.2547792	0.1913844	0.1949759	0.0402910	0.0399210	0.5631568	0.9724683	0.0202023	0.2325801	0.4882701	0.2240122	0.4025661
950	0.7693657	1.0000000	0.4614712	0.2887783	0.3971732	0.0447211	0.3044347	0.1774855	0.2544186	0.1913937	0.1949759	0.0402910	0.0399360	0.5628245	0.9724683	0.0202023	0.2326079	0.4882701	0.2240122	0.4025661
1000	0.7691840	1.0000000	0.4614712	0.2888068	0.3971751	0.0444909	0.3040223	0.1774855	0.2542738	0.1913964	0.1949759	0.0402910	0.0399415	0.5626746	0.9724683	0.0202023	0.2326168	0.4882701	0.2240122	0.4025661

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7690349	1.0000000	0.2558966	0.2888238	0.3977705	0.0284823	0.3037224	0.1300225	0.2094121	0.1913974	0.1283580	0.0274013	0.0399460	0.5625332	0.9724484	0.0202042	0.2326212	0.4658279	0.2240197	0.4025684
100	0.7690443	1.0000000	0.0992016	0.2888231	0.4120630	0.0130724	0.3037356	0.0930516	0.1711609	0.1913974	0.0641346	0.0157500	0.0399452	0.5625442	0.9724594	0.0202030	0.2326211	0.4376375	0.2240154	0.4025670
150	0.7690482	1.0000000	0.0429778	0.2888228	0.5355006	0.0057889	0.3037408	0.0776060	0.1551065	0.1913974	0.0336334	0.0100237	0.0399448	0.5625491	0.9724643	0.0202026	0.2326210	0.4198157	0.2240136	0.4025664
200	0.7690498	1.0000000	0.0263679	0.2888228	0.7592352	0.0029461	0.3037429	0.0715274	0.1493950	0.1913974	0.0214951	0.0074511	0.0399447	0.5625513	0.9724665	0.0202024	0.2326210	0.4104646	0.2240128	0.4025662
250	0.7690505	1.0000000	0.0218877	0.2888227	0.8940470	0.0019326	0.3037436	0.0691434	0.1474920	0.1913974	0.0170207	0.0063177	0.0399447	0.5625523	0.9724675	0.0202024	0.2326210	0.4059729	0.2240124	0.4025662
300	0.7690507	1.0000000	0.0207414	0.2888227	0.9459229	0.0015900	0.3037439	0.0682086	0.1468771	0.1913974	0.0154358	0.0058206	0.0399447	0.5625527	0.9724679	0.0202023	0.2326210	0.4039236	0.2240123	0.4025661
350	0.7690508	1.0000000	0.0204580	0.2888227	0.9628171	0.0014781	0.3037440	0.0678420	0.1466815	0.1913974	0.0148870	0.0056029	0.0399447	0.5625529	0.9724681	0.0202023	0.2326210	0.4030195	0.2240122	0.4025661
400	0.7690509	1.0000000	0.0203895	0.2888227	0.9679278	0.0014424	0.3037441	0.0676982	0.1466197	0.1913974	0.0146995	0.0055075	0.0399447	0.5625530	0.9724682	0.0202023	0.2326210	0.4026299	0.2240122	0.4025661
450	0.7690509	1.0000000	0.0203733	0.2888227	0.9694118	0.0014313	0.3037441	0.0676419	0.1466003	0.1913974	0.0146360	0.0054658	0.0399447	0.5625530	0.9724683	0.0202023	0.2326210	0.4024648	0.2240122	0.4025661
500	0.7690509	1.0000000	0.0203695	0.2888227	0.9698309	0.0014279	0.3037441	0.0676198	0.1465942	0.1913974	0.0146146	0.0054475	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4023959	0.2240122	0.4025661
550	0.7690509	1.0000000	0.2259433	0.2888227	0.7680910	0.0172936	0.3037441	0.1009047	0.1913541	0.1913974	0.0812259	0.0183437	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4248172	0.2240122	0.4025661
600	0.7690509	1.0000000	0.3826381	0.2888227	0.5139224	0.0327082	0.3037441	0.1247097	0.2296097	0.1913974	0.1454465	0.0299833	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4529913	0.2240122	0.4025661
650	0.7690509	1.0000000	0.4388619	0.2888227	0.4284090	0.0399934	0.3037441	0.1450231	0.2456656	0.1913974	0.1759468	0.0357045	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4708064	0.2240122	0.4025661
700	0.7690509	1.0000000	0.4554718	0.2888227	0.4051903	0.0428368	0.3037441	0.1607253	0.2513776	0.1913974	0.1880847	0.0382750	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4801549	0.2240122	0.4025661
750	0.7690509	1.0000000	0.4599519	0.2888227	0.3992082	0.0438505	0.3037441	0.1697835	0.2532808	0.1913974	0.1925591	0.0394074	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4846455	0.2240122	0.4025661
800	0.7690509	1.0000000	0.4610982	0.2888227	0.3976893	0.0441932	0.3037441	0.1741751	0.2538958	0.1913974	0.1941439	0.0399040	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4866944	0.2240122	0.4025661
850	0.7690509	1.0000000	0.4613817	0.2888227	0.3973053	0.0443051	0.3037441	0.1761160	0.2540915	0.1913974	0.1946927	0.0401215	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4875983	0.2240122	0.4025661
900	0.7690509	1.0000000	0.4614501	0.2888227	0.3972084	0.0443407	0.3037441	0.1769313	0.2541533	0.1913974	0.1948802	0.0402168	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4879879	0.2240122	0.4025661
950	0.7690509	1.0000000	0.4614663	0.2888227	0.3971839	0.0443519	0.3037441	0.1772641	0.2541727	0.1913974	0.1949437	0.0402585	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4881529	0.2240122	0.4025661
1000	0.7690509	1.0000000	0.4614701	0.2888227	0.3971778	0.0443553	0.3037441	0.1773978	0.2541788	0.1913974	0.1949651	0.0402768	0.0399447	0.5625531	0.9724683	0.0202023	0.2326210	0.4882218	0.2240122	0.4025661

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7843469	1.0000000	0.4614712	0.1929981	0.3971757	0.0509844	0.2843319	0.1491537	0.1484249	0.1868494	0.1588031	0.0403055	0.0399460	0.6684152	0.9724484	0.0202042	0.2137354	0.4299191	0.1625681	0.4025684
100	0.8041242	1.0000000	0.4614712	0.0983180	0.3971757	0.1495633	0.3345499	0.1321459	0.0580503	0.1827895	0.1239300	0.0402974	0.0399452	0.8034546	0.9724594	0.0202030	0.1981647	0.3566452	0.1166546	0.4025670
150	0.8170186	1.0000000	0.4614712	0.0517992	0.3971757	0.4474708	0.4854741	0.1253954	0.0201198	0.1810461	0.1073679	0.0402938	0.0399448	0.8910178	0.9724643	0.0202026	0.1917955	0.3103204	0.0961256	0.4025664
