"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.1755898	0.7271891	0.5376305	0.7455054	0.3693214
750	0.1523225	0.6907782	0.4468064	0.6179707	0.3475987
800	0.2487685	0.6113971	0.6034960	0.5738513	0.3829964
850	0.1503074	0.5722916	0.4481548	0.6580005	0.3486550
900	0.1523442	0.6525356	0.4716843	0.7179376	0.3722301
950	0.1317893	0.7944972	0.5132344	0.5754273	0.3734905
1000	0.1560174	0.6779398	0.4961445	0.4543488	0.3957643

0	0.1773866	0.6464749	0.5570470	0.6956076	0.3280184
50	0.0837691	0.6806279	0.4463407	0.5654111	0.4460558
100	0.1045800	0.6573458	0.6087267	0.6123279	0.7296675
150	0.0909471	0.6002587	0.5246470	0.6478797	0.6485663
200	0.0765992	0.6268278	0.5308594	0.7743665	0.6991900
250	0.0463412	0.6864359	0.5440447	0.7180228	0.6509461
300	0.0801049	0.6968566	0.5271223	0.6235571	0.6930216
350	0.0849501	0.6319724	0.4900107	0.7184349	0.7479390
400	0.0608458	0.7658369	0.5654186	0.6072362	0.7343389
450	0.0947364	0.6536395	0.4727585	0.6589654	0.6491875
500	0.0962808	0.6217486	0.5297385	0.6472599	0.7701414
550	0.1835644	0.6554034	0.5315538	0.6766176	0.4625637
600	0.1962031	0.5663732	0.4528031	0.6165792	0.4264699
650	0.1785957	0.5981082	0.3458465	0.6287212	0.3825284
700	0.1777719	0.6027093	0.4437584	0.5423371	0.4010513
750	0.1272823	0.6019662	0.4399526	0.7013692	0.3672495
800	0.1713718	0.6500180	0.4379835	0.6338283	0.3718221
850	0.1526761	0.6783045	0.4292862	0.7165724	0.4226455
900	0.1251624	0.6407744	0.4726133	0.6173651	0.3484089
950	0.1686887	0.6776200	0.4024366	0.6659442	0.3119391
1000	0.1835563	0.7658869	0.5151435	0.5985939	0.3171784

0	0.1916981	0.5515637	0.4775571	0.7104498	0.4094933
50	0.1558959	0.6901647	0.4774228	0.5021120	0.3663716
100	0.1209992	0.6424633	0.4290993	0.4709519	0.3931967
150	0.1311198	0.6229434	0.5157382	0.5256068	0.3644816
