"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.2474973	0.9997529	0.7385682	0.9192857	0.5415851
750	0.2450466	0.9999580	0.7432133	0.9192172	0.5420953
800	0.2440971	0.9999929	0.7451836	0.9190872	0.5420634
850	0.2437389	0.9999988	0.7459786	0.9190043	0.5419783
900	0.2436053	0.9999998	0.7462899	0.9189632	0.5419246
950	0.2435557	1.0000000	0.7464096	0.9189450	0.5418985
1000	0.2435373	1.0000000	0.7464550	0.9189375	0.5418871

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.1160803	1.0000000	0.7457458	0.9822814	0.8947201
100	0.0993661	1.0000000	0.7448528	0.9958978	0.9703808
150	0.0971740	1.0000000	0.7444861	0.9988237	0.9866077
200	0.0968866	1.0000000	0.7443624	0.9994524	0.9900881
250	0.0968489	1.0000000	0.7443232	0.9995874	0.9908346
300	0.0968439	1.0000000	0.7443112	0.9996164	0.9909947
350	0.0968433	1.0000000	0.7443075	0.9996226	0.9910290
400	0.0968432	1.0000000	0.7443065	0.9996240	0.9910364
450	0.0968432	1.0000000	0.7443062	0.9996243	0.9910380
500	0.0968432	1.0000000	0.7443061	0.9996243	0.9910383
550	0.2242894	1.0000000	0.7444929	0.9320008	0.6315812
600	0.2410037	1.0000000	0.7452217	0.9200724	0.5578984
650	0.2431957	1.0000000	0.7459036	0.9187024	0.5443063
700	0.2434832	1.0000000	0.7462611	0.9187627	0.5421369
750	0.2435209	1.0000000	0.7464061	0.9188670	0.5418707
800	0.2435258	1.0000000	0.7464576	0.9189116	0.5418625
850	0.2435265	1.0000000	0.7464746	0.9189265	0.5418723
900	0.2435265	1.0000000	0.7464800	0.9189309	0.5418771
950	0.2435266	1.0000000	0.7464816	0.9189321	0.5418787
1000	0.2435266	1.0000000	0.7464821	0.9189325	0.5418792

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2435266	1.0000000	0.7464821	0.9189346	0.5418861
100	0.2435266	1.0000000	0.7464823	0.9189331	0.5418811
150	0.2435266	1.0000000	0.7464823	0.9189327	0.5418798
200	0.2435266	1.0000000	0.7464823	0.9189326	0.5418795
250	0.2435266	1.0000000	0.7464823	0.9189326	0.5418795
300	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
350	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
400	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
450	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
500	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
550	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
600	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
650	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
700	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
750	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
800	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
850	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
900	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
950	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
1000	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2739087	0.3661672	0.7161776	0.9182988	0.5335345
100	0.3640296	0.2585304	0.6140255	0.9103869	0.4785223
