"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2523870	0.9552830	0.7982117	1.0216073	0.5158499
50	0.2440808	1.0081747	0.8697750	1.0588739	0.5539044
100	0.2643010	0.9898642	0.8285845	1.0803723	0.6110621
150	0.2608388	1.0638418	0.8689979	0.9860077	0.4963713
200	0.2086585	1.0257841	0.8278516	0.9771439	0.4997170
250	0.1879756	1.0071544	0.9173945	0.9791569	0.4808010
300	0.2411489	1.0378747	0.8513711	0.9401980	0.5226018
350	0.2517160	0.9981192	0.8991134	0.9706074	0.5791020
400	0.2900916	1.0228234	0.9421920	0.9897846	0.5476209
450	0.2552272	1.0933411	0.8560252	0.9214905	0.5839255
500	0.2258561	1.0374581	0.8184475	0.9368399	0.5021820
550	0.2230373	0.9827224	0.7759191	0.8956888	0.5896122
600	0.2551781	1.0310658	0.7075180	0.9515053	0.5691811
650	0.2571781	0.9209875	0.7753443	0.9921370	0.5719469
700	0.2570432	1.0055267	0.8244057	1.0018871	0.5506187
750	0.2360092	0.9896960	0.7367146	0.9769596	0.5681600
800	0.2068061	0.9565264	0.7308525	0.9824846	0.5702644
850	0.2385106	0.9941704	0.7544750	1.0045198	0.5565292
900	0.2014767	0.9257772	0.8351691	0.9199476	0.6523985
950	0.2404370	0.9884497	0.8146205	0.8350897	0.5243341
1000	0.2278460	1.0341716	0.7516619	0.8509853	0.4893216

0	0.2523870	0.9552830	0.7982117	1.0216073	0.5158499
50	0.2517793	0.8616323	0.7624585	0.9508341	0.5536568
100	0.2918182	0.8515674	0.6644580	0.9707744	0.5889682
150	0.2989782	0.8552843	0.6856763	1.0078919	0.5877957
200	0.3013217	0.8746002	0.8069109	1.0679463	0.5699933
250	0.2756170	0.8842169	0.8074144	0.9891229	0.5618138
300	0.3203304	0.8615330	0.7845648	1.0245960	0.6340903
350	0.3715667	0.9045483	0.8322524	0.9648884	0.6258842
400	0.3019494	0.8875611	0.7054779	1.0905208	0.6152652
450	0.2619427	0.8258923	0.7163404	1.0440984	0.5576626
500	0.2523182	0.8595443	0.6481084	1.0376000	0.4990761
550	0.2479581	0.8770886	0.6810535	0.9696595	0.5101898
600	0.2302674	0.8958399	0.7134068	0.9530397	0.4628110
650	0.2545494	1.0274199	0.8048726	0.9037101	0.5288605
700	0.2528483	1.0809527	0.7673332	1.0521585	0.4935151
750	0.2563809	1.0919500	0.7774871	0.8586269	0.5386992
800	0.2338320	0.9439626	0.7635532	0.8876585	0.5611609
850	0.2788429	0.9046561	0.7760384	0.8696788	0.4402624
900	0.3040268	0.9454599	0.8773754	0.9409419	0.4897482
950	0.2848945	0.9231630	0.8401236	0.9054112	0.5682850
1000	0.2938684	1.0602592	0.6676248	1.0393099	0.5569596

0	0.2523870	0.9552830	0.7982117	1.0216073	0.5158499
50	0.2350141	0.8858107	0.8073551	0.9239047	0.7089191
100	0.2293990	0.9476672	0.7471086	1.0000050	0.8837311
150	0.2460685	0.9542884	0.8029173	1.0017400	1.0012725
200	0.2614775	0.9380882	0.7684516	0.9365824	1.1287321
250	0.2745781	0.9369705	0.7546396	0.9135226	0.9520208
300	0.2299373	0.9804851	0.8105950	0.9435107	0.9494383
350	0.3008429	1.0049124	0.7190402	0.8710528	0.9936597
400	0.2496946	1.0102155	0.7306610	0.8552671	1.0038478
450	0.2574068	1.0430891	0.7278389	0.8630337	1.0019737
500	0.2402595	1.0877292	0.7748032	0.9275480	1.0039664
550	0.2003700	0.9424799	0.8195733	0.8906967	0.8260449
600	0.2360953	0.8793585	0.7738439	0.9477247	0.6144535
650	0.2813326	0.9252572	0.7517664	0.9544381	0.5492771
700	0.2334172	0.9712115	0.7904732	0.9342979	0.5530823
750	0.2544067	0.9980193	0.7245389	1.0000408	0.5309417
800	0.2725552	0.9857132	0.8037142	1.0105725	0.5918477
850	0.2629030	1.0148452	0.7481717	0.9530302	0.5350495
900	0.2650372	0.9697304	0.7984768	0.8273971	0.4931287
950	0.2484663	0.9644372	0.7024059	0.9518250	0.4917484
1000	0.2309362	0.9599335	0.7382693	0.9561226	0.5923609

0	0.2523870	0.9552830	0.7982117	1.0216073	0.5158499
50	0.2503021	1.0423354	0.7711558	1.0203219	0.5184812
100	0.2493644	0.9944149	0.7503333	0.9700497	0.5511628
150	0.2432050	0.9862053	0.7515444	0.9295396	0.5706887
200	0.2722108	0.9819040	0.7545401	0.8646871	0.6355976
250	0.2595534	0.9723195	0.7246434	0.9078956	0.5978429
300	0.2594997	0.9609331	0.7914093	0.8400921	0.6402949
350	0.2566572	1.0013275	0.8207789	0.8562163	0.5794611
400	0.2564100	0.9446502	0.7502223	0.9036821	0.5537209
450	0.2074453	0.9972097	0.7349514	0.9750926	0.4459463
500	0.2630433	0.9434939	0.7061527	0.9341604	0.4953456
550	0.2637442	0.9263133	0.6786308	0.9725541	0.5694313
600	0.2897137	1.0781244	0.6945664	0.9300986	0.5391968
650	0.2644714	1.0388284	0.6514172	0.9004226	0.5611514
700	0.2536704	1.1914849	0.7669245	0.9951421	0.5948175
750	0.2760580	1.0974233	0.7620830	0.9376161	0.5001121
