"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7940806	0.2442460	1.0191913	0.0909643	0.0444026	0.1185606	0.6046101	0.2520284	0.1324175	0.0608659	0.4482119	0.9783447	0.0592062	0.4628839	0.9771003	0.0049123	0.1097537	0.5472320	0.0761430	0.6181854
50	0.7291627	0.2175798	1.0287277	0.0182923	0.1358400	0.0825384	0.6656564	0.1807023	0.1125240	0.0422052	0.5462802	1.0483095	0.0498834	0.3917897	0.9807421	0.0094210	0.0706706	0.4534693	0.0987795	0.6042970
100	0.8432678	0.2481523	0.9935125	0.0091589	0.2589622	0.0788126	0.7932846	0.2121256	0.0656529	0.0286945	0.7031960	0.9839473	0.0667970	0.2867072	1.0279702	0.0112986	0.0429027	0.3891076	0.0775990	0.6470082
150	0.7745800	0.2528853	1.0452514	0.0036948	0.3667125	0.1026947	0.7652924	0.1790403	0.0770774	0.0178459	0.8251429	1.0418838	0.0404337	0.2024474	1.0773628	0.0105622	0.0157391	0.3845905	0.0759926	0.6246692
200	0.8942070	0.2812958	0.9549363	0.0001878	0.3871912	0.1338705	0.7444186	0.2318138	0.0612563	0.0497258	0.8999131	0.9895978	0.0529490	0.1723256	1.1308261	0.0117451	0.0202032	0.4977887	0.0925596	0.6235120
250	0.8836214	0.3004293	1.0560427	0.0000000	0.4184572	0.1827049	0.8773373	0.2510785	0.0664280	0.0402958	0.9875883	1.0999363	0.0591356	0.1466130	0.9951805	0.0227753	0.0215354	0.5539850	0.0701051	0.6263990
300	0.8523364	0.2495812	1.0065172	0.0064447	0.4366928	0.1825191	0.9003812	0.2111474	0.0567338	0.0430643	1.0163344	1.0286843	0.0879065	0.1608604	1.0362707	0.0116557	0.0092765	0.5416670	0.0706193	0.6151968
350	0.9903214	0.2698989	1.0512218	0.0057079	0.4774858	0.1932156	0.8982197	0.2268831	0.0786857	0.0243897	0.9807387	1.0117968	0.0850881	0.2078040	1.1237413	0.0072134	0.0044070	0.5872830	0.0852995	0.5880533
400	0.9257597	0.2042294	1.1093252	0.0016200	0.4722383	0.1975969	0.9499601	0.2625944	0.0842153	0.0380314	0.9826673	1.0152498	0.0549417	0.1820285	0.9965420	0.0143771	0.0050485	0.5855867	0.0740522	0.5736040
450	0.7702400	0.2155385	1.0328388	0.0020845	0.4755129	0.2034931	0.8704128	0.2199947	0.0632549	0.0406960	1.0071493	1.0389375	0.0564387	0.1965683	1.0242981	0.0317890	0.0154818	0.5028196	0.1085359	0.5654520
500	0.7716348	0.2084983	1.0542910	0.0039138	0.4133222	0.1637745	0.7204977	0.1998315	0.0398087	0.0451467	0.9501246	0.9930028	0.0313732	0.1780752	1.0146006	0.0168141	0.0102232	0.4984765	0.0878153	0.6178857
550	0.7182262	0.2761732	1.1345938	0.0308982	0.3960433	0.1240843	0.7248839	0.1969662	0.0624517	0.0583341	0.8000766	0.9148630	0.0477599	0.2648916	0.9523260	0.0076197	0.0564750	0.5197812	0.1011929	0.5871657
600	0.7195221	0.2125982	1.0361091	0.0217734	0.2350665	0.1026357	0.6360022	0.2007135	0.0806819	0.0561698	0.6540855	0.9742103	0.0637393	0.3447453	1.0339572	0.0082743	0.0963034	0.5717365	0.0634849	0.5488868
650	0.6378837	0.1908791	1.0613665	0.0635904	0.1306427	0.1259201	0.5821470	0.1795106	0.0660587	0.0443528	0.5077842	1.0340030	0.0675257	0.3542966	1.0430534	0.0091015	0.0956599	0.4933112	0.0426506	0.5596088
700	0.5797689	0.1896687	1.0775043	0.0779191	0.1001407	0.0586569	0.4964143	0.2068296	0.0636972	0.0277090	0.4223092	0.9489522	0.0525127	0.3854573	1.0052869	0.0055653	0.0624846	0.4373379	0.0462978	0.6108099
750	0.6148359	0.1991964	0.8834017	0.0288985	0.0740712	0.0261560	0.3740185	0.2199042	0.0646281	0.0628920	0.4056142	0.9520029	0.0604274	0.3497279	1.0444009	0.0039935	0.0668820	0.3754551	0.0412963	0.5641326
800	0.7256603	0.2606060	0.9551857	0.0619535	0.0726043	0.0523647	0.3707000	0.1994986	0.1007657	0.0321067	0.4219386	0.9777853	0.0722138	0.4127571	1.0610387	0.0106974	0.1089113	0.4079131	0.0423778	0.5410031
850	0.7265953	0.2877157	0.9170699	0.0578951	0.0404061	0.0585831	0.4634007	0.2280497	0.0952925	0.0433085	0.4267724	1.1076390	0.0624851	0.4483808	1.0597972	0.0079629	0.1291638	0.4144540	0.0620105	0.5476729
900	0.8085864	0.2835141	0.9946391	0.0587553	0.0321835	0.0879078	0.6431559	0.2279885	0.0960590	0.0222721	0.4174319	1.0394158	0.0658145	0.5068981	1.1024744	0.0068237	0.1315516	0.4845825	0.0733661	0.5567182
950	0.7450338	0.2606815	0.9657409	0.0899663	0.0400126	0.1030896	0.6783600	0.2910890	0.0724383	0.0460180	0.4269418	1.0935328	0.0856387	0.4459558	0.9250737	0.0043251	0.1116131	0.5557082	0.0718766	0.5897436
1000	0.7426294	0.2561510	0.9541463	0.0454331	0.0554012	0.1068387	0.6661222	0.2512634	0.0694454	0.0347807	0.3344504	1.0238310	0.0747025	0.4386853	0.9262901	0.0047859	0.1228188	0.4806222	0.0835735	0.5377492

0	0.7940806	0.2442460	1.0191913	0.0909643	0.0444026	0.1185606	0.6046101	0.2520284	0.1324175	0.0608659	0.4482119	0.9783447	0.0592062	0.4628839	0.9771003	0.0049123	0.1097537	0.5472320	0.0761430	0.6181854
50	0.6007678	0.2447513	0.8561036	0.0608834	0.1790870	0.0341278	0.4539872	0.1510522	0.1041771	0.0418611	0.3729409	0.9208956	0.0855285	0.4630816	0.9107112	0.0154146	0.0901812	0.3799523	0.0638644	0.5085023
100	0.6633641	0.3513125	0.6983341	0.0407629	0.3127604	0.0442251	0.4665567	0.1650463	0.0770123	0.0486316	0.3459345	0.9390101	0.0680884	0.3996827	0.9492640	0.0188585	0.1207633	0.4560465	0.0941971	0.5341322
150	0.7551522	0.4142943	0.5538930	0.0149567	0.4147092	0.0834013	0.5038639	0.2270919	0.1269370	0.0724113	0.3580235	1.0213868	0.0560388	0.4726951	1.0244684	0.0140827	0.1799360	0.5137126	0.1254190	0.4915022
200	0.8555099	0.4980073	0.5043086	0.0011075	0.4772889	0.2362628	0.7053117	0.3632502	0.2415389	0.0802318	0.4376803	1.0198988	0.1133737	0.4935861	1.0229250	0.0147479	0.3164115	0.6429315	0.1693891	0.6377873
250	0.8452838	0.7137072	0.5772052	0.0026138	0.4861411	0.3302866	0.9151115	0.4868177	0.3948774	0.1237352	0.4743802	1.1019125	0.1207883	0.4928564	1.0640095	0.0118978	0.2947325	0.7931603	0.2127435	0.6266168
300	0.8994602	0.6910032	0.6140301	0.0011134	0.5810138	0.4680713	1.0175572	0.5007164	0.4082013	0.0874589	0.5267352	1.0714078	0.1151955	0.6164409	1.0334934	0.0116892	0.3468495	0.8510334	0.2966329	0.7189568
350	0.8584535	0.5739427	0.5895164	0.0007443	0.6042808	0.5329410	0.9704088	0.6774377	0.4466059	0.0640826	0.5353512	1.1151949	0.1400145	0.6336273	1.0039053	0.0026590	0.3283770	0.8955629	0.2486047	0.7239268
400	0.9395280	0.5838070	0.6279809	0.0043796	0.6163124	0.5292021	1.0474293	0.6871207	0.4518637	0.0791641	0.4745956	1.0142168	0.1483558	0.6856336	0.9706452	0.0068953	0.2966818	0.8199074	0.3144102	0.7271313
450	0.9504250	0.5766644	0.5477656	0.0000000	0.6401319	0.5749835	1.0144086	0.6644690	0.4312265	0.0690130	0.5069178	0.9950549	0.1447844	0.6728358	0.9972657	0.0164453	0.2886435	0.7692482	0.3424043	0.7883894
500	0.9208558	0.6618932	0.6209179	0.0002844	0.6825969	0.6166114	0.9666846	0.6774105	0.5204529	0.0924104	0.5620358	0.9578274	0.1323940	0.6911421	0.9609465	0.0096691	0.2808577	0.9417094	0.3664261	0.7683300
550	0.9267266	0.5608382	0.7498864	0.0207451	0.6060042	0.5776784	0.9802327	0.6710293	0.5664910	0.0804171	0.5668374	0.9755221	0.1348504	0.6162252	1.0092105	0.0156675	0.3026668	0.9737082	0.3770301	0.7533467
600	0.8645764	0.4286683	0.8943484	0.0589133	0.3967283	0.5091030	1.0240205	0.6705043	0.5699200	0.0452572	0.5355653	0.9103625	0.1156604	0.6446187	0.9764006	0.0162273	0.2378860	0.9940802	0.3361442	0.7326132
650	0.8734861	0.3895688	0.9444349	0.0450888	0.2575969	0.4216006	0.9274014	0.5345561	0.4041448	0.0467643	0.5075150	1.0419458	0.1413335	0.6771581	1.0001186	0.0083764	0.1854924	0.8341232	0.2861678	0.7178920
700	0.9334381	0.3738399	0.9244651	0.0362088	0.1828197	0.3879103	0.9315484	0.4518243	0.3634117	0.0308595	0.4773776	0.9694663	0.1111690	0.5798937	1.0053560	0.0024538	0.1538760	0.7752968	0.1956696	0.6759866
750	0.8350991	0.3099670	0.9659200	0.0289357	0.1170982	0.3762756	0.9500735	0.4044219	0.2994524	0.0489528	0.4490100	1.0044038	0.0696446	0.5631164	0.9827661	0.0107380	0.1768009	0.7294730	0.1984950	0.6720489
800	0.7877879	0.2842637	0.9930059	0.0367289	0.0836413	0.2625245	0.9582864	0.3385365	0.2138835	0.0234571	0.3947738	0.9984120	0.0508138	0.4907411	0.9824567	0.0051209	0.1549231	0.6488213	0.1417315	0.6351561
850	0.8184230	0.3013411	0.9044432	0.0372120	0.0961758	0.1944847	0.8696730	0.3243853	0.1349363	0.0425874	0.3853426	1.0255044	0.0488789	0.5214949	0.9955098	0.0086792	0.1245930	0.6249764	0.0772409	0.6200154
900	0.8248684	0.3324110	0.9960799	0.0403891	0.0774678	0.1953076	0.8155416	0.3201361	0.1479765	0.0323332	0.4372246	0.9458135	0.0679116	0.5103081	1.0669130	0.0161980	0.1164676	0.6850684	0.1145177	0.4810571
950	0.8336021	0.2850913	0.9669263	0.0359010	0.0515966	0.2184874	0.8418807	0.3672540	0.1268957	0.0395081	0.4193718	1.0206808	0.0730294	0.4428329	0.9112227	0.0093771	0.1329730	0.5784025	0.1580676	0.5899199
1000	0.8127043	0.2334437	0.9528132	0.0390175	0.0431286	0.2128517	0.8642856	0.3389540	0.1361927	0.0316107	0.4363550	0.9946913	0.0602576	0.4390341	0.8974109	0.0074661	0.1271770	0.5180501	0.1404605	0.5915776

0	0.7940806	0.2442460	1.0191913	0.0909643	0.0444026	0.1185606	0.6046101	0.2520284	0.1324175	0.0608659	0.4482119	0.9783447	0.0592062	0.4628839	0.9771003	0.0049123	0.1097537	0.5472320	0.0761430	0.6181854
