"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
50	0.7412717	0.2714757	0.7122359	0.0203961	0.3432972	0.1014953	0.6602207	0.2311210	0.0923513	0.0346379	0.3882963	0.9968276	0.0654725	0.4510006	0.9998970	0.0077499	0.1172200	0.5119398	0.0867986	0.6210410
100	0.7843473	0.3590716	0.6362419	0.0081952	0.4642934	0.1171764	0.7128043	0.2594095	0.1172846	0.0465028	0.3915074	0.9973569	0.0792617	0.4823570	0.9999072	0.0081836	0.1521929	0.5575661	0.0990751	0.6353540
150	0.8573927	0.4552585	0.6161731	0.0033773	0.5233185	0.1732879	0.8220919	0.3219500	0.1781024	0.0638703	0.4062666	0.9983563	0.0991640	0.5273371	0.9999252	0.0089612	0.2064238	0.6589056	0.1312002	0.6589637
200	0.9117078	0.5238869	0.6108733	0.0015002	0.5614919	0.2730609	0.9105882	0.4050454	0.2790671	0.0783015	0.4346316	0.9991170	0.1179613	0.5663042	0.9999421	0.0098443	0.2558137	0.7605222	0.1769808	0.6896608
250	0.9403460	0.5632752	0.6094737	0.0007772	0.5887850	0.3824565	0.9570230	0.4840509	0.3820955	0.0866110	0.4679114	0.9995001	0.1312404	0.5921434	0.9999536	0.0105756	0.2893374	0.8297717	0.2221952	0.7153485
300	0.9539013	0.5832607	0.6091040	0.0005004	0.6074204	0.4697476	0.9778599	0.5448032	0.4565870	0.0904761	0.4966165	0.9996676	0.1390172	0.6071072	0.9999601	0.0110704	0.3087910	0.8693494	0.2580858	0.7321651
350	0.9602137	0.5926506	0.6090064	0.0003946	0.6191855	0.5274607	0.9867752	0.5858343	0.5014447	0.0920797	0.5168331	0.9997397	0.1430821	0.6151663	0.9999636	0.0113656	0.3191336	0.8902232	0.2830588	0.7418144
400	0.9631676	0.5968393	0.6089807	0.0003541	0.6261016	0.5616003	0.9905649	0.6113356	0.5260049	0.0927074	0.5292618	0.9997714	0.1450658	0.6193228	0.9999653	0.0115279	0.3243323	0.9007913	0.2990211	0.7469384
450	0.9645489	0.5986401	0.6089739	0.0003386	0.6299350	0.5804171	0.9921909	0.6262953	0.5387233	0.0929463	0.5362216	0.9997858	0.1459930	0.6214046	0.9999662	0.0116121	0.3268383	0.9060032	0.3086373	0.7495229
500	0.9651880	0.5993932	0.6089721	0.0003326	0.6319600	0.5902913	0.9928980	0.6347008	0.5450620	0.0930361	0.5398686	0.9997924	0.1464140	0.6224241	0.9999666	0.0116540	0.3280056	0.9085186	0.3141810	0.7507782
550	0.9648791	0.5517616	0.8967357	0.0365048	0.3285804	0.5931491	0.9931127	0.6278813	0.5369353	0.0680670	0.5403010	0.9997933	0.1290373	0.6115166	0.9999668	0.0111028	0.2959005	0.9087858	0.3133914	0.7090816
600	0.9577354	0.4366095	0.9727295	0.0466280	0.2032312	0.5690691	0.9918835	0.5883488	0.4895189	0.0431964	0.5265698	0.9997682	0.0975325	0.5814198	0.9999667	0.0099369	0.2434236	0.8972317	0.2971689	0.6934088
650	0.9362478	0.3454404	0.9927983	0.0496737	0.1393892	0.5010619	0.9867983	0.5183504	0.3918210	0.0352670	0.5000877	0.9996886	0.0785223	0.5504519	0.9999656	0.0090379	0.2002680	0.8602155	0.2622593	0.6720085
700	0.8980010	0.2931315	0.9980981	0.0506270	0.0995689	0.4051503	0.9737343	0.4346022	0.2744454	0.0329285	0.4755460	0.9995299	0.0694917	0.5230132	0.9999623	0.0084611	0.1654058	0.7946535	0.2167838	0.6495435
750	0.8501707	0.2668731	0.9994978	0.0509218	0.0737315	0.3099714	0.9469402	0.3603959	0.1860175	0.0321691	0.4563614	0.9992651	0.0654012	0.4989324	0.9999552	0.0081073	0.1407837	0.7144903	0.1737135	0.6300967
800	0.8062706	0.2546215	0.9998674	0.0510092	0.0578089	0.2337415	0.9028376	0.3065737	0.1353488	0.0319016	0.4398546	0.9988790	0.0635192	0.4791744	0.9999441	0.0078980	0.1257130	0.6411868	0.1404704	0.6134952
850	0.7748491	0.2491717	0.9999650	0.0510330	0.0486089	0.1803890	0.8457824	0.2720142	0.1097972	0.0318037	0.4249221	0.9983988	0.0626314	0.4647382	0.9999310	0.0077799	0.1174350	0.5868961	0.1179099	0.5992214
900	0.7560480	0.2468296	0.9999907	0.0510386	0.0435784	0.1462093	0.7875283	0.2514385	0.0976216	0.0317674	0.4123275	0.9979047	0.0622094	0.4553299	0.9999190	0.0077164	0.1132239	0.5519261	0.1038207	0.5877083
950	0.7460864	0.2458491	0.9999976	0.0510393	0.0409480	0.1256448	0.7389817	0.2397937	0.0919735	0.0317539	0.4028690	0.9974852	0.0620110	0.4497407	0.9999098	0.0076839	0.1111968	0.5313597	0.0955096	0.5794050
