"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.8656752	0.6667284	0.5846070	0.0011473	0.5465215	0.2551211	0.9101142	0.4302131	0.3569884	0.1217429	0.4922938	1.0163897	0.1477016	0.6051166	1.0383846	0.0109819	0.3838324	0.7881491	0.2035624	0.7105601
250	0.9252590	0.7333876	0.5707681	0.0018887	0.5875337	0.4035933	1.0128928	0.5945967	0.4874300	0.1550986	0.5301504	0.9403918	0.1390959	0.6661846	0.9525190	0.0060677	0.3497258	0.8935316	0.2637964	0.6774433
300	0.9767563	0.6276128	0.6313067	0.0000653	0.5858352	0.5776414	0.9423077	0.6651979	0.5099820	0.0842651	0.5695108	1.0162201	0.1521711	0.6568302	0.9842153	0.0072574	0.3684113	0.8989254	0.3128277	0.7442624
350	1.0024970	0.5301802	0.5765031	0.0000000	0.6528011	0.5494337	1.0043951	0.6524214	0.4701831	0.0838824	0.5433338	0.9968704	0.1387447	0.6287327	1.0344987	0.0110411	0.3466400	0.8703070	0.3120184	0.7476212
400	0.9271547	0.5796448	0.5926510	0.0004671	0.6849147	0.5163730	1.0486652	0.6393757	0.5086317	0.0756596	0.5209782	1.0432536	0.1354883	0.6591038	1.0210529	0.0128037	0.3631612	0.8744209	0.2959357	0.7414317
450	0.9106276	0.6280753	0.5618978	0.0028110	0.6666870	0.5579383	0.9928713	0.6499596	0.5631639	0.0882714	0.6387041	1.0322279	0.1494947	0.6434407	1.0326970	0.0159253	0.3088262	0.9256051	0.3284511	0.7818036
500	0.9551453	0.6379645	0.6218185	0.0005221	0.6652363	0.5854789	0.9276524	0.7513174	0.6124467	0.1036415	0.5721261	1.0901315	0.1307534	0.6212309	1.0125457	0.0270992	0.3395920	0.9675367	0.3464721	0.7759918
550	0.9019304	0.5017075	0.8658981	0.0269963	0.3336599	0.5430519	1.0018282	0.6324035	0.5660063	0.0565894	0.5110109	0.9150910	0.0980286	0.5906901	0.9965303	0.0147289	0.3206334	1.0028333	0.3602969	0.7383816
600	0.9276401	0.3914697	0.9576855	0.0494762	0.2255288	0.4516039	0.9530655	0.5804370	0.4604805	0.0253264	0.5058082	0.8633509	0.0946868	0.6007383	1.0510563	0.0088996	0.2037367	0.8964586	0.3120676	0.6283186
650	0.9818316	0.3348531	0.9471224	0.0505385	0.1591863	0.3531602	0.9442321	0.4721309	0.2918081	0.0469959	0.4061645	1.0518533	0.0924150	0.5552866	0.9557736	0.0026603	0.1834873	0.8339891	0.2491415	0.6484649
700	0.8372808	0.3209473	0.9932902	0.0550005	0.1051089	0.3362881	0.8635422	0.4238436	0.3224110	0.0484580	0.3884392	1.0029605	0.0821994	0.5192377	0.9973826	0.0043689	0.1897743	0.8379907	0.2103695	0.6001175
750	0.7971741	0.2919987	1.0032323	0.0374581	0.0796652	0.3079952	0.8712783	0.3636182	0.1894404	0.0416080	0.4232788	0.9056909	0.0619197	0.4404453	0.9402732	0.0050888	0.1739036	0.6901345	0.1646191	0.6481250
800	0.8353012	0.2983428	0.9120931	0.0444546	0.0573938	0.2383864	0.8162927	0.3095886	0.1296611	0.0354944	0.4398051	1.0094042	0.0519802	0.4536676	0.9841382	0.0087639	0.1292362	0.6183613	0.1241594	0.6456903
850	0.7153716	0.2829616	0.9682600	0.0314479	0.0521647	0.1789921	0.7200397	0.3010686	0.1169281	0.0333774	0.4327636	1.0373356	0.0871996	0.4667056	0.9803423	0.0081093	0.1073858	0.6579032	0.0973819	0.5681674
900	0.8255035	0.2746159	1.0327068	0.0483686	0.0491061	0.2004497	0.8392927	0.3337661	0.1161146	0.0256675	0.4923541	1.0325956	0.0527845	0.5116831	0.9527967	0.0115087	0.1712311	0.6481810	0.1382222	0.6072012
