"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.1616546	0.6913563	0.5321471	0.7273609	0.4594029
50	0.1572017	0.6472232	0.5916477	0.6667156	0.3617766
100	0.2117064	0.5586898	0.5938164	0.7597231	0.4038237
150	0.1667767	0.5992321	0.5674332	0.7216753	0.3262781
200	0.1455896	0.5498470	0.6362136	0.7518872	0.3425899
250	0.1819399	0.6159110	0.5521649	0.7329817	0.3215381
300	0.1813667	0.5180507	0.5654110	0.5945633	0.4118328
350	0.1664108	0.6329871	0.5275409	0.6766225	0.3976022
400	0.1611191	0.6672263	0.4475671	0.6248530	0.3482263
450	0.1586686	0.7152094	0.6361714	0.5609231	0.3453464
500	0.1292894	0.6196982	0.5579990	0.6191770	0.3264999
550	0.1164232	0.6798219	0.5563454	0.6822019	0.3810112
600	0.1619179	0.6744331	0.4594423	0.6645500	0.4051601
650	0.1335729	0.5478243	0.4299759	0.5354555	0.3470477
700	0.1479907	0.6031127	0.5226392	0.6431792	0.3798095
750	0.1281183	0.5271062	0.5549256	0.6530705	0.3342985
800	0.1876868	0.6605167	0.5041652	0.6708735	0.3531889
850	0.2394299	0.7859523	0.5165975	0.5487380	0.3569677
900	0.1918640	0.7035864	0.5148874	0.6388001	0.4054624
950	0.1287418	0.6831405	0.6386418	0.5966806	0.3627336
1000	0.1943334	0.6912783	0.5956306	0.6361725	0.3377038

0	0.1774770	0.7674895	0.5732048	0.6362606	0.2745800
50	0.1810279	0.6024767	0.4684110	0.6703049	0.3853278
100	0.1742801	0.5432503	0.4353331	0.7273249	0.4120523
150	0.2460462	0.6601580	0.4262682	0.6288707	0.3762536
200	0.1647685	0.5893480	0.4377953	0.7204165	0.3037697
250	0.1743508	0.5659789	0.5277317	0.8106943	0.3819141
300	0.2046851	0.5671564	0.4275380	0.6996049	0.3881278
350	0.1970923	0.5561173	0.5425684	0.6127702	0.3073595
400	0.1526072	0.5831729	0.4977749	0.6382702	0.4233704
450	0.1485060	0.6191707	0.4454870	0.7747524	0.3198195
500	0.2055079	0.6028383	0.5025777	0.8129676	0.3451513
550	0.1711911	0.6079803	0.4903258	0.5877786	0.3228660
600	0.1829270	0.6732559	0.5145591	0.6834025	0.2888351
650	0.1426771	0.8026467	0.5051081	0.6385837	0.3105092
700	0.1589670	0.8406942	0.4941494	0.7159950	0.2408912
750	0.1020980	0.5873170	0.5073845	0.6545541	0.3608078
800	0.2180797	0.6533567	0.4912719	0.6546410	0.3665958
