"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	0.2029689	0.2094443	0.0684103	0.7603164	0.5409934	0.0239110	0.4165317	0.2197685	0.1100534	0.6738980	0.2603477	0.0052281	0.0229143	0.1998889	0.5268376	0.0200234	0.0656075	0.0271878	0.6704817	0.5190653
250	0.1631601	0.2420892	0.0638434	0.8283502	0.5845710	0.0216092	0.4534560	0.3092603	0.0886971	0.8800673	0.4048810	0.0138001	0.0097002	0.1600998	0.4424792	0.0486814	0.0856070	0.0457313	0.5727087	0.6991429
300	0.0979535	0.1595920	0.0613781	0.6009213	0.5289416	0.0191623	0.5134012	0.2697666	0.1019454	0.5646505	0.3980152	0.0046099	0.0370513	0.1157759	0.4181578	0.0453894	0.0640512	0.0297571	0.7615989	0.5999304
350	0.0977000	0.2397139	0.0880271	0.7052259	0.5125167	0.0233581	0.5304601	0.3210568	0.0436945	0.6370679	0.4120445	0.0066718	0.0520079	0.1193204	0.4241457	0.0478025	0.0566473	0.0115221	0.8595892	0.6393578
400	0.0847736	0.1505731	0.0639072	0.8157659	0.7040959	0.0252429	0.5511941	0.4185791	0.0813497	0.6349959	0.4703396	0.0112510	0.0411780	0.0630013	0.4409616	0.0210032	0.0833443	0.0039055	0.6839800	0.6100460
450	0.0795907	0.2071941	0.0552881	0.6214507	0.6777831	0.0167928	0.5662429	0.3305055	0.1068229	0.6937745	0.5618425	0.0385299	0.0183808	0.1171177	0.2778017	0.0940768	0.0513172	0.0063560	0.7718840	0.6504257
500	0.0461986	0.1612539	0.1072574	0.7584965	0.6214569	0.0166796	0.6031717	0.3758350	0.1034731	0.8345208	0.5061713	0.0193351	0.0460977	0.0787285	0.2190025	0.1107194	0.1181462	0.0078680	0.9221881	0.6370115
550	0.0717348	0.3151554	0.3487637	0.8051980	0.7128922	0.0146459	0.6135763	0.3059856	0.0777619	0.8666910	0.5258058	0.0406870	0.0301564	0.0723097	0.3543556	0.0831810	0.2814493	0.1172400	0.8285329	0.6120372
600	0.1242992	0.5899051	0.5858452	0.6807972	0.3805141	0.0199575	0.3536553	0.2648518	0.0623722	0.6270166	0.3549762	0.0616284	0.0383206	0.1336311	0.3964992	0.0549580	0.4286203	0.3392582	0.6059679	0.4968144
650	0.2463460	0.6523460	0.4572213	0.3564187	0.3240716	0.0070415	0.2776237	0.1741461	0.0628688	0.3960162	0.3278560	0.0545341	0.0251488	0.2479096	0.4841246	0.0107550	0.3086729	0.4467075	0.3971219	0.4010983
700	0.3826586	0.6196425	0.3706896	0.3838116	0.2988942	0.0203534	0.2924171	0.1685191	0.0693867	0.1821503	0.1556846	0.0635705	0.0103229	0.3127113	0.6769144	0.0174206	0.2675601	0.3853103	0.3108772	0.3020032
750	0.4532963	0.5761834	0.5007442	0.3044441	0.3338999	0.0060507	0.1813951	0.0948445	0.0666414	0.1591765	0.1723469	0.0377852	0.0238853	0.3576626	0.7405567	0.0115813	0.2245476	0.3105390	0.2928163	0.4667913
800	0.4678134	0.7053765	0.3579916	0.2429615	0.3106246	0.0221049	0.2052976	0.1343046	0.1734652	0.1643654	0.1568358	0.0450685	0.0161844	0.3777020	0.8001098	0.0079586	0.2347337	0.4050652	0.2099486	0.2325955
850	0.4270000	0.7122783	0.3547313	0.3109974	0.3515893	0.0124720	0.1809103	0.1394878	0.1369002	0.1578190	0.2340609	0.0408398	0.0341594	0.3328483	0.5830085	0.0070995	0.1170187	0.3267822	0.3295285	0.3206127
900	0.5611668	0.6682845	0.4246467	0.2709094	0.2377665	0.0069847	0.2486380	0.1021754	0.1667867	0.1068122	0.2322849	0.0448490	0.0299270	0.3449468	0.6616770	0.0189760	0.1467610	0.3744095	0.1905508	0.3477553
950	0.5912779	0.6941099	0.2728334	0.2593676	0.2901147	0.0153262	0.1691120	0.1502480	0.1567813	0.1377938	0.1460750	0.0476252	0.0385009	0.4042827	0.7260262	0.0396471	0.2187118	0.3675328	0.1382728	0.3357691
1000	0.4649294	0.8240676	0.3328832	0.2382259	0.2652654	0.0331315	0.2005419	0.1678639	0.1910156	0.0845763	0.1566264	0.0235068	0.0337620	0.4474212	0.7808819	0.0127110	0.1810204	0.2794472	0.1198015	0.2530455

0	0.4712025	0.8768656	0.3644337	0.2525755	0.3188859	0.0233444	0.2204412	0.1251809	0.1720213	0.1272359	0.1757853	0.0202975	0.0507317	0.4123169	0.8159512	0.0172942	0.2058670	0.3867197	0.1504981	0.3823299
50	0.5707016	0.6130840	0.1748100	0.1848181	0.2517841	0.0290748	0.1403846	0.0840208	0.1233125	0.0729149	0.1278786	0.0101730	0.0123423	0.4787377	0.6983195	0.0093399	0.1145469	0.2833883	0.0908904	0.1926717
100	0.5125216	0.6599608	0.1250676	0.1185562	0.2723297	0.0644521	0.1555693	0.1232345	0.1921256	0.0620064	0.1372620	0.0163969	0.0058251	0.6273636	0.8307566	0.0359215	0.1022406	0.4365256	0.1398246	0.2477083
150	0.4479588	0.4790353	0.1166103	0.1634090	0.3367287	0.1232384	0.1143863	0.1520671	0.1342130	0.0462311	0.1043986	0.0612095	0.0060047	0.5413011	0.7707833	0.0214418	0.1188251	0.3247101	0.1983838	0.3101004
200	0.4442969	0.3965123	0.1363064	0.3217710	0.3370135	0.0571849	0.2125310	0.1659836	0.1497655	0.0499199	0.1293982	0.0476204	0.0044600	0.4587941	0.7688552	0.0172192	0.1030000	0.3811238	0.1810927	0.3846682
250	0.3747380	0.3186970	0.1364823	0.4633177	0.4448749	0.0754438	0.1738709	0.0910816	0.1769105	0.0445202	0.1672270	0.0541471	0.0001165	0.5688857	0.7124550	0.0311559	0.0760735	0.4825319	0.1730657	0.2965739
300	0.3467153	0.4410577	0.0918957	0.3029549	0.3578441	0.0573886	0.1469438	0.1791631	0.1339043	0.1148457	0.1770975	0.0550980	0.0085751	0.5751382	0.7105210	0.0267050	0.1797393	0.4480735	0.1795679	0.4084163
350	0.2811934	0.4123138	0.1221250	0.2896871	0.5061943	0.0544189	0.1353603	0.1207648	0.2128588	0.0252029	0.1857086	0.0304151	0.0002405	0.6362464	0.6925658	0.0301086	0.1366516	0.3961620	0.1933351	0.5034032
400	0.3091727	0.5084278	0.0848859	0.3445362	0.3998468	0.0307120	0.1311174	0.1867516	0.1287023	0.0229097	0.1868338	0.0542033	0.0006066	0.6132806	0.5533038	0.0444969	0.3018338	0.3759407	0.2880527	0.5511848
450	0.2759247	0.5162025	0.1691893	0.4077211	0.5723109	0.0264357	0.1345671	0.1660147	0.1482010	0.0348143	0.1782822	0.0505259	0.0000000	0.5582669	0.6808062	0.0316527	0.1870892	0.4651548	0.1647125	0.3919157
500	0.3373020	0.5125148	0.1112900	0.3221366	0.3811860	0.0378470	0.1298740	0.1444913	0.0775313	0.0484822	0.1719466	0.0821869	0.0000000	0.6250367	0.5929120	0.0080388	0.2072161	0.5157845	0.2858776	0.4016749
550	0.2982062	0.5998705	0.2539919	0.3726645	0.3738876	0.0306217	0.2486690	0.1234872	0.1246513	0.1590574	0.1917583	0.0293896	0.0025449	0.5051057	0.8002774	0.0109796	0.2940185	0.4724348	0.3231618	0.3772293
600	0.5063287	0.6613191	0.3640743	0.3328153	0.3821177	0.0159961	0.3080053	0.1282362	0.1186795	0.2439447	0.1516478	0.0454250	0.0298750	0.3775332	0.8170582	0.0157704	0.1697883	0.3711210	0.3251084	0.3815395
