"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	0.7547721	0.0110651	0.1829724	0.5122473	0.7413974	0.5864633	0.2800244	0.7373320	0.2763419	0.4693270
450	0.7486338	0.0067973	0.1484733	0.5097440	0.6221245	0.6320734	0.3153097	0.7151161	0.2323645	0.4453257
500	0.6013519	0.0036181	0.2236820	0.5115993	0.7623713	0.6372172	0.2955181	0.6608812	0.1579589	0.4380929
550	0.6222272	0.0035020	0.6163170	0.2851283	0.5208537	0.4838658	0.3078523	0.7455699	0.1612226	0.3716796
600	0.6523618	0.0024317	0.6426852	0.1431894	0.5231772	0.2839441	0.1691549	0.5901472	0.2203621	0.2571027
650	0.7321476	0.0014202	0.7447578	0.0472303	0.3578667	0.2674441	0.1471071	0.5652318	0.2458813	0.1971894
700	0.7415974	0.0010500	0.6190438	0.0871801	0.2762029	0.1829293	0.1492173	0.7363644	0.4098784	0.0809127
750	0.5478143	0.0001689	0.6821147	0.0465442	0.2351395	0.1767197	0.1553055	0.6612761	0.3377717	0.0759801
800	0.7123757	0.0042157	0.7740209	0.0659212	0.1339363	0.0979670	0.1278628	0.7711819	0.3574294	0.1100005
850	0.6036379	0.0016862	0.6573161	0.0422411	0.1575170	0.1357790	0.1249838	0.6506485	0.2815387	0.0680472
900	0.6883757	0.0024584	0.6852537	0.0267486	0.1405250	0.1724442	0.1590239	0.6185579	0.3662396	0.1736135
950	0.5900033	0.0069733	0.7229354	0.0779519	0.1075667	0.1068195	0.1148847	0.5494038	0.3361859	0.0645290
1000	0.6176626	0.0014449	0.5291838	0.0378918	0.1405594	0.1866113	0.1549765	0.7644990	0.3864897	0.0874322

0	0.7382442	0.0095732	0.6170832	0.0378415	0.1405056	0.2379420	0.1625633	0.7127359	0.2705528	0.1028898
50	0.6191729	0.0015524	0.7057571	0.0133212	0.0897742	0.1764503	0.1510255	0.4396655	0.0733837	0.1103974
100	0.5165081	0.0039404	0.7591469	0.0052302	0.0626625	0.1130394	0.1431242	0.4357597	0.0029549	0.1463370
150	0.6181580	0.0015438	0.5845096	0.0015374	0.0238661	0.1637413	0.1112847	0.4872166	0.0001438	0.1445368
200	0.6503784	0.0012807	0.7409779	0.0048677	0.0198554	0.1048522	0.1590452	0.5508677	0.0000635	0.1182150
250	0.5114511	0.0006063	0.7511380	0.0020726	0.0252263	0.0964607	0.1877075	0.5133252	0.0002281	0.1036861
300	0.6364778	0.0022096	0.5683633	0.0046634	0.0230835	0.1420669	0.1039489	0.4808725	0.0002582	0.1453354
350	0.4583680	0.0039673	0.5530665	0.0065687	0.0523989	0.1256761	0.1185072	0.4145787	0.0008256	0.1183244
