"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	1.0000000	0.0109803	0.2704423	0.6772540	0.9813775	0.9552705	0.4188406	0.9783775	0.3039679	0.6222085
450	1.0000000	0.0110197	0.2704406	0.6809375	0.9860631	0.9575289	0.4263372	0.9773508	0.2962863	0.6298888
500	1.0000000	0.0110336	0.2704403	0.6825252	0.9882476	0.9584642	0.4301316	0.9768332	0.2922350	0.6333828
550	1.0000000	0.0088917	0.7824876	0.5562251	0.9551895	0.9066565	0.4584098	0.9584328	0.2804490	0.6064838
600	1.0000000	0.0059797	0.9575752	0.3267494	0.8494125	0.7099230	0.4143004	0.9209995	0.2867862	0.4932860
650	1.0000000	0.0045062	0.9918996	0.1879698	0.6721929	0.5104734	0.3334147	0.9319137	0.3290863	0.3768668
700	1.0000000	0.0039080	0.9984554	0.1208896	0.4892970	0.3709295	0.2697656	0.9598271	0.3803021	0.2867890
750	1.0000000	0.0036855	0.9997055	0.0907501	0.3625048	0.2894042	0.2332114	0.9799494	0.4206291	0.2220214
800	1.0000000	0.0036063	0.9999439	0.0775890	0.2912162	0.2467311	0.2153110	0.9905743	0.4464592	0.1795458
850	1.0000000	0.0035788	0.9999893	0.0719100	0.2552439	0.2258991	0.2072931	0.9954750	0.4612550	0.1544423
900	1.0000000	0.0035694	0.9999980	0.0694720	0.2381560	0.2161739	0.2038846	0.9975872	0.4691976	0.1408681
950	1.0000000	0.0035662	0.9999996	0.0684278	0.2303257	0.2117633	0.2024795	0.9984661	0.4732921	0.1340071
1000	1.0000000	0.0035651	0.9999999	0.0679809	0.2268174	0.2098003	0.2019101	0.9988254	0.4753465	0.1307048

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	0.9274223	0.0035654	1.0000000	0.0474453	0.1746411	0.2076282	0.2014299	0.9128880	0.3199508	0.1924155
100	0.8608560	0.0035701	1.0000000	0.0267452	0.1149395	0.2042512	0.2009788	0.8247990	0.1589731	0.2396386
150	0.8312173	0.0035773	1.0000000	0.0157813	0.0785850	0.1999417	0.2004889	0.7802142	0.0730417	0.2472086
200	0.8202601	0.0035835	1.0000000	0.0107232	0.0600968	0.1966282	0.2001678	0.7613310	0.0327844	0.2409576
250	0.8165381	0.0035874	1.0000000	0.0084955	0.0514295	0.1946223	0.2000003	0.7539358	0.0146912	0.2339311
300	0.8153320	0.0035895	1.0000000	0.0075317	0.0475426	0.1935560	0.1999227	0.7511579	0.0066786	0.2292650
350	0.8149523	0.0035905	1.0000000	0.0071176	0.0458452	0.1930308	0.1998892	0.7501394	0.0031496	0.2266936
400	0.8148350	0.0035909	1.0000000	0.0069401	0.0451164	0.1927841	0.1998752	0.7497716	0.0015984	0.2254050
450	0.8147993	0.0035911	1.0000000	0.0068642	0.0448070	0.1926715	0.1998696	0.7496400	0.0009172	0.2247940
500	0.8147885	0.0035911	1.0000000	0.0068317	0.0446765	0.1926212	0.1998673	0.7495932	0.0006181	0.2245141
550	0.8873630	0.0035894	1.0000000	0.0270218	0.0937715	0.1929143	0.1998791	0.8358793	0.1628711	0.1542163
600	0.9539284	0.0035819	1.0000000	0.0477147	0.1528879	0.1951232	0.2000246	0.9241934	0.3270189	0.1066923
650	0.9835667	0.0035742	1.0000000	0.0586755	0.1889830	0.1988466	0.2003624	0.9688532	0.4120679	0.1020338
700	0.9945239	0.0035692	1.0000000	0.0637323	0.2075884	0.2024019	0.2007526	0.9876586	0.4500793	0.1101897
750	0.9982458	0.0035666	1.0000000	0.0659594	0.2165259	0.2049642	0.2010688	0.9949344	0.4661563	0.1179856
800	0.9994519	0.0035654	1.0000000	0.0669230	0.2206697	0.2065354	0.2012779	0.9976150	0.4727878	0.1228915
850	0.9998316	0.0035649	1.0000000	0.0673370	0.2225527	0.2074059	0.2013996	0.9985707	0.4754863	0.1255209
900	0.9999488	0.0035646	1.0000000	0.0675144	0.2233979	0.2078565	0.2014649	0.9989030	0.4765743	0.1268174
950	0.9999846	0.0035646	1.0000000	0.0675903	0.2237741	0.2080789	0.2014978	0.9990160	0.4770097	0.1274259
1000	0.9999954	0.0035645	1.0000000	0.0676228	0.2239407	0.2081851	0.2015138	0.9990536	0.4771825	0.1277029

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	0.6250689	0.0035718	1.0000000	0.0676493	0.1822475	0.1694530	0.1365701	0.8620451	0.4772716	0.1279442
100	0.2811920	0.0038209	1.0000000	0.0676480	0.1319523	0.1277631	0.0666639	0.7217237	0.4772832	0.1279319
150	0.1280807	0.0100652	1.0000000	0.0676474	0.1014524	0.1056421	0.0295681	0.6505391	0.4772887	0.1279265
200	0.0714765	0.0838438	1.0000000	0.0676472	0.0859824	0.0959044	0.0132873	0.6203329	0.4772912	0.1279242
250	0.0522491	0.3086545	1.0000000	0.0676471	0.0787420	0.0919754	0.0067581	0.6084861	0.4772923	0.1279232
300	0.0460183	0.5510829	1.0000000	0.0676470	0.0754985	0.0904672	0.0042746	0.6040306	0.4772929	0.1279228
350	0.0440570	0.7072873	1.0000000	0.0676470	0.0740832	0.0899064	0.0033623	0.6023955	0.4772931	0.1279226
400	0.0434513	0.7865612	1.0000000	0.0676470	0.0734758	0.0897023	0.0030353	0.6018045	0.4772932	0.1279226
450	0.0432667	0.8220604	1.0000000	0.0676470	0.0732180	0.0896292	0.0029202	0.6015929	0.4772933	0.1279225
500	0.0432109	0.8368160	1.0000000	0.0676470	0.0731094	0.0896033	0.0028803	0.6015176	0.4772933	0.1279225
550	0.4181253	0.6103816	1.0000000	0.0676470	0.1149065	0.1284270	0.0678260	0.7385153	0.4772933	0.1279225
600	0.7619972	0.2783935	1.0000000	0.0676470	0.1651721	0.1701075	0.1377264	0.8788281	0.4772933	0.1279225
650	0.9151070	0.1104486	1.0000000	0.0676470	0.1956596	0.1922248	0.1748202	0.9500097	0.4772933	0.1279225
700	0.9717107	0.0424607	1.0000000	0.0676470	0.2111243	0.2019610	0.1911003	0.9802149	0.4772933	0.1279225
750	0.9909380	0.0172468	1.0000000	0.0676470	0.2183625	0.2058895	0.1976292	0.9920614	0.4772933	0.1279225
800	0.9971688	0.0082882	1.0000000	0.0676470	0.2216051	0.2073975	0.2001126	0.9965167	0.4772933	0.1279225
850	0.9991301	0.0051779	1.0000000	0.0676470	0.2230201	0.2079582	0.2010249	0.9981518	0.4772933	0.1279225
900	0.9997358	0.0041121	1.0000000	0.0676470	0.2236273	0.2081622	0.2013519	0.9987428	0.4772933	0.1279225
950	0.9999204	0.0037496	1.0000000	0.0676470	0.2238850	0.2082353	0.2014670	0.9989544	0.4772933	0.1279225
1000	0.9999762	0.0036270	1.0000000	0.0676470	0.2239936	0.2082612	0.2015069	0.9990297	0.4772933	0.1279225

