"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
400	1.0000000	0.9999753	0.2285666	0.9474805	0.5234200	0.4213360	0.9953217	0.2440025	0.6435883	0.0561719
450	1.0000000	0.9999755	0.2285666	0.9474805	0.5234210	0.4213360	0.9953217	0.2440015	0.6435884	0.0561719
500	1.0000000	0.9999755	0.2285666	0.9474805	0.5234215	0.4213361	0.9953217	0.2440010	0.6435885	0.0561719
550	1.0000000	0.9997275	0.2285666	0.9474805	0.5234218	0.4213361	0.9953217	0.2440049	0.6435886	0.0561719
600	1.0000000	0.9995132	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2440262	0.6435886	0.0561719
650	1.0000000	0.9994198	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2440547	0.6435886	0.0561719
700	1.0000000	0.9993845	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2440779	0.6435886	0.0561719
750	1.0000000	0.9993718	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2440928	0.6435886	0.0561719
800	1.0000000	0.9993673	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441013	0.6435886	0.0561719
850	1.0000000	0.9993658	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441056	0.6435886	0.0561719
900	1.0000000	0.9993652	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441078	0.6435886	0.0561719
950	1.0000000	0.9993650	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441088	0.6435886	0.0561719
1000	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441092	0.6435886	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.9404321	0.9993431	0.2105886	0.9484438	0.5242911	0.4217616	0.9953405	0.2456224	0.6443196	0.0369403
100	0.8695097	0.9992036	0.1972439	0.9530183	0.5317967	0.4248486	0.9954213	0.2551740	0.6498874	0.0172463
150	0.8260657	0.9989600	0.2035082	0.9570580	0.5422451	0.4304148	0.9954957	0.2710127	0.6599244	0.0073978
200	0.8033449	0.9987042	0.2202409	0.9568028	0.5473201	0.4363297	0.9955076	0.2868856	0.6704429	0.0033736
250	0.7921801	0.9985010	0.2379072	0.9524946	0.5435165	0.4409273	0.9954393	0.2992526	0.6783133	0.0019064
300	0.7868489	0.9983650	0.2520010	0.9462538	0.5328274	0.4436814	0.9953046	0.3075681	0.6826080	0.0014205
350	0.7843390	0.9982838	0.2617095	0.9400683	0.5191923	0.4448511	0.9951402	0.3126561	0.6839225	0.0012771
400	0.7831657	0.9982389	0.2678119	0.9350267	0.5058641	0.4449833	0.9949836	0.3155765	0.6833881	0.0012428
450	0.7826193	0.9982152	0.2714153	0.9314029	0.4946235	0.4445938	0.9948574	0.3171786	0.6820317	0.0012388
500	0.7823653	0.9982032	0.2734494	0.9290187	0.4860210	0.4440404	0.9947673	0.3180289	0.6805344	0.0012413
550	0.8418152	0.9982629	0.3060655	0.9255000	0.4782137	0.4428378	0.9946158	0.3164934	0.6780130	0.0210413
600	0.9126829	0.9985512	0.3266439	0.9148745	0.4642632	0.4381976	0.9940660	0.3052155	0.6691800	0.0408754
650	0.9561016	0.9988727	0.3156352	0.9061744	0.4487887	0.4309537	0.9935916	0.2880603	0.6550429	0.0504665
700	0.9788105	0.9990981	0.2921765	0.9067621	0.4406241	0.4240295	0.9936669	0.2722666	0.6412364	0.0542506
750	0.9899699	0.9992286	0.2699419	0.9143071	0.4428874	0.4193521	0.9940733	0.2607765	0.6320782	0.0555875
800	0.9952985	0.9992975	0.2535232	0.9237926	0.4533413	0.4172201	0.9944971	0.2534480	0.6285063	0.0560193
850	0.9978073	0.9993323	0.2428525	0.9320423	0.4677063	0.4169299	0.9948151	0.2491405	0.6290688	0.0561447
900	0.9989800	0.9993493	0.2364388	0.9380505	0.4822366	0.4175852	0.9950232	0.2467428	0.6317081	0.0561748
950	0.9995262	0.9993575	0.2327816	0.9419879	0.4947178	0.4185265	0.9951507	0.2454581	0.6348430	0.0561787
1000	0.9997801	0.9993614	0.2307736	0.9443949	0.5043541	0.4194025	0.9952259	0.2447887	0.6376194	0.0561769

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.1980700	0.9490183	0.5249945	0.4201580	0.8379619	0.2441125	0.6435515	0.0561719
100	1.0000000	0.9993649	0.1581459	0.9572492	0.5389966	0.4190294	0.7207032	0.2441108	0.6443748	0.0561719
150	1.0000000	0.9993649	0.1316374	0.9681986	0.5667177	0.4190759	0.6797682	0.2441101	0.6471780	0.0561719
200	1.0000000	0.9993649	0.1169883	0.9769678	0.5996653	0.4200631	0.6680504	0.2441098	0.6517074	0.0561719
250	1.0000000	0.9993649	0.1095600	0.9825145	0.6297196	0.4213713	0.6650166	0.2441097	0.6566091	0.0561719
300	1.0000000	0.9993649	0.1059744	0.9856096	0.6531045	0.4225521	0.6642882	0.2441096	0.6607888	0.0561719
350	1.0000000	0.9993649	0.1042972	0.9872159	0.6694917	0.4234331	0.6641283	0.2441096	0.6638447	0.0561719
400	1.0000000	0.9993649	0.1035294	0.9880126	0.6801606	0.4240175	0.6640990	0.2441096	0.6658558	0.0561719
450	1.0000000	0.9993649	0.1031832	0.9883959	0.6867394	0.4243752	0.6640964	0.2441096	0.6670830	0.0561719
500	1.0000000	0.9993649	0.1030289	0.9885762	0.6906308	0.4245817	0.6640978	0.2441096	0.6677910	0.0561719
550	1.0000000	0.9993649	0.1334594	0.9878115	0.6907788	0.4258557	0.8215032	0.2441096	0.6681643	0.0561719
600	1.0000000	0.9993649	0.1733524	0.9823686	0.6767957	0.4271772	0.9388629	0.2441096	0.6679108	0.0561719
650	1.0000000	0.9993649	0.1998473	0.9731521	0.6484306	0.4274994	0.9798533	0.2441096	0.6661136	0.0561719
700	1.0000000	0.9993649	0.2144904	0.9639900	0.6155739	0.4268778	0.9915566	0.2441096	0.6625552	0.0561719
750	1.0000000	0.9993649	0.2219161	0.9570822	0.5862814	0.4257267	0.9945418	0.2441096	0.6580638	0.0561719
800	1.0000000	0.9993649	0.2255006	0.9526698	0.5638221	0.4244794	0.9952207	0.2441096	0.6537069	0.0561719
850	1.0000000	0.9993649	0.2271773	0.9501386	0.5482071	0.4234102	0.9953438	0.2441096	0.6501573	0.0561719
900	1.0000000	0.9993649	0.2279449	0.9487890	0.5380727	0.4226177	0.9953500	0.2441096	0.6476010	0.0561719
950	1.0000000	0.9993649	0.2282910	0.9481057	0.5318239	0.4220869	0.9953395	0.2441096	0.6459202	0.0561719
1000	1.0000000	0.9993649	0.2284453	0.9477725	0.5281209	0.4217572	0.9953311	0.2441096	0.6448891	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9994453	0.2285687	0.9474742	0.5231551	0.4590947	0.9953214	0.2441111	0.5837527	0.0369402
100	1.0000000	0.9995147	0.2285675	0.9474778	0.5232863	0.5042401	0.9953216	0.2441025	0.5134315	0.0171733
150	1.0000000	0.9995450	0.2285670	0.9474793	0.5233536	0.5314152	0.9953216	0.2440926	0.4716050	0.0071668
200	1.0000000	0.9995564	0.2285668	0.9474800	0.5233878	0.5450873	0.9953217	0.2440848	0.4507244	0.0029576
250	1.0000000	0.9995605	0.2285667	0.9474803	0.5234050	0.5514305	0.9953217	0.2440798	0.4410719	0.0013314
300	1.0000000	0.9995620	0.2285666	0.9474804	0.5234136	0.5542458	0.9953217	0.2440770	0.4367872	0.0007325
350	1.0000000	0.9995625	0.2285666	0.9474804	0.5234179	0.5554622	0.9953217	0.2440756	0.4349294	0.0005184
400	1.0000000	0.9995627	0.2285666	0.9474805	0.5234200	0.5559789	0.9953217	0.2440749	0.4341352	0.0004434
450	1.0000000	0.9995627	0.2285666	0.9474805	0.5234210	0.5561959	0.9953217	0.2440745	0.4337988	0.0004174
500	1.0000000	0.9995628	0.2285666	0.9474805	0.5234215	0.5562864	0.9953217	0.2440744	0.4336570	0.0004086
550	1.0000000	0.9994824	0.2285666	0.9474805	0.5234218	0.5185412	0.9953217	0.2440757	0.4933628	0.0196373
600	1.0000000	0.9994129	0.2285666	0.9474805	0.5234219	0.4734241	0.9953217	0.2440826	0.5636970	0.0394031
650	1.0000000	0.9993827	0.2285666	0.9474805	0.5234219	0.4462613	0.9953217	0.2440918	0.6055308	0.0494093
700	1.0000000	0.9993713	0.2285666	0.9474805	0.5234220	0.4325947	0.9953217	0.2440993	0.6264153	0.0536184
750	1.0000000	0.9993671	0.2285666	0.9474805	0.5234220	0.4262539	0.9953217	0.2441042	0.6360697	0.0552445
800	1.0000000	0.9993657	0.2285666	0.9474805	0.5234220	0.4234397	0.9953217	0.2441069	0.6403553	0.0558434
850	1.0000000	0.9993652	0.2285666	0.9474805	0.5234220	0.4222237	0.9953217	0.2441083	0.6422135	0.0560575
900	1.0000000	0.9993650	0.2285666	0.9474805	0.5234220	0.4217071	0.9953217	0.2441090	0.6430079	0.0561325
950	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4214902	0.9953217	0.2441093	0.6433445	0.0561585
1000	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213998	0.9953217	0.2441095	0.6434863	0.0561674

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.8310021	0.9995342	0.2368497	0.9472841	0.5388848	0.3136951	0.7968827	0.2160323	0.6458553	0.0563083
100	0.6297906	0.9994955	0.3042722	0.9416826	0.5566409	0.1887847	0.6487827	0.2000443	0.6628357	0.0579491
150	0.5065370	0.9988621	0.4418643	0.9137790	0.5486398	0.1198287	0.5956904	0.2135776	0.6952830	0.0647336
200	0.4420768	0.9974453	0.5945352	0.8523860	0.5121243	0.0910476	0.5725109	0.2386302	0.7309224	0.0807027
250	0.4104016	0.9955197	0.7177545	0.7718739	0.4625200	0.0808581	0.5423427	0.2615468	0.7594155	0.1043527
300	0.3952766	0.9936514	0.8011993	0.6964838	0.4136134	0.0761028	0.4965138	0.2779618	0.7780826	0.1289354
350	0.3881557	0.9922167	0.8521517	0.6393126	0.3719653	0.0714266	0.4473430	0.2883403	0.7888846	0.1488667
400	0.3848271	0.9912761	0.8812912	0.6012933	0.3393855	0.0660309	0.4073315	0.2944381	0.7946565	0.1625154
450	0.3832769	0.9907217	0.8972378	0.5780456	0.3154038	0.0607268	0.3800474	0.2978550	0.7975638	0.1708473
500	0.3825563	0.9904176	0.9056968	0.5646050	0.2986046	0.0562845	0.3633812	0.2997073	0.7989507	0.1755464
550	0.5512196	0.9845106	0.8995855	0.5574132	0.2653909	0.1495457	0.5158082	0.3547298	0.7900593	0.1628312
600	0.7522758	0.9889208	0.8175668	0.5615198	0.2268672	0.2409308	0.6500693	0.3828365	0.7346074	0.1191547
650	0.8754573	0.9942298	0.6658210	0.5954315	0.2038014	0.2797577	0.7621304	0.3599419	0.6535580	0.0859143
700	0.9398841	0.9971232	0.5144741	0.6635288	0.2026574	0.2983356	0.8698244	0.3228874	0.5857251	0.0688297
750	0.9715439	0.9984246	0.4003807	0.7458380	0.2250149	0.3183057	0.9405183	0.2918913	0.5485389	0.0612868
800	0.9866616	0.9989736	0.3261182	0.8187683	0.2670219	0.3427133	0.9741231	0.2711323	0.5417068	0.0581888
850	0.9937792	0.9992011	0.2817969	0.8715049	0.3196194	0.3665824	0.9874492	0.2587066	0.5551118	0.0569610
900	0.9971063	0.9992955	0.2567843	0.9049582	0.3724885	0.3858806	0.9923359	0.2517478	0.5765673	0.0564818
950	0.9986558	0.9993351	0.2432023	0.9245043	0.4182392	0.3995944	0.9941188	0.2480156	0.5974730	0.0562950
1000	0.9993760	0.9993519	0.2360303	0.9353567	0.4537530	0.4085338	0.9948007	0.2460730	0.6140000	0.0562216

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2285687	0.8566578	0.5609049	0.4196543	0.9959844	0.1717201	0.6387592	0.0561719
100	1.0000000	0.9993649	0.2285675	0.7775226	0.6134001	0.4094083	0.9961928	0.0900412	0.6137009	0.0561719
150	1.0000000	0.9993649	0.2285670	0.7437654	0.6495145	0.3933182	0.9959744	0.0433824	0.5804124	0.0561719
200	1.0000000	0.9993649	0.2285668	0.7316261	0.6698755	0.3786172	0.9957423	0.0208454	0.5536386	0.0561719
250	1.0000000	0.9993649	0.2285667	0.7275572	0.6803411	0.3684258	0.9956053	0.0106955	0.5366478	0.0561719
300	1.0000000	0.9993649	0.2285666	0.7262395	0.6854567	0.3624119	0.9955414	0.0062798	0.5272090	0.0561719
350	1.0000000	0.9993649	0.2285666	0.7258205	0.6878848	0.3592080	0.9955154	0.0043940	0.5223839	0.0561719
400	1.0000000	0.9993649	0.2285666	0.7256886	0.6890169	0.3576144	0.9955056	0.0035969	0.5200506	0.0561719
450	1.0000000	0.9993649	0.2285666	0.7256473	0.6895391	0.3568590	0.9955021	0.0032620	0.5189652	0.0561719
500	1.0000000	0.9993649	0.2285666	0.7256345	0.6897784	0.3565133	0.9955009	0.0031217	0.5184741	0.0561719
550	1.0000000	0.9993649	0.2285666	0.8164469	0.6491221	0.3592698	0.9946116	0.0754555	0.5221954	0.0561719
600	1.0000000	0.9993649	0.2285666	0.8955845	0.5946466	0.3733275	0.9944778	0.1571083	0.5446883	0.0561719
650	1.0000000	0.9993649	0.2285666	0.9293428	0.5589908	0.3907777	0.9948139	0.2037562	0.5770931	0.0561719
700	1.0000000	0.9993649	0.2285666	0.9414826	0.5399854	0.4042172	0.9950855	0.2262886	0.6046931	0.0561719
750	1.0000000	0.9993649	0.2285666	0.9455517	0.5308040	0.4125197	0.9952257	0.2364366	0.6228988	0.0561719
800	1.0000000	0.9993649	0.2285666	0.9468695	0.5266145	0.4170508	0.9952857	0.2408515	0.6332814	0.0561719
850	1.0000000	0.9993649	0.2285666	0.9472886	0.5247724	0.4193375	0.9953089	0.2427370	0.6386861	0.0561719
900	1.0000000	0.9993649	0.2285666	0.9474205	0.5239832	0.4204318	0.9953173	0.2435339	0.6413333	0.0561719
950	1.0000000	0.9993649	0.2285666	0.9474618	0.5236517	0.4209362	0.9953202	0.2438688	0.6425762	0.0561719
1000	1.0000000	0.9993649	0.2285666	0.9474747	0.5235147	0.4211622	0.9953212	0.2440090	0.6431423	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.8360682	0.9995231	0.2365702	0.8350466	0.5217526	0.3546041	0.9951869	0.2484394	0.6403901	0.0370140
100	0.6408887	0.9994636	0.3013822	0.7330825	0.5083124	0.2775748	0.9943730	0.2779147	0.6347174	0.0178628
150	0.5213299	0.9988146	0.4338020	0.6709416	0.4690818	0.2371235	0.9918998	0.3302010	0.6491302	0.0102010
200	0.4588021	0.9974357	0.5819244	0.6109387	0.4067854	0.2227239	0.9812463	0.3844773	0.6810727	0.0112400
250	0.4280764	0.9956276	0.7027282	0.5463535	0.3382933	0.2178034	0.9489474	0.4272154	0.7148088	0.0171259
300	0.4134049	0.9939164	0.7853798	0.4882990	0.2768976	0.2124318	0.8931080	0.4559400	0.7412631	0.0241709
350	0.4064974	0.9926238	0.8363175	0.4444965	0.2278035	0.2044148	0.8307708	0.4734701	0.7589478	0.0300751
400	0.4032685	0.9917856	0.8656871	0.4152501	0.1912627	0.1954403	0.7786725	0.4835236	0.7696768	0.0341568
450	0.4017648	0.9912951	0.8818740	0.3972536	0.1654495	0.1874448	0.7423714	0.4890506	0.7757784	0.0366558
500	0.4010658	0.9910273	0.8905135	0.3867802	0.1479684	0.1813142	0.7198004	0.4919982	0.7790913	0.0380662
550	0.5646730	0.9864113	0.8841032	0.4560994	0.1375614	0.2140682	0.7080017	0.4870533	0.7713786	0.0672881
600	0.7597020	0.9902331	0.8018584	0.5264050	0.1372158	0.2491787	0.7225520	0.4480990	0.7177439	0.0732452
