"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.7549763	0.1984878	1.0587589	0.0311376	0.0388760	0.0801783	0.5359878	0.2533509	0.0846675	0.0298930	0.7148714	1.0550850	0.0560587	0.5634705	0.9136286	0.0037225	0.0298014	0.5198516	0.0750093	0.5851940
250	0.6445703	0.2049573	1.0236508	0.0755122	0.0335376	0.0793369	0.4989542	0.2082204	0.0733968	0.0312674	0.7469470	1.0028710	0.0602316	0.5489964	0.9664402	0.0000252	0.0304204	0.5020277	0.0648661	0.5340414
300	0.7416329	0.2263529	1.0080389	0.0726088	0.0400335	0.0733256	0.3870441	0.1733195	0.0959392	0.0323875	0.7603747	1.0165483	0.0328537	0.4840447	0.9438059	0.0029773	0.0279326	0.3595356	0.0757733	0.4375368
350	0.6980546	0.2264538	0.9782076	0.0603055	0.0342663	0.0720666	0.3870246	0.2016659	0.0753020	0.0476817	0.6556473	1.0277538	0.0547904	0.5078296	0.8717660	0.0026363	0.0300690	0.3541096	0.0994164	0.4649493
400	0.6731930	0.2669581	0.8634497	0.0291724	0.0404489	0.0927126	0.5048345	0.2199306	0.0716019	0.0343793	0.6183392	0.9946217	0.0403810	0.5432824	0.8896458	0.0121138	0.0523251	0.3974368	0.1209050	0.5379118
450	0.6785094	0.2652501	1.0587676	0.0324511	0.0455513	0.1166031	0.4827500	0.2563734	0.0977717	0.0313016	0.7012329	1.0922466	0.0709053	0.6744694	0.9956854	0.0150850	0.0706449	0.4385595	0.1040268	0.4868877
500	0.8281942	0.2712682	1.0355979	0.0268942	0.0312466	0.0907900	0.6238470	0.2233387	0.0976462	0.0400361	0.7195517	1.1123335	0.0732313	0.6204911	1.0250109	0.0085300	0.0269627	0.5173158	0.1026926	0.4994841
550	0.8448065	0.2568394	1.0490158	0.0260670	0.0347943	0.1487293	0.7159431	0.2539461	0.0683956	0.0227326	0.7226853	1.0302847	0.0565567	0.6027132	1.0342695	0.0085831	0.1016028	0.6457634	0.0702597	0.5857516
600	0.7654305	0.2634858	1.0159958	0.0750983	0.0488354	0.1675369	0.6630215	0.2449917	0.0822978	0.0289312	0.5923868	0.9821853	0.0730433	0.6384545	0.9823340	0.0061072	0.0840453	0.5449874	0.0920813	0.6729181
650	0.7463001	0.2869518	1.0795846	0.0567158	0.0466226	0.1249740	0.7212163	0.2882708	0.0792053	0.0210285	0.4634475	1.0957544	0.0788643	0.5716828	0.9592117	0.0098403	0.0734587	0.5630593	0.1086736	0.5986786
700	0.7727667	0.2642247	1.0272092	0.0617730	0.0328115	0.1415193	0.6666500	0.2218791	0.1045844	0.0358991	0.3869166	1.0375143	0.0583289	0.6141685	0.9468411	0.0162110	0.1034296	0.6438963	0.1103188	0.5182921
750	0.6981077	0.2137769	0.9936238	0.0368522	0.0540445	0.1316312	0.6772921	0.2310545	0.0996361	0.0472589	0.3596253	0.9921384	0.0497869	0.5142920	0.9697510	0.0211068	0.1615096	0.5259960	0.1027569	0.5832309
800	0.6927069	0.2414458	1.0138060	0.0423607	0.0520349	0.0952451	0.5941744	0.2083122	0.0960959	0.0260220	0.3537668	0.9084027	0.0317794	0.4354028	1.0305385	0.0112044	0.1023808	0.5044055	0.1011483	0.5483749
850	0.7760044	0.3272910	1.0853136	0.0421839	0.0261125	0.1036733	0.5975176	0.2275439	0.0914752	0.0284089	0.3512917	1.0534951	0.0561722	0.3764125	0.9930059	0.0182140	0.0959140	0.4812427	0.1087252	0.5329097
900	0.9050284	0.2562560	1.0581927	0.0574954	0.0403390	0.1030325	0.7194084	0.2739975	0.0762588	0.0387343	0.3563330	1.0708807	0.0601355	0.3984441	1.0560148	0.0120654	0.1158148	0.5618835	0.1366530	0.6514945
950	0.8331977	0.2474009	1.1175255	0.0502240	0.0365239	0.1341637	0.7259394	0.2781693	0.0453796	0.0364059	0.3637225	1.1012754	0.0557713	0.4007961	0.9820094	0.0077013	0.1349710	0.5205359	0.1303494	0.6169281
1000	0.8448251	0.2099347	1.2080763	0.0456518	0.0321007	0.1665758	0.7340652	0.2689993	0.0609050	0.0443520	0.4087535	1.0491567	0.0636620	0.4967971	0.9650429	0.0136668	0.0750726	0.5314557	0.1056594	0.7157895

0	0.6395742	0.2301083	1.0544577	0.0552494	0.0340138	0.1292057	0.5490392	0.2517530	0.0892154	0.0343910	0.3556123	0.9822353	0.0669199	0.4187159	1.0923361	0.0064589	0.1152816	0.4917062	0.0925163	0.5722956
50	0.7841974	0.2844234	0.8634891	0.0451755	0.0800019	0.1197894	0.6980488	0.2334564	0.0938666	0.0455146	0.3744751	0.9646542	0.0717823	0.4387834	0.9694364	0.0110411	0.1342545	0.5576013	0.0744775	0.5760509
100	0.7895557	0.3344164	0.7603945	0.0430392	0.1363683	0.1629489	0.7345553	0.2843862	0.1009375	0.0455350	0.4341160	0.9552751	0.0933127	0.4134571	1.0003741	0.0116225	0.1449468	0.6062072	0.0422971	0.6088920
150	0.8438842	0.4504597	0.6390575	0.0498424	0.2103736	0.2030703	0.8620834	0.3714462	0.1363527	0.0520260	0.4549702	0.9674347	0.1121874	0.4337538	0.9976761	0.0107685	0.1819452	0.6663797	0.0459313	0.6288265
200	0.7859327	0.5114607	0.5905540	0.0689109	0.2588872	0.3241439	0.8999316	0.4318545	0.1528918	0.0607281	0.4235673	0.9340947	0.1328171	0.4712483	0.9236465	0.0066281	0.2627329	0.7739966	0.0381946	0.6080152
250	0.8634824	0.5812670	0.6271378	0.0638067	0.3114307	0.4161750	0.9883370	0.4543983	0.3138994	0.0844754	0.4444813	1.0049952	0.1268793	0.5035209	0.9287553	0.0067931	0.3305702	0.8166215	0.0293267	0.6446238
300	0.8956066	0.6212401	0.6053342	0.0657600	0.3421836	0.3902274	1.0139355	0.4891141	0.4122554	0.1117035	0.4606297	0.9655450	0.0802490	0.5084307	1.0076926	0.0060625	0.3347045	0.8657528	0.0239322	0.6572983
350	0.9158581	0.6567559	0.5684557	0.0609093	0.3171519	0.5322315	1.0354392	0.5891058	0.5172091	0.1180567	0.4703745	0.9184687	0.1444477	0.5194212	0.9243432	0.0099839	0.3530677	0.8845657	0.0425111	0.7065491
400	0.9232683	0.6758146	0.6227296	0.0821052	0.4103361	0.5041127	0.9463244	0.5883101	0.6053687	0.1310300	0.5258489	0.9961431	0.1288167	0.5333820	0.9591126	0.0143802	0.4129906	0.9519976	0.0373326	0.7644704
450	0.9300189	0.6564663	0.6062156	0.0969152	0.3902242	0.6145563	1.0164510	0.6766843	0.6092642	0.1274418	0.6170364	1.0025293	0.1795254	0.5013983	0.9367847	0.0173458	0.3540248	0.9038782	0.0334495	0.7326525
500	0.8941748	0.5879975	0.5583407	0.0738911	0.3667297	0.6421709	1.1078956	0.6833327	0.6249450	0.0909449	0.5597685	1.0426821	0.2023951	0.5196928	0.9865495	0.0305744	0.2996392	1.0077131	0.0197848	0.7185884
550	0.8968928	0.5768206	0.7925078	0.0624938	0.2919634	0.6049035	0.9857622	0.7852281	0.5956620	0.0852650	0.5290373	1.0220040	0.1200765	0.5665032	0.9862260	0.0293532	0.3253561	0.9788659	0.1082950	0.6513599
600	0.9004543	0.5359138	0.9772912	0.0629453	0.2316846	0.5705645	1.0527091	0.6038424	0.4807382	0.0465867	0.5110817	1.0102559	0.1111900	0.5357722	1.0332957	0.0247026	0.3355709	0.8536361	0.1812627	0.6686626
650	0.9766343	0.3923322	1.0363764	0.0520377	0.2009868	0.5382568	1.0647419	0.5618757	0.4843764	0.0439893	0.4788395	1.0269394	0.0903452	0.5731783	0.9832058	0.0242800	0.2638608	0.8402991	0.2079216	0.6484941
700	0.9379641	0.3389688	1.0558737	0.0481387	0.1432391	0.4417568	0.9948169	0.4745496	0.3618515	0.0306928	0.4964247	0.9689388	0.0924286	0.5575085	0.9643492	0.0094384	0.2023051	0.7892546	0.1959041	0.6662613
750	0.8354795	0.2901863	0.9415934	0.0523853	0.0946574	0.3443734	0.9626623	0.3181238	0.2371896	0.0284480	0.4423163	0.9746490	0.0779706	0.4938361	1.0192509	0.0110571	0.1851366	0.7632909	0.1930383	0.6317401
800	0.8522713	0.2984625	0.9597853	0.0612710	0.0651079	0.2475961	0.9693876	0.3296954	0.2100891	0.0396283	0.4751963	0.9312925	0.0529632	0.4585662	1.0409855	0.0057400	0.1676923	0.6574987	0.1238156	0.6318105
850	0.9032901	0.2625739	0.8752520	0.0651037	0.0445710	0.2601689	0.9564071	0.3156329	0.1625975	0.0282593	0.4460460	0.9301039	0.0565707	0.4320437	1.0709196	0.0171548	0.1489297	0.5908093	0.1227725	0.5970553
900	0.7878354	0.2951265	0.9837542	0.0738647	0.0570106	0.2298575	0.9419426	0.3198507	0.1677505	0.0412485	0.4884905	0.9394058	0.0398240	0.4568069	1.0982101	0.0124140	0.1723340	0.6457318	0.1312688	0.5797026
950	0.8264928	0.2917066	1.0555466	0.0262324	0.0298726	0.1815104	0.9543179	0.2909861	0.1632261	0.0307684	0.4751564	0.9693789	0.0421510	0.4704066	1.0932658	0.0116400	0.1467809	0.6117468	0.1319903	0.5481589
1000	0.8328421	0.2739134	1.0146998	0.0499584	0.0361259	0.1866582	0.9668644	0.3372400	0.1400675	0.0185781	0.4492681	0.9434093	0.0694455	0.4838417	1.0586987	0.0216294	0.1160715	0.6079309	0.1544147	0.6033724

0	0.6395742	0.2301083	1.0544577	0.0552494	0.0340138	0.1292057	0.5490392	0.2517530	0.0892154	0.0343910	0.3556123	0.9822353	0.0669199	0.4187159	1.0923361	0.0064589	0.1152816	0.4917062	0.0925163	0.5722956
50	0.7425108	0.3283134	0.9067358	0.0313122	0.0173529	0.1061173	0.7373406	0.1780371	0.0988698	0.0318668	0.3586397	1.0010314	0.0712709	0.4931441	1.0323648	0.0123690	0.1087772	0.4649302	0.1264953	0.5544203
100	0.7226538	0.3049992	0.8565071	0.0065765	0.0306506	0.1786090	0.7199100	0.2385752	0.1061479	0.0301917	0.4353506	0.9534807	0.0740184	0.6510661	1.0198001	0.0173067	0.1473824	0.5046566	0.1309833	0.6271009
150	0.7600879	0.2970238	0.9214798	0.0057031	0.0401974	0.1620534	0.7709036	0.3268456	0.1146452	0.0507168	0.5863597	0.9970903	0.0775236	0.7175415	1.0688704	0.0104632	0.1400035	0.5897509	0.1651042	0.6098293
200	0.7682252	0.3063878	0.9088556	0.0026607	0.0558742	0.2398839	0.8018933	0.2983793	0.1299483	0.0518588	0.6196685	0.9618471	0.0801723	0.8118793	1.0258539	0.0004066	0.1873655	0.5688695	0.1415671	0.6792514
250	0.8660744	0.3106741	0.8815645	0.0031530	0.0421100	0.2626229	0.7957048	0.3188297	0.1184286	0.0500401	0.7089122	1.0064858	0.0869207	0.8917231	0.9394649	0.0024957	0.1859068	0.5790871	0.1440871	0.5435330
300	0.9725808	0.3330778	0.9368160	0.0009204	0.0436599	0.2494961	0.8346272	0.2817365	0.1454065	0.0546641	0.6136556	0.9539422	0.0725290	0.8930194	0.9425688	0.0124570	0.1636882	0.6141142	0.0902985	0.6443915
350	0.9186901	0.3414954	1.0557134	0.0014401	0.0417795	0.2746709	0.9228515	0.3032921	0.1391226	0.0337635	0.6924966	1.0771696	0.0966281	0.8366981	1.0194204	0.0110119	0.1398178	0.6302484	0.0931912	0.6469850
400	0.8539501	0.2733221	1.0051785	0.0007973	0.0736346	0.2784243	0.9814305	0.2531002	0.1354740	0.0319627	0.7518397	1.0106332	0.0793239	0.7427389	0.9960998	0.0023067	0.1285820	0.6337049	0.1187693	0.6113106
450	0.8079645	0.2648408	1.0452446	0.0039031	0.0432905	0.2954862	0.9449084	0.2734358	0.1555014	0.0259156	0.6800318	1.0933062	0.0665555	0.8385611	1.1191719	0.0060467	0.0993139	0.6497260	0.1110879	0.6250034
500	0.8216596	0.2548680	1.0553884	0.0004053	0.0303487	0.2339430	0.8218670	0.2825029	0.1378158	0.0524244	0.6700312	1.0191995	0.0612316	0.8789710	1.1080274	0.0027982	0.0966627	0.5580258	0.1083069	0.5847793
550	0.8075018	0.2582773	0.8946326	0.0182459	0.0409076	0.1779885	0.8033795	0.2322748	0.1209593	0.0482504	0.6608040	0.9704226	0.0472975	0.7760769	1.0624852	0.0094432	0.0910133	0.4695939	0.1178659	0.6021741
600	0.7737961	0.2610293	0.9819540	0.0300756	0.0440897	0.2038602	0.7905727	0.2414086	0.1268142	0.0490365	0.5033225	1.0080863	0.1005450	0.6317680	0.9532287	0.0052649	0.1075721	0.5001152	0.0970970	0.5901976
650	0.8086509	0.2532460	1.0466520	0.0320330	0.0452256	0.1636028	0.8391541	0.1873805	0.1656092	0.0355171	0.4718658	0.9621080	0.0743606	0.5738733	0.9537427	0.0136696	0.1323828	0.5132811	0.1104959	0.6051679
700	0.7389038	0.2930218	1.0624002	0.0407761	0.0543965	0.1246086	0.7897623	0.2469030	0.1245640	0.0209028	0.4535854	0.9662606	0.0453859	0.5215547	0.9687344	0.0198364	0.1277836	0.5315915	0.1089005	0.6871894
750	0.7740392	0.2743715	1.0213508	0.0389825	0.0675127	0.1183988	0.7791894	0.2640883	0.1097364	0.0338409	0.4185609	0.9961394	0.0521549	0.5082870	0.9504637	0.0048572	0.1446732	0.5377923	0.1045235	0.6790305
800	0.8298607	0.2473398	1.0292258	0.0522722	0.0634222	0.1318018	0.7683800	0.2349593	0.1179341	0.0375423	0.3866580	0.9712722	0.0681453	0.5353541	0.9522885	0.0073174	0.1118321	0.5709393	0.1342604	0.7251981
850	0.8195811	0.2403926	0.9663616	0.0354314	0.0480217	0.1479701	0.8336287	0.2287761	0.0828985	0.0210487	0.4198654	1.0619793	0.0571099	0.4884345	0.9439182	0.0045222	0.0965337	0.6313821	0.0859721	0.5984234
900	0.7843296	0.2726322	1.0003643	0.0530478	0.0330800	0.1229054	0.8955803	0.2067739	0.1143213	0.0222281	0.4008987	1.1304717	0.0968552	0.5002549	1.0230153	0.0135467	0.1046024	0.5734640	0.1024369	0.5637641
950	0.7460970	0.2496181	0.9152018	0.0509310	0.0337329	0.1291225	0.8779578	0.2060459	0.1231477	0.0278857	0.3852784	1.0688462	0.0943989	0.5312847	0.9952686	0.0098821	0.1206844	0.5539621	0.1019776	0.5679926
1000	0.7675082	0.2821375	1.0425910	0.0388068	0.0124466	0.1324500	0.8262059	0.2694671	0.1067816	0.0288536	0.3994447	1.0803117	0.0737407	0.5192396	0.8698288	0.0028701	0.1222043	0.5340602	0.0842909	0.6155127

0	0.6395742	0.2301083	1.0544577	0.0552494	0.0340138	0.1292057	0.5490392	0.2517530	0.0892154	0.0343910	0.3556123	0.9822353	0.0669199	0.4187159	1.0923361	0.0064589	0.1152816	0.4917062	0.0925163	0.5722956
50	0.7259666	0.2202938	0.9605933	0.0325944	0.0550391	0.1762040	0.4588946	0.2374357	0.0743011	0.0257280	0.3633951	0.8827295	0.0951441	0.4637879	0.9233635	0.0031273	0.1270789	0.5868539	0.0756737	0.5114560
100	0.7741319	0.2667530	0.9702301	0.0117666	0.0570648	0.2351084	0.5482855	0.2383811	0.0688137	0.0377275	0.3960465	0.9219175	0.0698991	0.4434769	0.9128767	0.0043845	0.0914590	0.6640985	0.0859738	0.6163338
150	0.7875696	0.2429124	0.8733587	0.0322716	0.0661187	0.2432895	0.6343025	0.2833430	0.0547206	0.0421082	0.3704478	1.0318186	0.0736953	0.4613853	0.8907488	0.0046052	0.0852738	0.8242496	0.0840449	0.5753754
200	0.8420730	0.2771934	1.0356240	0.0436250	0.0286329	0.2658894	0.6624051	0.2573496	0.0676107	0.0269445	0.3922271	1.0394549	0.0598618	0.4379305	0.9449930	0.0124438	0.0888680	0.7506563	0.0873194	0.6017136
250	0.7464714	0.2259084	0.9845678	0.0493614	0.0322108	0.2925922	0.7391850	0.2516374	0.0725921	0.0256756	0.3984576	0.9725520	0.0539471	0.4535599	0.9442435	0.0125547	0.1238981	0.7166843	0.1280107	0.6127362
300	0.7087336	0.2313504	0.9904828	0.0388218	0.0368837	0.2509237	0.7024182	0.2147420	0.0621074	0.0253666	0.3828162	1.0341675	0.0495505	0.4335791	0.9062434	0.0135973	0.0845637	0.6936792	0.0818921	0.5759370
350	0.7454681	0.2064345	0.9373357	0.0451761	0.0220947	0.2137443	0.6385728	0.2417122	0.0827679	0.0265505	0.4113508	1.0885643	0.0572410	0.4129869	1.0404035	0.0153874	0.0882091	0.7028897	0.0825795	0.5260413
400	0.7591421	0.2149284	0.9857487	0.0477197	0.0363195	0.2273120	0.6233238	0.2536198	0.0982723	0.0295703	0.3633766	1.0130221	0.0638712	0.4748978	1.0089815	0.0199306	0.0760452	0.7776191	0.0886874	0.5700168
450	0.6738226	0.1902537	1.0313619	0.0558333	0.0293430	0.2295760	0.6439053	0.2396804	0.0877561	0.0380389	0.3720802	1.0025499	0.0687684	0.4302849	1.0300791	0.0133531	0.1163961	0.7819542	0.0672985	0.5791625
500	0.6584755	0.1695227	0.9869343	0.0310412	0.0421517	0.2357792	0.4984531	0.2138398	0.0690122	0.0422846	0.3697328	1.0215453	0.0634722	0.4182215	1.0304523	0.0095432	0.1128213	0.7420340	0.0491608	0.5973833
550	0.6703480	0.1743906	1.0353484	0.0492685	0.0324436	0.1885757	0.3883074	0.1912430	0.0540520	0.0437421	0.3475946	1.0629896	0.0517346	0.4261908	0.9891477	0.0089484	0.1032626	0.5832201	0.0235754	0.6280957
600	0.6419312	0.2307950	1.0177348	0.0266184	0.0269436	0.0944873	0.3838577	0.1812502	0.0689933	0.0262508	0.3464611	0.9061142	0.0552611	0.4547978	1.0735952	0.0080829	0.0939895	0.4522305	0.0552655	0.5630448
650	0.6593596	0.2536574	0.8875609	0.0386156	0.0278392	0.0967444	0.3508419	0.2157928	0.0611317	0.0354088	0.3402819	0.8847708	0.0700973	0.4729748	1.0067619	0.0038773	0.1204968	0.5135898	0.0547983	0.5950247
700	0.7160665	0.2246171	0.8653599	0.0563434	0.0377618	0.0764392	0.4416795	0.1926078	0.0997778	0.0250905	0.3325424	1.0318917	0.0720608	0.5257606	1.0310982	0.0090286	0.1246101	0.4920574	0.0670543	0.5270529
750	0.8024773	0.2817728	0.9255624	0.0282297	0.0428680	0.0647247	0.5037928	0.2236301	0.0792834	0.0320923	0.3868897	1.0461576	0.0741467	0.4932355	0.9877795	0.0091906	0.1054542	0.5623868	0.0850516	0.5364637
800	0.8320591	0.2879338	0.9831130	0.0520110	0.0333617	0.1094981	0.5885808	0.2452580	0.0854979	0.0374187	0.3481590	0.9766630	0.0774820	0.5041070	1.0673344	0.0090726	0.1053437	0.6024654	0.1213903	0.5447546
850	0.8104777	0.2788732	0.9623293	0.0646921	0.0481811	0.1266147	0.6423178	0.2501738	0.1085552	0.0498698	0.3634386	0.9948764	0.0796531	0.4826741	1.0162332	0.0135082	0.1035214	0.5586727	0.0793358	0.6004433
900	0.7387801	0.2861620	0.9891347	0.0439175	0.0595066	0.1532547	0.7957972	0.2475455	0.0988748	0.0289913	0.4113157	0.9987027	0.0709208	0.3956021	1.0598055	0.0153249	0.1009232	0.5540647	0.1102506	0.5193157
950	0.8172490	0.2567901	1.0628569	0.0381538	0.0666513	0.1262303	0.7857935	0.2948657	0.0814250	0.0521195	0.4167088	1.0028454	0.0532406	0.4497314	1.0552531	0.0164451	0.1465457	0.4868135	0.1068674	0.5611875
1000	0.6972639	0.1890701	1.0877194	0.0300320	0.0467745	0.1206878	0.7426972	0.3156094	0.0836720	0.0383979	0.4067655	0.9807594	0.0588179	0.4256827	0.9903123	0.0115256	0.1196473	0.5262312	0.0792950	0.5930334

0	0.6395742	0.2301083	1.0544577	0.0552494	0.0340138	0.1292057	0.5490392	0.2517530	0.0892154	0.0343910	0.3556123	0.9822353	0.0669199	0.4187159	1.0923361	0.0064589	0.1152816	0.4917062	0.0925163	0.5722956
50	0.7512751	0.2609871	1.0038720	0.0427425	0.0495543	0.0415573	0.4902740	0.1969337	0.0791071	0.1452966	0.4186311	0.9966782	0.0486783	0.4679490	0.9813953	0.0302566	0.1079205	0.4902681	0.1064736	0.7211733
100	0.7902594	0.2649071	1.0664007	0.0447119	0.0429739	0.0843351	0.6020477	0.2159554	0.1267672	0.2429162	0.4183500	0.9917402	0.0638414	0.4785462	0.9392257	0.0120894	0.1093400	0.5026523	0.0995089	0.8414728
150	0.7188241	0.2104710	1.0431223	0.0407682	0.0473673	0.0956898	0.6153119	0.1920982	0.0901526	0.2934811	0.3838222	1.0083161	0.0543153	0.4021520	0.9380441	0.0130069	0.0835215	0.4533862	0.0946964	0.8965776
200	0.5496727	0.2115955	1.0611527	0.0481393	0.0442114	0.0895289	0.5685289	0.1568342	0.0676708	0.2991115	0.4136577	1.0190458	0.0417880	0.4240687	0.9008922	0.0081529	0.0834999	0.5047024	0.0707889	0.9458603
250	0.6507843	0.2023204	1.0439361	0.0724990	0.0403426	0.0646556	0.4049538	0.1689838	0.0787486	0.2433710	0.3381571	1.0050960	0.0585219	0.4497996	0.9082071	0.0090995	0.0917332	0.4062715	0.0875327	1.0251890
300	0.6357547	0.2090806	0.9960436	0.0587063	0.0215083	0.0847936	0.4184507	0.1732578	0.0601892	0.3170771	0.3666249	0.9247756	0.0516129	0.4460887	0.9736252	0.0095253	0.1135536	0.3925508	0.0767743	1.0242054
350	0.5656692	0.2091551	0.9528691	0.0378955	0.0263143	0.0535133	0.3585519	0.1501563	0.0759474	0.3033840	0.3320889	0.8603313	0.0617659	0.4097441	1.0122686	0.0057994	0.1393369	0.3696480	0.0477407	0.9612177
