"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0051805	0.7372431	0.7258965	0.5503785	0.2506827	0.0014098	0.6622833	0.0200220	0.8301018	0.0057147
450	0.0121686	0.6346807	0.6747987	0.7330566	0.2834735	0.0141676	0.5848105	0.0229575	0.7425672	0.0194026
500	0.0097089	0.7898390	0.7193631	0.6432848	0.2749601	0.0057654	0.6032075	0.0179495	0.6084741	0.0078484
550	0.0127383	0.7225074	0.7203876	0.7927419	0.3770626	0.0041678	0.5002431	0.0188162	0.7000264	0.0097164
600	0.0105532	0.6706142	0.6389166	0.8168209	0.2405579	0.0036768	0.6025884	0.0114138	0.7168604	0.0085349
650	0.0071925	0.6217094	0.6662048	0.8145531	0.1789340	0.0065435	0.5018855	0.0057558	0.6908470	0.0126126
700	0.0073211	0.5833362	0.7642037	0.6200936	0.2426442	0.0090586	0.5001814	0.0138165	0.7132550	0.0130057
750	0.0023613	0.6248131	0.7248202	0.7574772	0.2243615	0.0042822	0.6114606	0.0146895	0.6603892	0.0041111
800	0.0042363	0.6577974	0.6316808	0.7945733	0.1884562	0.0068741	0.5446113	0.0247544	0.5849178	0.0206611
850	0.0062831	0.6019428	0.6900172	0.6872120	0.2219373	0.0061733	0.5609623	0.0099611	0.5512690	0.0072052
900	0.0095411	0.7289205	0.6492799	0.7638762	0.2990653	0.0140801	0.6085277	0.0206894	0.5522392	0.0121551
950	0.0024826	0.6569443	0.7113785	0.6115511	0.2410831	0.0198112	0.6175396	0.0187263	0.6789194	0.0176646
1000	0.0114206	0.7183971	0.7379231	0.7680693	0.3258107	0.0059559	0.6835475	0.0180514	0.5840353	0.0218230

0	0.0171337	0.6730122	0.8264799	0.7093267	0.2335927	0.0073410	0.5430099	0.0190918	0.5979061	0.0154364
50	0.0038964	0.7033878	0.4571409	0.7600391	0.2276296	0.0105032	0.4396099	0.0296245	0.6344529	0.0119744
100	0.0083997	0.6757186	0.4776640	0.6932896	0.2101111	0.0079722	0.5071464	0.0078899	0.6987323	0.0073076
150	0.0020443	0.6307044	0.3392410	0.7942341	0.2862782	0.0028092	0.5043872	0.0030458	0.7482989	0.0109825
200	0.0052764	0.6351559	0.4456621	0.6311813	0.1956904	0.0090522	0.4630797	0.0117290	0.5605320	0.0057795
250	0.0032688	0.7554887	0.3772220	0.5915968	0.2865378	0.0104905	0.5386357	0.0160546	0.6254761	0.0086225
300	0.0132048	0.5619926	0.3685457	0.7005696	0.3122490	0.0128814	0.6090123	0.0054085	0.6270915	0.0164911
350	0.0136554	0.9203867	0.4026352	0.7234752	0.2088369	0.0184556	0.5834691	0.0037281	0.6894064	0.0181022
