"Time"	relE	relB	hokD	alaS	ilvN
700	0.0815164	1.0506511	0.1463404	1.0138728	1.0239472
750	0.1020921	1.0463260	0.1060686	0.9978582	1.0082573
800	0.1062195	1.0191281	0.1085093	1.0086044	0.9988289
850	0.0926209	0.9391773	0.1334474	0.9337511	1.0016961
900	0.0796216	0.9904116	0.1300679	0.9904856	1.0373495
950	0.1200119	1.0073990	0.1036519	0.9733526	1.0693986
1000	0.0698586	1.0097629	0.0723239	0.9687627	0.9945834

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0338211	0.4984910	0.1791121	0.5634347	1.0544039
100	0.0149143	0.4538015	0.3185461	0.5640496	1.0846910
150	0.0033513	0.3658539	0.7589569	0.5649845	1.0459242
200	0.0055422	0.3242300	0.9109288	0.5218693	0.9723455
250	0.0063559	0.3562195	1.0125813	0.5525202	1.0027157
300	0.0074141	0.3623423	0.9788628	0.5543581	0.9880220
350	0.0055227	0.3780141	1.0858923	0.5849274	1.0237372
400	0.0025014	0.3703479	0.9954129	0.5036831	0.9640035
450	0.0005428	0.3344730	0.9890406	0.5010036	0.9706475
500	0.0053475	0.3728213	0.9388041	0.5767724	1.0466730
550	0.0701063	0.8794898	0.9098323	0.8045245	1.0231048
600	0.0874293	0.9434489	0.4321780	1.0263109	0.9944710
650	0.0936576	1.0311018	0.2424369	1.0532855	1.0232603
700	0.1001965	0.9382833	0.1374342	1.0889209	1.0402056
750	0.0676586	0.9961439	0.1260039	1.0759018	1.0681588
800	0.0903359	0.9644400	0.1278833	1.0152162	1.0468538
850	0.0820120	1.0150114	0.1208186	1.0080205	0.9748522
900	0.0888888	0.9185308	0.1131451	1.1066100	1.0228911
950	0.0901658	1.0416981	0.0981156	1.0719448	0.9987096
1000	0.1051437	0.9402751	0.0904230	1.0570951	1.0690214

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0233662	0.9758806	0.0728196	1.0386752	0.9732806
100	0.0126423	1.0624492	0.1599111	0.8880038	0.8625321
150	0.0032337	0.9193400	0.2225714	0.9509582	0.8899332
200	0.0022141	0.9869643	0.3356311	1.0109330	0.8656518
250	0.0005421	0.9122337	0.5830917	0.9808919	0.8265060
300	0.0024702	0.9640615	0.7092898	0.9358854	0.7991499
350	0.0001342	1.0284236	0.6564806	0.9981409	0.8490776
400	0.0000915	0.9536929	0.6680704	1.0242176	0.8073152
450	0.0026291	0.9676375	0.6774563	0.9763106	0.8376719
500	0.0037121	0.9818771	0.7730784	0.8768595	0.8345419
550	0.0683804	1.0036928	0.3865561	0.8863402	1.0259948
600	0.0731324	1.0433546	0.2241457	1.0177062	0.9819154
650	0.0758125	0.9733966	0.1674603	0.9513669	0.9486669
700	0.0770404	0.9802088	0.1405216	1.0356177	0.9607109
750	0.1138956	0.9124275	0.1162445	1.0596336	0.9076436
800	0.1227451	0.9744817	0.1290665	0.9284130	0.8916683
850	0.1145166	0.9151169	0.1152541	0.9644865	0.9416762
900	0.1273787	0.9357937	0.1081060	1.0076646	0.9917904
950	0.0736631	0.9762630	0.1126046	0.9906103	0.9738252
1000	0.0920476	1.0316730	0.1083335	0.8901218	0.9895601

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0864196	0.7818720	0.0701242	1.0128762	0.9804404
100	0.1011110	0.8285954	0.1008616	1.0081355	0.9946451
150	0.0880635	0.8601676	0.1244578	1.1227243	0.9771194
200	0.0945584	0.7689411	0.1339658	1.0968094	0.9926706
250	0.0730692	0.8236502	0.1324778	1.0972842	0.9546697
300	0.0953146	0.8122053	0.1326433	1.1112691	1.1238046
350	0.0909243	0.8095198	0.1650540	0.9573807	0.9831662
400	0.1025216	0.8261353	0.1771786	0.9871049	0.9778377
450	0.0791387	0.7446745	0.1271834	1.0195387	1.0074053
500	0.0913549	0.7655874	0.2136350	0.9613481	0.9742751
550	0.0964677	0.9719858	0.1560460	1.0137257	0.9927985
600	0.1099499	1.0133839	0.1389976	0.9759413	1.0272519
650	0.0968304	0.9831712	0.1067617	0.9689168	0.9964540
700	0.0961720	1.0196796	0.0955268	1.0072402	0.9681091
750	0.0842744	1.0873457	0.1243138	1.0202523	0.9687919
800	0.0848595	1.0358407	0.0930810	0.9361083	1.0776416
850	0.1000552	1.0472466	0.1134904	1.0252099	1.0129087
900	0.0891529	0.9385145	0.0879364	0.9699504	1.0263609
950	0.1211004	0.9871633	0.1024089	0.9976240	1.1299262
1000	0.0878745	1.0397486	0.1094929	1.0986129	0.9974784

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0922770	0.3931763	0.1263481	0.3210357	0.4119680
100	0.0884508	0.2701424	0.3434509	0.2373345	0.2792314
150	0.1194896	0.2227024	0.5307396	0.2535701	0.1987528
200	0.1389456	0.1867549	0.6916041	0.2835273	0.1724601
250	0.1637357	0.2152136	0.7892648	0.2660338	0.1804114
300	0.1456624	0.2060428	0.8383243	0.2684220	0.2190616
350	0.1861264	0.2299260	0.8482100	0.2412176	0.2199932
400	0.1383995	0.2088268	0.9447364	0.2504531	0.1993481
450	0.1719981	0.1730296	0.8765688	0.2693519	0.2101617
500	0.1788915	0.2066756	0.9337205	0.2638441	0.2497349
550	0.1628767	0.8126485	0.5963169	0.8131412	0.7493956
600	0.0997687	0.9706457	0.2351081	0.9138140	0.9434955
650	0.0913010	0.9721002	0.1444688	0.9947049	0.9844335
700	0.1044748	0.9629339	0.0972419	0.9857494	0.9765597
750	0.0871176	0.9894286	0.0981156	0.9245173	0.9759547
800	0.1074828	1.0633271	0.1071104	1.0143106	1.0140127
850	0.0796312	0.9991320	0.1304634	0.9689540	1.0795100
900	0.1044649	1.0173072	0.0920072	0.9472252	1.0447178
950	0.1073958	1.0007938	0.1443246	1.0118631	1.0924814
1000	0.1114250	1.0385355	0.1054732	0.9379608	1.0479679

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0260909	0.5822472	0.1089221	1.0168772	1.0209501
100	0.0054868	0.5056619	0.2421439	1.0897362	1.0256193
150	0.0042483	0.5201535	0.4828685	0.9929384	0.9291605
200	0.0028098	0.4957307	0.6964646	0.9706686	0.9936934
250	0.0010999	0.5243129	0.8414618	1.0350498	1.0917413
300	0.0051533	0.5306630	0.8176583	1.0580249	1.0695980
350	0.0020027	0.5273132	0.8926622	1.0639182	0.9802134
400	0.0019312	0.5685209	0.8973680	1.0051749	1.0392846
450	0.0014620	0.4841814	0.8077906	0.9800351	0.9870113
500	0.0078125	0.4510655	0.9622197	0.9523563	1.0152740
550	0.0753024	0.8574246	0.7947649	0.9841811	1.0699756
600	0.0788618	0.9157339	0.3896534	0.9461684	1.0246659
650	0.0838381	0.9482926	0.1886335	0.9452235	1.0239208
700	0.0540322	0.9320537	0.1424633	0.9397581	1.0319689
750	0.0870764	1.0123212	0.0995648	1.0493989	0.9866745
800	0.1045569	0.9799728	0.1255197	1.1016801	0.9678457
850	0.1053820	0.9707675	0.1041119	0.9619604	0.9736459
900	0.1010084	1.0503483	0.0799225	0.9687311	1.1030546
950	0.0970172	1.0385405	0.0967728	0.9739444	1.0191477
1000	0.0934506	1.0248957	0.1253075	0.9822308	1.0293928

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.1023278	0.3450823	0.1351610	1.0879852	0.9146465
100	0.1069076	0.2455829	0.3216735	1.0756943	0.9210511
150	0.1228914	0.2150467	0.6401796	1.0365551	0.9359578
200	0.1091931	0.2514765	0.8312607	1.0589546	0.9298307
250	0.1275936	0.1760175	0.8954754	0.9152334	0.9344567
300	0.1579804	0.2040782	0.8613192	1.0152607	1.0414241
350	0.1365336	0.1856944	0.7941147	0.9770730	0.9977096
400	0.1343107	0.2377855	0.8614355	0.9956890	0.9848857
450	0.1469953	0.2031362	0.8581252	0.9909977	0.9308647
500	0.1547234	0.2182202	0.8447924	1.0282086	0.9959896
550	0.1444184	0.7979882	0.6174525	0.9562860	0.8927715
600	0.1146253	0.9681871	0.2923002	1.0329771	0.9154784
650	0.1086137	1.0608159	0.1458895	0.9488190	0.9982962
700	0.0808562	1.0087499	0.0983764	0.9992111	0.9317442
750	0.0746153	1.0225834	0.1304976	0.9087320	0.9545474
800	0.0946662	0.8875904	0.1234924	0.9263510	0.9899935
850	0.0898355	0.9306690	0.1295362	0.9881199	1.0170405
900	0.1110312	0.9516758	0.1182680	1.0841565	0.9778609
950	0.1213235	1.0085271	0.0810913	1.0237594	0.9664904
1000	0.1217388	0.9859865	0.1146003	0.9817027	0.9754706

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0467369	0.9818268	0.0502808	0.8925483	0.4650553
100	0.0501447	0.9721943	0.0148840	0.9173476	0.2204113
150	0.0433586	1.0548218	0.0323178	0.8905301	0.1716202
200	0.0314920	1.0182657	0.0127154	0.8222076	0.1274475
250	0.0446491	1.0898522	0.0151328	0.9241696	0.1114943
300	0.0684124	1.0184915	0.0298822	0.9115473	0.1305622
350	0.0289264	1.0508612	0.0101666	0.8613426	0.1473741
400	0.0431239	1.0326120	0.0106531	0.8848473	0.1271013
450	0.0613885	0.9870669	0.0148463	0.8151611	0.1261340
500	0.0429247	1.0720173	0.0406330	0.8865501	0.0928886
550	0.0604581	0.9386069	0.1121901	0.9861367	0.7248061
600	0.0675229	0.9885642	0.0937461	0.9644718	0.9808853
650	0.0868010	1.0317339	0.1087827	1.0585452	1.0123958
700	0.0796026	1.0314217	0.0848893	0.9590282	0.9123748
750	0.0948539	1.0614105	0.1214401	1.0164638	1.0375151
800	0.0862789	0.9832850	0.0890989	0.9894657	0.9724046
850	0.1024958	0.9804653	0.1085655	1.0067945	1.0199781
900	0.1081707	0.9991082	0.1025120	0.9365088	1.0270523
950	0.1023275	0.9699363	0.1118125	1.0046123	0.9274215
1000	0.1095454	0.9804980	0.1119531	1.0598092	1.0159253

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0175037	1.0416650	0.1148745	0.2290567	1.0599537
100	0.0017139	1.0099437	0.1373092	0.0893527	1.0446251
150	0.0007481	1.0153208	0.3140822	0.0704038	1.0414034
200	0.0015845	1.0294660	0.3748841	0.0877563	0.9965244
250	0.0015353	0.9527808	0.4643706	0.0623800	0.9622471
300	0.0003505	0.9906966	0.4378163	0.0860568	0.9709487
350	0.0000049	0.9396427	0.6763000	0.0696129	0.9630695
400	0.0039109	1.0670188	0.9552351	0.0616464	1.0570873
450	0.0031851	0.9495594	0.7096288	0.0642668	0.9899115
500	0.0010728	0.9650388	0.7180429	0.0593492	0.9834914
550	0.0609819	0.9333052	0.3701625	0.8286505	1.0860769
600	0.0698547	0.9923956	0.1737258	0.9950349	0.9943512
650	0.0985382	1.0444114	0.0928494	1.0211743	1.0223117
700	0.0990791	1.0286034	0.1229135	0.8832948	0.9826798
750	0.0937326	0.9728510	0.0976199	0.9921762	1.0427301
800	0.0910720	0.9513283	0.1237473	1.0031602	1.0241732
850	0.0795448	0.9352887	0.1331108	1.0042281	0.9952117
900	0.0856110	0.9731402	0.1109365	1.1034250	0.9443959
950	0.0995667	1.0515200	0.1242716	1.0637634	0.9581872
1000	0.0681074	1.0914429	0.1007585	0.9721085	0.9904376

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0890781	1.0333745	0.0840705	0.9707965	0.9489014
100	0.0918731	0.9633351	0.0904848	1.0012971	0.9398965
150	0.0847266	1.0238978	0.0895308	0.9689633	1.0136294
200	0.0800470	1.0844815	0.0820254	0.9962976	0.9517586
250	0.0945915	1.0173775	0.0994078	1.0117385	0.9807619
300	0.0838432	1.0027972	0.1039821	1.0331546	0.9462349
