"Time"	relE	relB	hokD	alaS	ilvN
700	0.0907584	0.7360635	0.1030739	0.9125704	0.6084408
750	0.0748826	0.7260262	0.1077181	0.7723098	0.7095710
800	0.0780373	0.8341048	0.0614479	0.6131083	0.5915310
850	0.0648111	0.8630554	0.0811801	0.8487097	0.7861957
900	0.1026203	0.6892247	0.1141747	0.6914324	0.7341900
950	0.0914591	0.7301370	0.0883318	0.6775434	0.7336474
1000	0.1158593	0.7390313	0.0815420	0.7842547	0.7920034

0	0.0619915	0.7750492	0.0430444	0.5527933	0.6329233
50	0.0580184	0.4429126	0.0846508	0.4622647	0.7690308
100	0.0217012	0.5446083	0.1570290	0.4322008	0.8227817
150	0.0045810	0.3445132	0.3480964	0.4761407	0.6436009
200	0.0103438	0.3129128	0.5359337	0.5573604	0.6715783
250	0.0028346	0.2385120	0.5428675	0.4322637	0.6093761
300	0.0085721	0.2425635	0.6909522	0.3735605	0.6699326
350	0.0003623	0.3451023	0.7967750	0.3300715	0.6960792
400	0.0029340	0.2545814	0.7656244	0.4360071	0.6006320
450	0.0014602	0.3009732	0.7661771	0.3619791	0.6710792
500	0.0056461	0.3089217	0.6802578	0.3357586	0.7469042
550	0.0471551	0.3475930	0.6328920	0.5779368	0.7717590
600	0.0564130	0.5938909	0.4723750	0.5641060	0.6791668
650	0.0625181	0.6123285	0.2481426	0.6083379	0.6676749
700	0.0766891	0.6373155	0.1373824	0.6794376	0.7052814
750	0.0674476	0.7275622	0.0740303	0.8003480	0.7128566
800	0.0634403	0.6698137	0.0646145	0.7612955	0.8476156
850	0.0480642	0.6948705	0.0869168	0.7374321	0.6836016
900	0.0510439	0.8124438	0.1073856	0.7299072	0.6382245
950	0.0374007	0.6699083	0.0539214	0.9604945	0.5957357
1000	0.1287863	0.7198917	0.0456633	0.9117397	0.7509040

0	0.0806583	0.7089708	0.0973600	0.5905069	0.7143872
50	0.0670883	0.7365666	0.0828749	0.5981688	0.5983157
100	0.0090182	0.6981789	0.0900622	0.6127706	0.5245713
150	0.0418714	0.7122789	0.1178342	0.7083645	0.6436998
200	0.0142382	0.6733750	0.1669314	0.6059014	0.6262123
250	0.0014711	0.7496242	0.2534136	0.6635014	0.6006679
300	0.0032420	0.6447664	0.5066696	0.6774033	0.4867555
350	0.0009491	0.7815549	0.4036880	0.6591774	0.5509017
400	0.0096178	0.7161461	0.3444029	0.6968209	0.6553651
450	0.0014257	0.6098022	0.4273830	0.7239123	0.5990367
500	0.0020181	0.6088244	0.3984390	0.6115166	0.6365913
550	0.0431866	0.8965700	0.4848445	0.6265270	0.7807027
600	0.0435325	0.7113931	0.1587424	0.6205728	0.6537846
650	0.0328359	0.6045122	0.1431548	0.7153872	0.7501777
700	0.0474615	0.6955668	0.1338164	0.6536231	0.7865413
750	0.0598180	0.5869786	0.1251413	0.7726221	0.7254758
800	0.0506562	0.7138555	0.0759948	0.6098612	0.7574810
850	0.0883160	0.7175447	0.0837354	0.6389179	0.6512815
900	0.0777659	0.7720444	0.0633034	0.6580045	0.7273767
950	0.0529786	0.6994284	0.0607934	0.6932236	0.6757919
1000	0.0345499	0.6730060	0.0770054	0.5567643	0.7371249

0	0.0883191	0.8073905	0.0676552	0.7095126	0.6921331
50	0.0828979	0.6630235	0.0504215	0.5842730	0.6646465
100	0.0453402	0.5696141	0.0467147	0.6607004	0.6698214
150	0.0764101	0.6586578	0.0904598	0.7408942	0.6485208
200	0.0872529	0.6033781	0.1437519	0.8479918	0.6475241
250	0.0529975	0.5803526	0.0732918	0.8004165	0.6462367
