"Time"	relE	relB	hokD	alaS	ilvN
700	0.0933511	0.9582345	0.1327725	1.0347447	1.0006560
750	0.1175472	1.0421776	0.1277838	0.9950036	0.9905865
800	0.0970337	1.1078973	0.0968013	0.9597004	0.9121318
850	0.1004334	1.0638786	0.1098972	1.0333305	1.0050774
900	0.1114132	0.9828568	0.1308941	1.0164932	1.0325518
950	0.1057770	0.9391056	0.0969984	0.9489963	1.0311013
1000	0.0927372	0.9701091	0.0938831	0.9721461	1.0287937

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0585091	0.7717500	0.1648347	0.7401518	1.0617519
100	0.0235699	0.6189790	0.2209538	0.6265956	1.0729514
150	0.0054665	0.4958783	0.5517203	0.6235920	0.8927349
200	0.0121581	0.3942281	0.7691172	0.6587133	0.9224584
250	0.0053939	0.3295802	0.9277706	0.5983270	0.9178728
300	0.0092090	0.3696673	0.9522235	0.4696308	0.9992714
350	0.0005188	0.3579173	1.1332666	0.5677480	0.9607570
400	0.0027911	0.3392552	1.0655876	0.5877155	0.9656920
450	0.0013052	0.3682521	1.0769079	0.4982509	0.9636954
500	0.0047557	0.3765163	0.9690485	0.4965012	1.0621761
550	0.0251951	0.5206910	0.9066572	0.6570612	0.9863015
600	0.0566961	0.8224644	0.6349302	0.8403234	0.9823681
650	0.0616628	1.0071496	0.3926526	0.9918826	0.9399705
700	0.0985636	1.0358781	0.2134521	1.0399520	1.1025401
750	0.0854580	0.9781454	0.1226733	1.1262912	0.9946017
800	0.0813662	1.0498330	0.0897000	1.0073635	1.0807103
850	0.0601395	1.0368559	0.1293666	0.9648694	1.0112065
900	0.0734279	1.0674793	0.1635420	1.0868097	1.0030255
950	0.0893923	1.0055707	0.1017651	1.1579695	0.9797093
1000	0.1210704	1.0096768	0.1074452	1.1838487	1.0728860

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0520616	1.1060476	0.1021212	0.9450210	0.9908802
100	0.0227122	0.9659995	0.1246094	0.9673947	0.8568381
150	0.0146729	0.9828040	0.1679253	0.9726204	0.9498929
200	0.0086445	0.9781440	0.2974592	0.9251084	0.8770952
250	0.0028382	1.0144750	0.3823601	1.0029976	0.8258117
300	0.0033845	0.9724461	0.6600154	0.9632630	0.7353062
350	0.0027664	1.0231914	0.6444493	0.9604927	0.7876251
400	0.0040291	0.9560834	0.5860830	0.9455434	0.7984496
450	0.0043577	0.9455768	0.6993773	0.9258285	0.8907083
500	0.0044124	0.9089054	0.7257874	0.9396997	0.8725930
550	0.0422687	1.1133017	0.5841760	0.9450315	1.0293701
600	0.0476606	1.0309559	0.2873783	0.9628412	0.9406584
650	0.0534780	1.0396198	0.2100783	0.9621532	1.0389935
700	0.0578342	0.9968660	0.1798042	1.1151662	1.0881476
750	0.0543795	0.9121029	0.1470832	1.0326630	0.9410323
800	0.0844643	1.0366102	0.1321579	1.0774018	0.9452702
850	0.1081792	0.9766207	0.1105636	1.0064196	0.9494553
900	0.0905499	1.0194734	0.1239494	1.0080898	0.9651119
950	0.0943707	0.9267683	0.1062870	1.0088084	0.9860195
1000	0.0861906	0.9940285	0.1041919	0.9417042	1.0571404

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.1104730	0.9571243	0.0838348	0.9348298	1.0062300
100	0.0842476	0.8541684	0.0888766	0.9898241	0.9249012
150	0.0875658	0.8530953	0.1409207	1.0419088	0.8960822
200	0.0916936	0.7973314	0.1263473	1.1833002	0.8899822
250	0.0829777	0.8806618	0.1468347	1.0685580	0.8931743
300	0.0829131	0.8375920	0.1429059	1.0594311	1.0096482
350	0.0841661	0.8070530	0.1431340	0.9052411	0.9622652
400	0.0956358	0.8219748	0.1445990	0.9580505	0.9502077
450	0.0792394	0.7528966	0.1377731	1.0499169	1.0435273
500	0.0545136	0.6979453	0.1633805	1.1012496	0.9043111
550	0.0674827	0.8674788	0.2058937	1.0085228	0.9898895
600	0.0927571	0.9288209	0.1612462	0.9951827	1.0103423
650	0.1105607	0.9632348	0.1382317	0.9846490	1.0760240
700	0.0790205	0.9652353	0.0857554	0.9933859	1.0122562
750	0.1230642	1.0115698	0.0836358	1.0765895	0.9830917
800	0.0981939	1.0724243	0.0843911	0.9936981	1.0961516
850	0.0676787	1.1471774	0.0935443	0.9889247	0.9686181
900	0.1083285	1.0085288	0.1098932	0.9579890	1.1122073
950	0.1173460	0.9632399	0.0832879	0.9213655	1.2232328
1000	0.1139799	0.9638731	0.0984856	0.9678059	1.1626578

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0770129	0.7884983	0.1223872	0.6952765	0.6723714
100	0.0797772	0.4534755	0.2424492	0.3839502	0.3395636
150	0.0875458	0.3357167	0.4031977	0.3281942	0.2464417
200	0.1003210	0.2605217	0.5172951	0.2954844	0.1926492
250	0.1243097	0.2124213	0.7316393	0.3396430	0.1945025
300	0.1315309	0.1863823	0.8203025	0.2550151	0.2148448
350	0.1838887	0.2005860	0.9167753	0.2656609	0.1888614
400	0.1073672	0.1938486	0.9310689	0.1930539	0.1777472
450	0.1293184	0.1659331	0.9020258	0.2517011	0.1668680
500	0.1399323	0.1787736	0.9771952	0.2442985	0.2552621
550	0.1722677	0.4649782	0.7689648	0.4793397	0.6295595
600	0.1538458	0.7765351	0.3942121	0.7641652	0.8611054
650	0.1311991	0.8934220	0.1790877	0.9051490	0.9066972
700	0.1281218	0.9911519	0.1379195	0.9928479	0.9480274
750	0.1407778	1.0687538	0.0787575	0.9215656	0.9183656
800	0.1055639	1.0896599	0.1195608	0.9238433	1.0635922
850	0.1098829	1.1134457	0.1088757	1.0247015	1.0900716
900	0.0904703	1.0318637	0.1243325	0.9476200	1.0834932
950	0.1038112	1.1093557	0.0951169	0.9443150	1.0857995
1000	0.1217315	1.0804241	0.1405764	1.0063328	0.9769010

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0671266	0.7877511	0.0972762	0.9517749	1.0212793
100	0.0347618	0.6359970	0.1479248	1.0385106	1.0615534
150	0.0135910	0.5484045	0.3465792	1.0333121	0.9877453
200	0.0144435	0.5045238	0.5397392	0.9762308	0.9714493
250	0.0094105	0.5520761	0.6629052	0.9820206	1.0001653
300	0.0049166	0.5875071	0.8495395	1.0840262	1.0360246
350	0.0073055	0.4929173	0.9132874	1.1087834	0.9697225
400	0.0036873	0.5540518	0.8897866	1.0127840	1.0819956
450	0.0038539	0.6437852	0.9077576	1.0199562	1.0206213
500	0.0015138	0.4805686	0.8922070	0.9712311	0.9798851
550	0.0112192	0.6479357	0.8899105	1.0482624	1.1279269
600	0.0489526	0.8622799	0.5830847	1.0017906	1.0198806
650	0.0648672	0.8093262	0.2894467	1.0542758	1.1360541
700	0.0832148	1.0248897	0.1915233	1.0496676	0.9948475
750	0.0769237	1.0523242	0.1312770	0.9623826	0.9404501
800	0.1175123	0.8679206	0.1184058	1.0577579	1.0060457
850	0.1071340	0.9681087	0.1052001	0.9982149	1.0637244
900	0.1000798	1.0089785	0.1053643	1.0327180	1.0545037
950	0.0939759	1.0059808	0.0994465	0.9949398	1.0682246
1000	0.0982686	1.0774124	0.1061506	1.0359597	1.0638392

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.1139309	0.6255632	0.1334475	1.0012345	0.9041935
100	0.1276265	0.3253806	0.1800221	1.0245679	0.9775826
150	0.1261334	0.2796191	0.5047918	1.0343863	0.9146430
200	0.1347331	0.2140046	0.7273832	1.0183235	0.9161842
250	0.1128423	0.2066496	0.8045725	0.9710801	0.9738722
300	0.1523846	0.1987837	0.7821964	1.0196749	0.9896475
350	0.1621672	0.2098189	0.8581658	1.0003533	0.9879343
400	0.1476880	0.2155660	0.8229377	0.9637907	1.0632640
450	0.1561032	0.2202343	0.8014124	0.8816061	0.9973960
500	0.1547530	0.2048594	0.8380819	0.9701095	1.0010350
550	0.1452428	0.5027019	0.7968575	0.9955834	0.9874199
600	0.1126993	0.7138630	0.4896248	1.0221537	0.8405707
650	0.1116929	0.9712373	0.2130221	0.9704139	0.8949171
700	0.0974613	0.9098452	0.1240887	0.9676186	0.9984456
750	0.0978508	1.0197874	0.1418458	0.9562236	0.9035158
800	0.0901689	1.0150747	0.1324431	0.9118554	0.9201726
850	0.1142943	0.9908453	0.1165203	0.8805253	0.9896895
900	0.0976927	0.9808350	0.1102091	0.9263890	0.9904730
950	0.1249769	0.9428854	0.0926906	1.0673309	0.8766723
1000	0.1214449	0.9275296	0.0995464	1.0909789	0.9483544

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0677324	1.0458800	0.0847159	0.9452046	0.5545296
100	0.0521231	0.9829136	0.0538083	0.9407142	0.3441162
150	0.0378481	1.0505258	0.0523618	0.9387827	0.2222824
200	0.0500422	0.9968748	0.0252267	0.8682341	0.1381327
250	0.0429570	1.0359826	0.0121951	0.9136774	0.1990198
300	0.0502806	1.0688331	0.0253533	0.9913078	0.1090355
350	0.0513775	0.9923962	0.0467133	0.9462105	0.1224414
400	0.0685520	1.0264946	0.0227631	0.8599774	0.1405321
450	0.0541291	1.0582646	0.0096637	0.8875195	0.1003874
500	0.0382729	0.9979236	0.0287408	0.8584762	0.0869916
550	0.0714761	1.0789273	0.0944002	0.8698242	0.5132540
600	0.0782564	0.9962330	0.1120648	0.9638245	0.9095456
650	0.0778880	1.0055013	0.1084181	1.0241602	0.9478611
700	0.0935353	1.0505987	0.0904504	1.0529973	0.8957548
750	0.0823983	1.0262336	0.1164770	1.0688472	0.9751718
800	0.0869560	1.0827828	0.1208326	1.0715137	0.9898615
850	0.0903186	0.9957749	0.1235303	1.0824758	0.9177166
900	0.0955825	0.9395620	0.0865035	1.0607140	1.0738650
950	0.1218220	0.8758230	0.0594991	1.0363214	0.9371608
1000	0.1059151	0.8541160	0.1018146	1.0347809	1.0275959

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0509690	1.1070844	0.0931238	0.6734635	1.0626000
100	0.0140858	1.1227094	0.1137602	0.3099146	0.9682770
150	0.0080491	1.0934361	0.2314193	0.1726996	0.9550808
200	0.0062767	1.1105513	0.2974212	0.0928309	1.0524669
250	0.0069341	1.0864201	0.4320022	0.0568407	0.9483311
300	0.0070398	1.0386324	0.4205539	0.0955881	0.9510468
350	0.0010686	0.9992326	0.5302839	0.0858748	0.9981341
400	0.0009004	1.0182303	0.7426492	0.0623050	1.0755497
450	0.0043006	0.9364978	0.7368808	0.0714448	1.0436271
500	0.0031302	0.9713568	0.7521907	0.0633101	0.9793884
550	0.0554248	0.9627325	0.6189810	0.4467405	0.9877155
600	0.0760036	0.9421007	0.3130448	0.7651115	0.9491754
650	0.0880847	0.9263422	0.1370718	0.8611235	0.9500866
