0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
6.568912099e-26	1	5.397468496e-27	0	3.656406369e-27	3.137374843e-27	1.881406808e-27	2.275481807e-27	6.445646906e-23	2.172234999e-27	2.67775713e-27
0	0	0	0	0	0	0	0	0	0	0
3.770888688e-17	3.720954686e-15	3.333878354e-17	1	0.7821150322	0	0.2069367817	1.674705306e-17	8.260301505e-14	2.130836904e-17	9.970713674e-17
0.9786915443	0.01767515834	1.595194041e-17	0.0002601974429	0.9999999977	4.896056491e-16	0	2.555222959e-17	0.8602610202	1.775305352e-14	2.058148647e-17
0	0	0	0	0	0	0	0	0	0	0
5.230649516e-36	1	0.9999356365	0.9363476398	7.486668344e-36	7.700200404e-36	0.7632998763	2.445341229e-35	0	5.225434443e-34	5.557820642e-36
0.9999896556	0.9996041195	1.685591958e-13	3.539508131e-06	0.9999933393	7.407037652e-14	2.323018989e-11	7.891957707e-14	3.371174542e-13	0	7.515293126e-14
0.9931091067	0.993981249	1.22424784e-10	2.502812872e-06	5.06216371e-13	4.99938307e-14	1.407084038e-13	5.288390313e-14	0.9930116389	1.860491984e-13	0
