"Time"	relE	relB	hokD	alaS	ilvN
700	0.0962014	0.9830763	0.1255422	0.9786395	0.9851288
750	0.0950258	0.9946086	0.1112302	0.9925734	0.9947508
800	0.0944655	0.9982707	0.1067126	0.9974579	0.9981487
850	0.0942131	0.9994000	0.1053734	0.9991375	0.9993472
900	0.0941038	0.9997417	0.1050019	0.9997089	0.9997698
950	0.0940577	0.9998438	0.1049084	0.9999020	0.9999188
1000	0.0940387	0.9998741	0.1048890	0.9999671	0.9999714

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0661351	0.7453433	0.1139006	0.8322353	1.0000000
100	0.0342769	0.5151931	0.2276453	0.6747682	1.0000000
150	0.0163732	0.4144910	0.5173792	0.6018162	1.0000000
200	0.0082325	0.3779631	0.7733509	0.5733465	1.0000000
250	0.0049464	0.3658055	0.9056126	0.5630045	1.0000000
300	0.0037210	0.3619502	0.9595351	0.5593791	1.0000000
350	0.0032890	0.3607640	0.9792492	0.5581325	1.0000000
400	0.0031431	0.3604063	0.9860887	0.5577084	1.0000000
450	0.0030955	0.3603000	0.9883981	0.5575650	1.0000000
500	0.0030805	0.3602687	0.9891648	0.5575167	1.0000000
550	0.0335324	0.6148332	0.9249432	0.7252652	1.0000000
600	0.0651459	0.8450225	0.5643260	0.8827269	1.0000000
650	0.0817138	0.9457318	0.2845333	0.9556771	1.0000000
700	0.0890652	0.9822412	0.1656181	0.9841461	1.0000000
750	0.0920912	0.9943751	0.1242575	0.9944879	1.0000000
800	0.0932861	0.9982127	0.1109575	0.9981132	1.0000000
850	0.0937464	0.9993884	0.1067958	0.9993598	1.0000000
900	0.0939210	0.9997407	0.1054961	0.9997839	1.0000000
950	0.0939867	0.9998445	0.1050859	0.9999273	1.0000000
1000	0.0940112	0.9998747	0.1049543	0.9999756	1.0000000

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0661022	0.9998976	0.1066696	1.0000000	0.9429546
100	0.0340396	0.9999449	0.1218213	1.0000000	0.9001687
150	0.0156500	0.9999778	0.1681017	1.0000000	0.8831563
200	0.0068646	0.9999922	0.2717270	1.0000000	0.8769941
250	0.0030054	0.9999974	0.4438365	1.0000000	0.8748074
300	0.0013879	0.9999992	0.6402191	1.0000000	0.8740353
350	0.0007294	0.9999998	0.7961827	1.0000000	0.8737629
400	0.0004665	0.9999999	0.8902558	1.0000000	0.8736668
450	0.0003629	1.0000000	0.9375945	1.0000000	0.8736330
500	0.0003224	1.0000000	0.9589144	1.0000000	0.8736210
550	0.0282462	1.0000000	0.7515655	1.0000000	0.9306622
600	0.0602928	0.9999982	0.3810694	1.0000000	0.9734466
650	0.0786762	0.9999858	0.2009073	1.0000000	0.9904585
700	0.0874592	0.9999605	0.1361407	1.0000000	0.9966205
750	0.0913176	0.9999331	0.1150135	1.0000000	0.9988071
800	0.0929348	0.9999124	0.1082566	1.0000000	0.9995793
850	0.0935932	0.9998996	0.1060531	1.0000000	0.9998516
900	0.0938562	0.9998928	0.1053068	1.0000000	0.9999477
950	0.0939599	0.9998895	0.1050436	1.0000000	0.9999816
1000	0.0940003	0.9998880	0.1049476	1.0000000	0.9999935

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0940734	0.9262323	0.1061682	1.0000000	1.0000000
100	0.0942539	0.8596358	0.1130342	1.0000000	1.0000000
150	0.0945424	0.8304945	0.1219056	1.0000000	1.0000000
200	0.0948030	0.8199228	0.1283803	1.0000000	1.0000000
250	0.0949799	0.8164035	0.1318352	1.0000000	1.0000000
300	0.0950816	0.8152868	0.1333481	1.0000000	1.0000000
350	0.0951339	0.8149429	0.1339244	1.0000000	1.0000000
400	0.0951590	0.8148390	0.1341208	1.0000000	1.0000000
450	0.0951703	0.8148080	0.1341809	1.0000000	1.0000000
500	0.0951753	0.8147989	0.1341970	1.0000000	1.0000000
