"Time"	relE	relB	hokD	alaS	ilvN
700	0.0945157	0.9983889	0.1119014	0.9990576	0.9914042
750	0.0941962	0.9995481	0.1067983	0.9998121	0.9969692
800	0.0940839	0.9998090	0.1053664	0.9999625	0.9989313
850	0.0940453	0.9998684	0.1049890	0.9999925	0.9996232
900	0.0940323	0.9998823	0.1049006	0.9999985	0.9998671
950	0.0940280	0.9998856	0.1048852	0.9999997	0.9999532
1000	0.0940266	0.9998865	0.1048852	0.9999999	0.9999835

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0275248	0.5023386	0.1333260	0.6457257	1.0000000
100	0.0087262	0.3918192	0.3539165	0.5750855	1.0000000
150	0.0039122	0.3672678	0.6956338	0.5610003	1.0000000
200	0.0029832	0.3618136	0.8832329	0.5581918	1.0000000
250	0.0029317	0.3606019	0.9538053	0.5576318	1.0000000
300	0.0029959	0.3603327	0.9777505	0.5575201	1.0000000
350	0.0030401	0.3602729	0.9856713	0.5574979	1.0000000
400	0.0030608	0.3602596	0.9882763	0.5574934	1.0000000
450	0.0030692	0.3602567	0.9891288	0.5574925	1.0000000
500	0.0030723	0.3602560	0.9894053	0.5574924	1.0000000
550	0.0736836	0.8578747	0.7906463	0.9117666	1.0000000
600	0.0893596	0.9684165	0.3494216	0.9824068	1.0000000
650	0.0930010	0.9929477	0.1776473	0.9964920	1.0000000
700	0.0938272	0.9983715	0.1263358	0.9993005	1.0000000
750	0.0939984	0.9995615	0.1113567	0.9998605	1.0000000
800	0.0940271	0.9998191	0.1068972	0.9999722	1.0000000
850	0.0940290	0.9998735	0.1055301	0.9999945	1.0000000
900	0.0940276	0.9998845	0.1050988	0.9999989	1.0000000
950	0.0940266	0.9998866	0.1049594	0.9999998	1.0000000
1000	0.0940262	0.9998869	0.1049133	1.0000000	1.0000000

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0273998	0.9999299	0.1101462	1.0000000	0.9181774
100	0.0081340	0.9999800	0.1373873	1.0000000	0.8893272
150	0.0025631	0.9999954	0.2085756	1.0000000	0.8791547
200	0.0009522	0.9999990	0.3523266	1.0000000	0.8755680
250	0.0004864	0.9999998	0.5568422	1.0000000	0.8743033
300	0.0003517	0.9999999	0.7464241	1.0000000	0.8738574
350	0.0003127	1.0000000	0.8678092	1.0000000	0.8737002
400	0.0003015	1.0000000	0.9288184	1.0000000	0.8736447
450	0.0002982	1.0000000	0.9556593	1.0000000	0.8736252
500	0.0002973	1.0000000	0.9667089	1.0000000	0.8736183
550	0.0669230	0.9999999	0.5093254	1.0000000	0.9554384
600	0.0861885	0.9999940	0.2237112	1.0000000	0.9842878
650	0.0917593	0.9999699	0.1398764	1.0000000	0.9944600
700	0.0933702	0.9999379	0.1157640	1.0000000	0.9980466
750	0.0938361	0.9999133	0.1084970	1.0000000	0.9993112
800	0.0939709	0.9998992	0.1061571	1.0000000	0.9997571
850	0.0940099	0.9998922	0.1053539	1.0000000	0.9999144
900	0.0940212	0.9998891	0.1050642	1.0000000	0.9999698
950	0.0940245	0.9998877	0.1049562	1.0000000	0.9999894
1000	0.0940255	0.9998872	0.1049152	1.0000000	0.9999962

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0941604	0.8559188	0.1084567	1.0000000	1.0000000
100	0.0945232	0.8239348	0.1181556	1.0000000	1.0000000
150	0.0948441	0.8168283	0.1265495	1.0000000	1.0000000
200	0.0950314	0.8152485	0.1311671	1.0000000	1.0000000
250	0.0951199	0.8148967	0.1331491	1.0000000	1.0000000
300	0.0951567	0.8148181	0.1338758	1.0000000	1.0000000
350	0.0951709	0.8148004	0.1341123	1.0000000	1.0000000
400	0.0951761	0.8147963	0.1341809	1.0000000	1.0000000
450	0.0951779	0.8147954	0.1341980	1.0000000	1.0000000
500	0.0951785	0.8147951	0.1342011	1.0000000	1.0000000
550	0.0949647	0.9587621	0.1275222	1.0000000	1.0000000
600	0.0945406	0.9907465	0.1159202	1.0000000	1.0000000
650	0.0942583	0.9978535	0.1092720	1.0000000	1.0000000
700	0.0941204	0.9994335	0.1064483	1.0000000	1.0000000
750	0.0940618	0.9997853	0.1054006	1.0000000	1.0000000
800	0.0940389	0.9998639	0.1050448	1.0000000	1.0000000
850	0.0940305	0.9998815	0.1049328	1.0000000	1.0000000
900	0.0940274	0.9998856	0.1049002	1.0000000	1.0000000
950	0.0940264	0.9998865	0.1048916	1.0000000	1.0000000
1000	0.0940261	0.9998867	0.1048897	1.0000000	1.0000000

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0948489	0.3781813	0.1304422	0.4115356	0.4778194
100	0.1001200	0.2400628	0.3222346	0.2941993	0.2937011
150	0.1134666	0.2093737	0.6294568	0.2708031	0.2287819
200	0.1307156	0.2025416	0.8030564	0.2661381	0.2058917
250	0.1438000	0.2009962	0.8649353	0.2652079	0.1978207
300	0.1508999	0.2006174	0.8807616	0.2650224	0.1949749
350	0.1540884	0.2005014	0.8820383	0.2649854	0.1939715
400	0.1553777	0.2004538	0.8801619	0.2649781	0.1936177
450	0.1558706	0.2004308	0.8784073	0.2649766	0.1934930
500	0.1560543	0.2004194	0.8773179	0.2649763	0.1934490
550	0.1274706	0.8216073	0.5715786	0.8534407	0.7156141
600	0.1054967	0.9599326	0.2414412	0.9707770	0.8997269
650	0.0977694	0.9908755	0.1400454	0.9941731	0.9646442
700	0.0952335	0.9978328	0.1131323	0.9988382	0.9875337
750	0.0944134	0.9994097	0.1064625	0.9997683	0.9956045
800	0.0941497	0.9997724	0.1050032	0.9999538	0.9984502
850	0.0940653	0.9998580	0.1047810	0.9999908	0.9994535
900	0.0940383	0.9998790	0.1048008	0.9999982	0.9998073
950	0.0940298	0.9998845	0.1048410	0.9999996	0.9999321
1000	0.0940271	0.9998861	0.1048666	0.9999999	0.9999760

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0278817	0.6119384	0.1261517	1.0000000	1.0000000
100	0.0093097	0.5257736	0.2702906	1.0000000	1.0000000
150	0.0045304	0.5066336	0.5449923	1.0000000	1.0000000
200	0.0034992	0.5023815	0.7667358	1.0000000	1.0000000
250	0.0033469	0.5014369	0.8815093	1.0000000	1.0000000
300	0.0033535	0.5012270	0.9306263	1.0000000	1.0000000
350	0.0033716	0.5011804	0.9499454	1.0000000	1.0000000
400	0.0033818	0.5011701	0.9572305	1.0000000	1.0000000
450	0.0033862	0.5011678	0.9599106	1.0000000	1.0000000
500	0.0033879	0.5011673	0.9608805	1.0000000	1.0000000
550	0.0708661	0.8891795	0.7032522	1.0000000	1.0000000
600	0.0881630	0.9753724	0.3106107	1.0000000	1.0000000
650	0.0925740	0.9944956	0.1667431	1.0000000	1.0000000
700	0.0936813	0.9987177	0.1234949	1.0000000	1.0000000
750	0.0939495	0.9996398	0.1106477	1.0000000	1.0000000
800	0.0940109	0.9998371	0.1067321	1.0000000	1.0000000
850	0.0940237	0.9998778	0.1054974	1.0000000	1.0000000
900	0.0940259	0.9998856	0.1050952	1.0000000	1.0000000
950	0.0940261	0.9998868	0.1049606	1.0000000	1.0000000
1000	0.0940260	0.9998869	0.1049146	1.0000000	1.0000000

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0948409	0.3821239	0.1301575	1.0000000	1.0000000
100	0.1000023	0.2448813	0.3182189	1.0000000	1.0000000
150	0.1128451	0.2143867	0.6210397	1.0000000	1.0000000
200	0.1291872	0.2075983	0.7944974	1.0000000	1.0000000
250	0.1414617	0.2060640	0.8570211	1.0000000	1.0000000
300	0.1480859	0.2056904	0.8731878	1.0000000	1.0000000
350	0.1510512	0.2055783	0.8745865	1.0000000	1.0000000
400	0.1522471	0.2055338	0.8727480	1.0000000	1.0000000
450	0.1527027	0.2055128	0.8710044	1.0000000	1.0000000
500	0.1528717	0.2055025	0.8699182	1.0000000	1.0000000
550	0.1259845	0.8227998	0.5670707	1.0000000	1.0000000
600	0.1050449	0.9602250	0.2407274	1.0000000	1.0000000
