"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0093472	0.9233657	0.9990459	0.9775904	0.4196389	0.0083893	0.7817633	0.0156403	0.9062186	0.2418759
450	0.0161029	1.0408602	1.0121009	1.0344414	0.4246819	0.0046277	0.8007166	0.0131898	0.9372109	0.2456549
500	0.0203776	1.0250181	0.9706218	1.0855403	0.3619839	0.0070473	0.8222138	0.0211310	0.9677660	0.2041713
550	0.0210000	0.9467664	1.0913510	0.9824989	0.3905006	0.0093449	0.8535901	0.0264051	0.9091152	0.0441834
600	0.0140814	0.9710263	0.9744458	0.9686089	0.3648878	0.0029502	0.7840726	0.0185772	0.9388003	0.0232897
650	0.0064278	1.0320061	1.0463601	1.0032412	0.3513481	0.0080304	0.7222298	0.0297985	0.9902913	0.0184407
700	0.0176568	0.9396089	0.9497124	0.8946794	0.3707716	0.0049251	0.7413467	0.0204655	0.8728322	0.0147670
750	0.0036778	0.9732880	0.9857701	0.9904313	0.3509767	0.0148857	0.7516074	0.0113405	0.8776987	0.0148248
800	0.0084686	0.9434629	0.9697258	1.0039072	0.3917072	0.0112608	0.7978217	0.0006042	0.8785368	0.0285828
850	0.0134060	0.9679941	1.0659710	0.9896595	0.3730918	0.0098550	0.7641628	0.0114253	0.8901087	0.0097004
900	0.0240244	0.9573865	0.9896704	1.0713605	0.3452924	0.0100113	0.7422223	0.0155233	0.8853577	0.0220982
950	0.0181840	1.0404079	0.9739731	1.0300769	0.3518684	0.0066522	0.7731683	0.0282556	0.9303735	0.0179588
1000	0.0086569	0.9682227	1.0165717	0.9798422	0.3950531	0.0191823	0.8198112	0.0139591	0.8917542	0.0087163

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0166202	1.0858353	0.9572212	1.0143987	0.3590006	0.6696532	0.8063451	0.0144075	0.8676617	0.0144595
100	0.0230774	1.0143567	1.0082910	1.0969640	0.3164425	0.8573953	0.8715065	0.0269201	0.9391520	0.0092453
150	0.0113887	1.0507840	0.9954907	1.0190958	0.3668182	0.9206124	0.8487590	0.0301477	0.9827168	0.0137158
200	0.0135851	0.9715834	0.9724363	1.0680924	0.3446406	0.8812827	0.8960589	0.0115999	0.9969957	0.0127192
250	0.0228027	0.9579556	0.9685819	0.9326063	0.3817208	0.8933626	0.9373429	0.0180278	0.9326746	0.0186896
300	0.0111753	0.9739808	0.8061837	0.9275138	0.3491787	0.9132449	0.9049183	0.0218716	0.9305197	0.0130241
350	0.0095289	1.0020540	0.9298164	1.0288392	0.4069571	0.8338826	0.7998554	0.0214249	0.9038678	0.0100445
400	0.0063239	1.0446800	0.9581310	1.0268348	0.4405389	0.9558030	0.7852478	0.0120388	0.9762188	0.0140092
450	0.0164545	0.9298144	1.0006304	1.0101846	0.4818567	1.0019013	0.8199619	0.0067982	0.8736336	0.0148681
500	0.0240104	0.9333613	0.9704413	0.9510160	0.4383799	1.0055537	0.8671226	0.0267468	0.8649946	0.0290870
550	0.0239661	0.9486390	0.9796207	0.9320542	0.4066869	0.3366958	0.7995945	0.0409339	0.9666870	0.0188306
600	0.0174680	1.0349855	0.9346641	0.9909912	0.3750372	0.1318512	0.7975332	0.0462658	0.9008552	0.0139407
650	0.0090957	1.0354699	0.9565242	1.0458336	0.3509203	0.0628523	0.7611846	0.0242877	0.9691301	0.0254713
700	0.0114119	0.9830154	0.9961646	0.9494875	0.3746197	0.0298514	0.7538531	0.0245205	0.9446899	0.0133375
750	0.0111204	0.9924681	0.9192201	0.9581464	0.3766206	0.0149886	0.8133966	0.0145913	0.9524818	0.0170859
800	0.0130768	0.9558879	1.0272782	1.0376576	0.3749620	0.0057001	0.7493589	0.0145758	0.9259781	0.0077742
850	0.0106010	1.0194423	1.0261271	1.0516102	0.3820226	0.0194323	0.7014208	0.0264503	0.9865866	0.0182840
900	0.0175834	1.0295909	1.0169705	1.0219817	0.4353329	0.0198319	0.8122320	0.0252797	0.9444366	0.0341938
950	0.0233199	1.0356606	1.0223040	0.8705335	0.4452269	0.0149004	0.6732406	0.0233784	0.8902315	0.0147256
1000	0.0041446	1.0123757	1.0076115	0.9986196	0.4073910	0.0164330	0.7279199	0.0173631	0.9269255	0.0113317

