"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697451	0.0138232	0.9552903	0.2014570
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697349	0.0138232	0.9553050	0.2014599
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697305	0.0138232	0.9553100	0.2014606
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7726187	0.0138232	0.9441535	0.1047249
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7754802	0.0138232	0.9325435	0.0422716
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7769609	0.0138232	0.9266104	0.0233389
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7776362	0.0138232	0.9241029	0.0185185
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7779325	0.0138232	0.9231343	0.0173752
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7780608	0.0138232	0.9227793	0.0171132
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781161	0.0138232	0.9226536	0.0170542
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781399	0.0138232	0.9226101	0.0170411
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781502	0.0138232	0.9225954	0.0170382
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781546	0.0138232	0.9225904	0.0170375

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0127099	1.0000000	1.0000000	0.9989540	0.3799726	0.2536701	0.7880739	0.0138283	0.9225880	0.0170373
100	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.5647628	0.7978955	0.0138253	0.9225880	0.0170373
150	0.0127097	1.0000000	1.0000000	0.9989547	0.3799703	0.7638377	0.8029775	0.0138241	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.8695774	0.8052951	0.0138235	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.9209912	0.8063120	0.0138233	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9447346	0.8067523	0.0138232	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9553370	0.8069421	0.0138232	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9599612	0.8070238	0.0138232	0.9225880	0.0170373
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9619433	0.8070589	0.0138232	0.9225880	0.0170373
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9627818	0.8070740	0.0138232	0.9225880	0.0170373
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.7180065	0.7971639	0.0138232	0.9225880	0.0170373
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.4070595	0.7873454	0.0138232	0.9225880	0.0170373
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.2080447	0.7822648	0.0138232	0.9225880	0.0170373
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.1023298	0.7799477	0.0138232	0.9225880	0.0170373
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0509260	0.7789311	0.0138232	0.9225880	0.0170373
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0271867	0.7784908	0.0138232	0.9225880	0.0170373
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0165860	0.7783011	0.0138232	0.9225880	0.0170373
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0119625	0.7782195	0.0138232	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0099806	0.7781843	0.0138232	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0091422	0.7781693	0.0138232	0.9225880	0.0170373

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0127099	1.0000000	1.0000000	0.9989540	0.3799726	0.1066501	0.7781573	0.2900393	0.9225880	0.0170373
100	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.2311581	0.7781576	0.5525122	0.9225880	0.0170373
150	0.0127097	1.0000000	1.0000000	0.9989547	0.3799703	0.3108334	0.7781578	0.6768049	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.3531534	0.7781578	0.7267838	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.3737306	0.7781579	0.7456163	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3832334	0.7781579	0.7525005	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3874767	0.7781579	0.7549791	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3893275	0.7781579	0.7558644	0.9225880	0.0170373
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3901208	0.7781579	0.7561794	0.9225880	0.0170373
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3904564	0.7781579	0.7562912	0.9225880	0.0170373
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.2924905	0.7781579	0.4801196	0.9225880	0.0170373
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.1680408	0.7781579	0.2176578	0.9225880	0.0170373
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0883896	0.7781579	0.0933689	0.9225880	0.0170373
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0460795	0.7781579	0.0433912	0.9225880	0.0170373
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0255063	0.7781579	0.0245592	0.9225880	0.0170373
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0160051	0.7781579	0.0176752	0.9225880	0.0170373
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0117624	0.7781579	0.0151967	0.9225880	0.0170373
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0099120	0.7781579	0.0143113	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0091188	0.7781579	0.0139963	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0087832	0.7781579	0.0138846	0.9225880	0.0170373

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0127216	1.0000000	0.7970722	0.9989835	0.3799724	0.0085437	0.7781573	0.2171168	0.9225880	0.0170373
100	0.0129101	1.0000000	0.5819638	0.9992090	0.3799625	0.0085437	0.7781576	0.4103038	0.9225880	0.0170374
150	0.0139856	1.0000000	0.4642195	0.9995400	0.3799293	0.0085437	0.7781578	0.5018806	0.9225879	0.0170374
200	0.0170613	1.0000000	0.4083314	0.9997619	0.3798783	0.0085437	0.7781577	0.5391179	0.9225873	0.0170378
250	0.0220115	1.0000000	0.3830911	0.9998532	0.3798316	0.0085438	0.7781572	0.5541817	0.9225846	0.0170392
300	0.0272633	1.0000000	0.3719152	0.9998543	0.3798019	0.0085442	0.7781548	0.5613115	0.9225753	0.0170427
350	0.0314758	1.0000000	0.3670074	0.9997991	0.3797905	0.0085448	0.7781476	0.5656708	0.9225531	0.0170489
400	0.0342856	1.0000000	0.3648598	0.9997179	0.3797935	0.0085457	0.7781341	0.5687562	0.9225175	0.0170564
