"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0121538	1.0028186	0.9347964	1.0233668	0.4103806	0.0065781	0.7838894	0.0073040	1.0095944	0.0179400
450	0.0096926	1.0348174	0.9502175	0.9937496	0.4076315	0.0128928	0.7292662	0.0174433	0.9936508	0.0185653
500	0.0088987	0.9957399	0.9648336	0.9977908	0.4584603	0.0107972	0.7971158	0.0140165	0.9206420	0.0126440
550	0.0164798	1.0049252	1.0300114	1.0190711	0.3889743	0.0075234	0.7879575	0.0177211	0.9884555	0.0117426
600	0.0125229	0.9874753	0.9049112	1.0450616	0.3369584	0.0023963	0.7479421	0.0205443	1.0371782	0.0193710
650	0.0133742	1.0053335	0.9498472	1.0172924	0.3204259	0.0109832	0.7207539	0.0116933	1.0127666	0.0247517
700	0.0124228	0.9499828	1.0163742	1.0565315	0.3314245	0.0089818	0.7221169	0.0199160	0.9443735	0.0140092
750	0.0092418	0.9410175	1.0789290	1.0486393	0.3240661	0.0108533	0.8089641	0.0159295	0.8782526	0.0098058
800	0.0182589	0.9703200	0.9995937	1.0601742	0.3333031	0.0139616	0.7895556	0.0227375	0.9464797	0.0255946
850	0.0179257	0.9631104	1.0118696	0.9435935	0.3509914	0.0050039	0.8182050	0.0117821	0.8978549	0.0126397
900	0.0048273	0.9655520	1.0030430	1.0138514	0.3732688	0.0164787	0.8456644	0.0256609	0.8704288	0.0150521
950	0.0064442	1.0231123	1.0200507	0.9528744	0.4113334	0.0078418	0.8051989	0.0247461	0.9695817	0.0194761
1000	0.0131174	1.0074890	0.9714412	1.0025043	0.3993022	0.0057782	0.7716266	0.0075088	0.8793348	0.0311177

0	0.0220300	1.0181380	1.1456257	1.0054803	0.4024273	0.0121947	0.8211471	0.0288094	0.9102823	0.0215107
50	0.0035291	0.9591988	0.6695829	0.9715819	0.3453624	0.0184423	0.6932383	0.0228443	0.9199166	0.0197329
100	0.0056741	0.9376826	0.6651258	0.9543379	0.3662242	0.0126568	0.7104459	0.0102181	0.9404138	0.0113243
150	0.0061985	0.9488038	0.5844943	1.0357429	0.3732403	0.0038696	0.7240728	0.0102486	0.9616829	0.0108512
200	0.0034332	0.9471760	0.6143549	0.8852599	0.3247337	0.0135365	0.7592519	0.0153401	0.9106511	0.0159902
250	0.0029658	0.9146026	0.5578515	1.0309772	0.4034332	0.0129027	0.8423040	0.0119838	0.8589160	0.0031540
300	0.0151798	0.9799214	0.5582472	1.0426695	0.3730745	0.0098749	0.8789576	0.0100931	0.9419097	0.0115619
