"Time"	relE	relB	hokD	alaS	ilvN
700	0.0767673	0.8960325	0.0981145	0.9472009	0.9972677
750	0.0622395	1.0057384	0.1064290	0.9689967	1.0379595
800	0.0873299	0.9538978	0.0837478	0.9465724	1.0853837
850	0.0692617	1.0445331	0.0928802	0.9582022	1.0748875
900	0.0699849	1.0731115	0.0968150	1.0185869	1.1474926
950	0.0607440	1.0608744	0.0920093	1.0317447	1.1309700
1000	0.0812136	0.9765158	0.0887432	1.0266544	1.0329371

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0860195	0.6685736	0.1269055	1.0060937	1.0525755
100	0.0436861	0.6038935	0.1713884	0.9919076	0.9797371
150	0.0199738	0.5790984	0.3347725	1.0440982	1.0246431
200	0.0046605	0.5776616	0.5271659	1.0565719	1.0604764
250	0.0062475	0.5083228	0.8197209	1.1322555	1.0322883
300	0.0069633	0.4834549	0.8948844	1.1353245	0.8786631
350	0.0197196	0.4655589	0.8199667	1.1071870	1.0020932
400	0.0140064	0.4883416	0.7718090	1.1414618	0.9621531
450	0.0149475	0.4940158	0.8025533	1.0683205	1.0685293
500	0.0081165	0.5585897	0.9089341	1.0810502	0.9892507
550	0.0520691	0.7476030	0.8705392	1.0558630	1.1447223
600	0.0850514	0.9864560	0.4015284	0.9282538	1.1105062
650	0.0872318	1.0235267	0.1996781	0.8519131	1.0442340
700	0.0886290	1.0154550	0.1106348	0.9721427	1.0364132
750	0.0625575	0.9711677	0.1064479	0.9227561	0.9867356
800	0.0578183	0.9754357	0.0788909	0.9400791	0.9937371
850	0.0696136	0.9868201	0.1235143	1.0327184	0.9585289
900	0.0770252	1.0844662	0.0906372	1.0679034	1.0439681
950	0.0737952	0.9706250	0.0962018	0.9489095	1.0186250
1000	0.0651882	1.0095575	0.0926806	1.0460303	1.0466450

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0789110	0.9522275	0.1132061	0.9301828	0.5580419
100	0.0491694	0.9810287	0.1033217	0.9891780	0.2801320
150	0.0220499	0.9147627	0.1609876	0.9584683	0.1231498
200	0.0061305	0.8932185	0.2802578	0.9794112	0.0799191
250	0.0094917	0.8564958	0.4412353	0.9996933	0.0808801
300	0.0060344	0.9183535	0.5002035	0.9166049	0.1037076
350	0.0013659	0.8245517	0.6650819	0.8955037	0.0714220
400	0.0029766	0.8894379	0.7023390	0.9333423	0.0664716
450	0.0044716	0.8080772	0.6549605	0.9810294	0.0607574
500	0.0004776	0.8662403	0.7178903	0.9398141	0.0915998
550	0.0313082	0.9472487	0.6313845	0.8432941	0.5183262
600	0.0488491	1.0523379	0.3597432	0.9798479	0.7281959
650	0.0592463	1.0734355	0.2021201	0.9300228	0.8483009
700	0.0765518	0.9614217	0.1422972	1.0475796	0.9284152
750	0.0873662	0.9889760	0.1222445	1.1414939	0.9812951
800	0.0954113	1.0155114	0.1352996	1.0683764	0.9188469
850	0.1151494	0.9657325	0.1083703	1.0718084	1.0068147
900	0.0998837	1.0202969	0.1147783	1.0299315	1.0023707
950	0.0990173	1.0431397	0.1028577	1.0104235	1.0230320
1000	0.0722358	1.0435712	0.1075281	1.1204329	0.9123044

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0997916	1.0158758	0.1021432	1.0402381	0.6341355
100	0.0445387	0.9906625	0.0885813	1.0402657	0.3146582
150	0.0548609	0.9606167	0.0916330	0.9590370	0.1745669
200	0.0394557	0.9966878	0.1069132	0.9763819	0.1364124
250	0.0190999	1.0884710	0.2377488	0.9758568	0.1281361
300	0.0365055	1.0897843	0.1754326	0.9104996	0.1468764
350	0.0291877	1.0726758	0.1353193	0.9699935	0.1290853
400	0.0346636	1.1360761	0.1510788	0.9962758	0.1183391
450	0.0264167	1.0822271	0.1424364	1.0340887	0.1069566
500	0.0254771	1.1047056	0.1470761	1.0664650	0.1109393
550	0.0512804	1.1062722	0.1504469	1.0691158	0.5420916
600	0.0543911	1.0996675	0.1434776	0.9786223	0.8293201
650	0.0480837	1.0014265	0.1336346	1.0684456	0.9961736
700	0.0829310	0.9268209	0.1237586	1.0070673	1.0603113
750	0.0927606	0.9964793	0.1364771	1.0160606	1.1138506
800	0.0967426	1.0683519	0.0868145	1.0290173	1.0363667
850	0.1278429	1.0171717	0.0900461	1.0129475	1.0250397
900	0.0968470	0.8533094	0.1140211	0.9023969	0.8917546
950	0.0925865	0.8595149	0.1024080	1.0217483	1.0008967
1000	0.0800167	0.9514603	0.1319807	1.1495835	1.0993637

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0928090	1.0726437	0.1263919	1.0323945	0.9954975
100	0.1023980	0.9538341	0.0863460	1.0414759	1.1715150
150	0.0877822	0.9595091	0.0899881	0.9309526	1.0213753
200	0.0780805	0.9043171	0.1056890	0.9007912	0.9317232
250	0.0701780	0.9123661	0.1672585	0.9007279	0.9760081
300	0.0950441	0.9791599	0.0913758	0.8774093	0.9148825
350	0.0831650	1.0156646	0.0988850	1.0465708	0.9678990
400	0.0913183	1.0188978	0.1285023	0.9883769	1.0698425
450	0.1282656	1.0220022	0.1298811	1.0929375	1.0451477
500	0.1021614	0.9589639	0.1588039	1.0490817	0.9621677
550	0.0973721	0.9649093	0.1710800	0.9835925	1.0068075
600	0.0962168	1.0260836	0.1207042	0.9761719	1.0470347
650	0.1010486	1.0633009	0.1086044	0.8946042	0.9882032
700	0.0977533	1.1052822	0.1131397	0.9301921	1.0560279
750	0.0852914	0.9958090	0.1002977	0.9657821	1.0417123
800	0.0995842	1.0057579	0.1068057	0.9487984	0.9787745
850	0.0926773	0.8591431	0.1335571	1.0198773	0.8768780
900	0.0831455	0.9823558	0.1269389	1.0008639	0.9265326
950	0.1270911	1.0422963	0.1390553	0.9687244	1.0640280
1000	0.1080482	0.9099497	0.1003775	0.9623855	1.1148136

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.1064653	0.9780127	0.0737534	0.9736495	0.8328369
100	0.1123787	1.1500130	0.0781083	0.9720727	0.6294200
150	0.0826413	1.1063527	0.1045715	0.8986551	0.6724831
200	0.0836687	1.0435661	0.0795092	1.0533640	0.6630265
250	0.0981491	1.0259188	0.1204256	1.0841471	0.6338189
300	0.0866971	1.0335564	0.1303601	1.0955487	0.5472129
350	0.0810459	0.9645564	0.1454302	1.1395475	0.5399539
400	0.0787264	0.9379652	0.1489333	1.0539265	0.5407553
450	0.0826671	0.9530477	0.1160517	1.0020501	0.5243567
500	0.0930757	1.0474358	0.1148007	0.9691350	0.4956792
550	0.0778434	0.9644892	0.1309412	1.0228126	0.7988387
600	0.0532947	0.9680653	0.1127768	1.0104530	0.9736730
650	0.0714282	0.9522333	0.1510302	1.0292049	0.9794387
