"Time"	relE	relB	hokD	alaS	ilvN
700	0.0506804	0.6696750	0.0492971	0.7239026	0.7466408
750	0.0276429	0.8065176	0.0801653	0.7643807	0.8804192
800	0.0483353	0.7515330	0.0814594	0.6780903	0.8134422
850	0.0591471	0.9430973	0.0897454	0.7122053	0.8469140
900	0.0275724	0.7666423	0.0652828	0.5949745	0.7125577
950	0.0368764	0.8572068	0.0508236	0.7326993	0.8360925
1000	0.0837455	0.8078619	0.0572672	0.6867153	0.8576619

0	0.0861643	0.7590497	0.1228918	0.7062377	0.7102624
50	0.0602320	0.5878320	0.0919533	0.8147332	0.9170931
100	0.0603531	0.4350492	0.1097013	0.7245691	0.7223724
150	0.0304887	0.4771329	0.1654644	0.8807441	0.7948230
200	0.0046109	0.5117873	0.3775442	0.7786427	0.7990997
250	0.0081453	0.3477712	0.6100647	0.8849973	0.8167340
300	0.0044435	0.3566245	0.6935509	0.9177207	0.6191918
350	0.0100425	0.4328909	0.6328547	0.7219767	0.7900129
400	0.0061831	0.3443859	0.4365193	1.0432786	0.9259447
450	0.0096618	0.4199948	0.5355913	0.8447036	0.8055575
500	0.0051886	0.3427862	0.7396841	0.9625443	0.7031295
550	0.0363181	0.5789577	0.6456482	0.8199231	0.8756888
600	0.0603530	0.7914277	0.2679861	0.8294891	0.8276926
650	0.0683283	0.8313674	0.1209293	0.5714043	0.7879053
700	0.0779980	0.6685208	0.0553595	0.6814191	0.8002459
750	0.0253863	0.7388092	0.0660995	0.6922505	0.5607705
800	0.0565719	0.6893423	0.0707968	0.6843713	0.6280581
850	0.0507732	0.7060700	0.1151100	0.7296965	0.6619658
900	0.0733952	1.0235892	0.0512452	0.7481980	0.8297390
950	0.0604557	0.8387160	0.1012975	0.8133063	0.7864635
1000	0.0775890	0.7496841	0.0946764	0.8150366	0.7899468

0	0.1253590	0.7265507	0.0970536	0.8490281	0.6930159
50	0.0654196	0.6275850	0.1011587	0.6977375	0.3838441
100	0.0424846	0.7442290	0.0725861	0.8510437	0.1683321
150	0.0112351	0.6650402	0.1486134	0.7666528	0.0697784
200	0.0027238	0.7593574	0.2521178	0.7114173	0.0461722
250	0.0053910	0.6581931	0.3663426	0.8479346	0.0597470
300	0.0022319	0.6757087	0.3533856	0.6196370	0.0821292
350	0.0012682	0.4812078	0.5803524	0.7638816	0.0360530
