"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7690349	1.0000000	0.3194798	0.2888238	0.3805630	0.0443489	0.3037224	0.1686097	0.2541738	0.1913974	0.1949765	0.0341257	0.0399460	0.6713362	0.9783175	0.0126664	0.2326212	0.4882779	0.1866958	0.4025684
100	0.7690443	1.0000000	0.2112499	0.2888231	0.3735639	0.0443538	0.3037356	0.1505010	0.2541787	0.1913974	0.1949761	0.0285417	0.0399452	0.8101007	0.9837434	0.0056462	0.2326211	0.4882732	0.1588076	0.4025670
150	0.7690482	1.0000000	0.1724158	0.2888228	0.3775906	0.0443557	0.3037408	0.1408232	0.2541805	0.1913974	0.1949760	0.0257975	0.0399448	0.9000794	0.9864783	0.0023471	0.2326210	0.4882713	0.1463382	0.4025664
200	0.7690498	1.0000000	0.1609433	0.2888228	0.3841721	0.0443564	0.3037429	0.1367438	0.2541812	0.1913974	0.1949759	0.0245646	0.0399447	0.9489213	0.9877388	0.0010118	0.2326210	0.4882706	0.1409723	0.4025662
250	0.7690505	1.0000000	0.1578488	0.2888227	0.3885252	0.0443567	0.3037436	0.1350973	0.2541814	0.1913974	0.1949759	0.0240215	0.0399447	0.9733913	0.9883086	0.0004997	0.2326210	0.4882703	0.1386720	0.4025662
300	0.7690507	1.0000000	0.1570571	0.2888227	0.3905262	0.0443568	0.3037439	0.1344413	0.2541815	0.1913974	0.1949759	0.0237833	0.0399447	0.9851266	0.9885650	0.0003076	0.2326210	0.4882702	0.1376862	0.4025661
350	0.7690508	1.0000000	0.1568613	0.2888227	0.3912826	0.0443568	0.3037440	0.1341815	0.2541816	0.1913974	0.1949759	0.0236790	0.0399447	0.9906089	0.9886803	0.0002362	0.2326210	0.4882701	0.1372639	0.4025661
400	0.7690509	1.0000000	0.1568140	0.2888227	0.3915375	0.0443568	0.3037441	0.1340790	0.2541816	0.1913974	0.1949759	0.0236333	0.0399447	0.9931276	0.9887320	0.0002098	0.2326210	0.4882701	0.1370828	0.4025661
