"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	0.2085868	0.3035102	0.0984584	1.0037671	0.8315518	0.0140157	0.6241740	0.3037438	0.1343427	0.9346912	0.5935841	0.0147592	0.0362340	0.2214554	0.5550287	0.0460603	0.0983789	0.0150641	0.9461438	0.7624650
250	0.1237858	0.2750438	0.1093595	1.0408026	0.8221169	0.0118619	0.5956997	0.3561996	0.1230202	0.9897630	0.5687663	0.0266222	0.0251275	0.1650496	0.6007866	0.0309471	0.0922461	0.0104889	0.9396758	0.8095292
300	0.0821712	0.2927675	0.0992213	1.0273945	0.7631028	0.0254840	0.6889401	0.4435728	0.1009658	0.9337263	0.6137240	0.0062460	0.0394016	0.1660593	0.4924233	0.0602486	0.1226712	0.0154404	0.9816901	0.8766313
350	0.0737730	0.2810377	0.0741798	1.0044941	0.7824832	0.0301804	0.7397469	0.5474646	0.0882332	0.9064616	0.5956957	0.0199503	0.0444239	0.1484431	0.4409995	0.0710957	0.1204824	0.0152240	0.9837116	0.9119433
400	0.0697411	0.2535759	0.0776393	0.9801576	0.8864485	0.0248466	0.7307437	0.5193924	0.1342764	0.9761601	0.6914683	0.0204803	0.0432202	0.1162447	0.3449101	0.1369772	0.1112707	0.0118534	0.9156851	0.8075671
450	0.0642335	0.2640261	0.0754174	1.0274611	0.8368878	0.0256690	0.8099414	0.5409940	0.1264395	0.9226389	0.6984095	0.0298458	0.0316815	0.1310273	0.3179220	0.1708401	0.1003949	0.0138235	1.0932198	0.8486557
500	0.0651877	0.2843027	0.1083733	1.0449589	0.8114591	0.0095909	0.7666306	0.5363184	0.1121335	1.0933565	0.6739341	0.0185461	0.0386004	0.1084311	0.3416936	0.1349988	0.1131669	0.0021033	1.0462336	0.8441018
550	0.0971369	0.7221257	0.7108245	0.9675538	0.7616621	0.0223583	0.6618370	0.4741369	0.0972817	0.9207915	0.6272371	0.1299148	0.0387842	0.1895481	0.6705206	0.0374151	0.5964613	0.4817178	1.0166939	0.7801038
600	0.3461951	0.9444427	0.7019430	0.7080154	0.6104116	0.0118343	0.5064103	0.3566118	0.0782815	0.6308020	0.3737653	0.0789673	0.0371300	0.3577725	0.8618518	0.0161485	0.5419284	0.5591082	0.8007154	0.6253040
650	0.5820357	1.0085877	0.5062453	0.4257910	0.4822257	0.0202751	0.3273713	0.3616775	0.1082647	0.3613138	0.2680194	0.0402404	0.0167780	0.4007228	0.9064815	0.0154385	0.3628231	0.4840381	0.5147398	0.4818969
700	0.6230671	0.9635365	0.5349095	0.3612420	0.4562570	0.0198234	0.2701418	0.2233720	0.1088781	0.2508775	0.1975638	0.0325021	0.0276633	0.4999793	0.9801040	0.0212242	0.3286165	0.4749747	0.3824767	0.4480196
750	0.6715169	0.9177951	0.5446356	0.3188253	0.4889227	0.0111939	0.2495816	0.2255900	0.1681122	0.2310710	0.2332747	0.0319199	0.0334566	0.5345577	1.0307267	0.0185608	0.2897884	0.4559369	0.3226110	0.4669324
