hyfI	hyfR	1.0
hypC	nsrR	1.0
fhlA	feaR	1.0
hycG	feaR	1.0
hyfF	hyfR	0.9999999993
hypE	feaR	0.9999999790999999
hyfI	fhlA	0.9999999429
hyfC	fhlA	0.9999999409999999
hyfJ	fhlA	0.9999999318
hycE	hyfR	0.9999995237999999
hyfA	fhlA	0.9999991195
hyfR	nsrR	0.9999955170999999
focB	fhlA	0.9999888628
hycG	nsrR	0.9998348934000001
hycA	feaR	0.9997804607999999
hycF	feaR	0.9997288006
hypA	hyfR	0.9995448222
hycB	feaR	0.9990990647
hyfH	fhlA	0.9990391244
hypE	nsrR	0.9990338665
hyfF	nsrR	0.9977930235
hypD	nsrR	0.9904418908
feaR	hyfA	0.9815795677
nsrR	hyfR	0.9814528370000001
hyfF	hyfJ	0.9640981304
hypC	feaR	0.9626207162
hycG	hyfC	0.9487399586
hycF	hyfR	0.9457778785
hyfH	nsrR	0.9089059733
hycB	hyfR	0.907645961
nsrR	hyfJ	0.9053058045
hypE	hyfA	0.8984405654000001
hycF	hyfA	0.896591703
hyfI	hyfH	0.8935635826
hyfR	hyfA	0.8663496792000001
hypD	hyfH	0.8414248343
hypC	hycF	0.7652257168000001
hypA	hyfI	0.72803402
focB	hycG	0.7128889428
fhlA	hyfC	0.7084554167
hypD	hyfI	0.5975179667
hycB	hyfA	0.5760065824
hyfJ	hyfA	0.5382027341
focB	hypC	0.47600323590000004
hyfJ	hyfH	0.422121565
hypD	feaR	0.39547669729999996
hyfC	nsrR	0.1521637183
hycF	hycG	0.1018994322
hyfR	hycB	0.07013016539
hyfH	focB	0.05734586825
hycB	hycG	0.02108833472
hyfH	feaR	0.01981969977
hycB	hycF	0.01759816758
nsrR	hyfI	0.01632968566
hypD	hyfC	0.007418159093000001
feaR	hycG	0.006806405713
feaR	hycF	0.006097546988
focB	hycF	0.0044481373489999995
hyfF	feaR	0.0021941732279999997
hypD	hycF	0.00144370003
nsrR	hyfC	0.0002481915718
hycF	nsrR	0.00022093533619999998
hycA	nsrR	0.00021473787119999997
hycF	hyfJ	9.358591598000001e-05
hyfC	feaR	6.344593620000001e-05
hypA	feaR	6.27767391e-05
nsrR	hycB	3.904723629e-05
nsrR	hycF	1.1192546109999999e-05
focB	hypA	1.061582589e-05
hyfF	hyfC	8.826247975e-06
nsrR	focB	7.484156799999999e-06
hycB	hyfI	5.640577908000001e-06
nsrR	hyfF	4.980277123e-06
hyfR	hypD	4.106025185e-06
nsrR	hyfH	3.2049318740000002e-06
hyfC	focB	3.1532260499999996e-06
hycA	hyfI	2.85813534e-06
hyfF	focB	2.3052906e-06
hyfC	hycF	2.117566641e-06
nsrR	hypD	1.356820972e-06
nsrR	hycG	1.193388244e-06
hycA	hyfC	1.043292054e-06
hyfF	hyfI	9.33252392e-07
nsrR	hycA	8.898787797e-07
hyfA	hypD	8.794742327e-07
nsrR	hyfA	8.20664385e-07
hycA	hyfF	8.10217421e-07
nsrR	hypC	7.402831352e-07
hypA	fhlA	7.231061529e-07
nsrR	hypA	7.07731368e-07
nsrR	hypE	6.407658763e-07
hyfF	hycF	5.866208327e-07
nsrR	fhlA	5.731335060000001e-07
nsrR	hycE	5.714580831e-07
hypA	nsrR	4.700756681e-07
hypA	hycB	3.856486912e-07
hypA	hycG	3.329096028e-07
hypA	hyfC	3.172815517e-07
hypA	hycE	2.938067599e-07
hyfH	hypD	2.8352075899999993e-07
hypA	hyfA	2.590909914e-07
hyfR	feaR	2.53904017e-07
hypA	hyfH	2.454539406e-07
hypA	hyfJ	2.393709296e-07
hypA	hycF	2.391633776e-07
hypA	hypE	2.349569201e-07
hypA	hypD	2.320144258e-07
hypA	focB	2.277910171e-07
hypA	hyfF	2.265743654e-07
hypA	hypC	2.2656142000000003e-07
hycG	focB	2.090942963e-07
hycB	nsrR	1.931212941e-07
focB	hyfJ	1.817113451e-07
hycB	focB	1.448944239e-07
hycG	hyfI	1.290995446e-07
hycB	hyfC	1.174184857e-07
hycB	hypC	1.094000871e-07
hyfC	hycG	1.090156755e-07
focB	hypD	6.923488016e-08
hyfJ	hypD	6.812597762e-08
hyfH	hyfI	6.118749199e-08
hyfR	hyfI	6.099391515e-08
hycB	hycE	5.6386326570000006e-08
hycB	hycA	5.233049144e-08
hyfH	hycG	4.954542277e-08
hycB	hypA	4.648781779e-08
hycA	hycF	4.352043729e-08
focB	hypE	3.85235272e-08
hycB	hyfJ	3.637602242e-08
hycE	hycB	3.488521564e-08
hycA	hycB	3.270404167e-08
hycE	fhlA	3.2150257089999996e-08
hycE	hyfI	3.12086973e-08
hyfR	hycF	3.067054173e-08
hycE	hypA	3.030181345e-08
hycB	hypD	2.930107565e-08
hyfI	hypD	2.818301765e-08
hycB	hyfH	2.7540589930000003e-08
hycB	hypE	2.684633313e-08
hycB	fhlA	2.6820247430000002e-08
hycF	hycE	2.669118268e-08
hycE	feaR	2.6614837619999998e-08
hycE	focB	2.472477489e-08
hycE	hyfC	2.401710108e-08
hycE	hycG	2.366386266e-08
hycE	hypD	2.360466305e-08
hycE	hyfJ	2.3385405430000002e-08
hycE	hycA	2.310521885e-08
hycE	hypC	2.291806178e-08
hycE	nsrR	2.199723216e-08
hycE	hyfF	2.16621769e-08
hycE	hyfA	2.165909731e-08
hycE	hyfH	2.1528160759999998e-08
hycE	hycF	2.1444519269999997e-08
hyfI	hypA	1.928064192e-08
hycF	hyfH	1.665235625e-08
focB	hyfR	1.491282625e-08
focB	feaR	1.4463497830000001e-08
hycF	hycA	1.423245476e-08
focB	hyfC	1.40627289e-08
hyfR	hycG	1.38808845e-08
focB	nsrR	1.324982283e-08
focB	hyfF	1.3203330870000001e-08
focB	hyfI	1.30893882e-08
focB	hyfH	1.196908676e-08
