"Time"	relE	relB	hokD	alaS	ilvN
700	0.0935753	0.6916813	0.1080126	0.6236294	0.7690593
750	0.0596497	0.7380795	0.0631085	0.8654732	0.7500944
800	0.0816922	0.6959169	0.1006703	0.6621139	0.7927592
850	0.0787959	0.6015914	0.1026326	0.6548705	0.6568440
900	0.0765906	0.7140548	0.1389945	0.7230123	0.8490384
950	0.0760154	0.6894071	0.0696971	0.7425758	0.8003182
1000	0.0999486	0.7852808	0.0683225	0.7323727	0.6517016

0	0.0971063	0.7154020	0.0516277	0.6505102	0.6554441
50	0.0166263	0.4362704	0.0885450	0.3427425	0.6309060
100	0.0090825	0.3344722	0.2498136	0.3599659	0.7092608
150	0.0025363	0.2107531	0.4951075	0.4211234	0.7275399
200	0.0041506	0.2119047	0.5731558	0.3856512	0.7236529
250	0.0063821	0.2779846	0.6236070	0.3046388	0.7248702
300	0.0047952	0.2536713	0.6171807	0.2808402	0.7303295
350	0.0058163	0.2309854	0.7472148	0.4359104	0.7487583
400	0.0014492	0.2226677	0.7535923	0.3543021	0.6620825
450	0.0011159	0.2464166	0.6984398	0.3869202	0.7697164
500	0.0048325	0.2556526	0.6115428	0.4138636	0.7656264
550	0.0343700	0.5710733	0.5403780	0.6061784	0.6836868
600	0.0832823	0.6330332	0.2517025	0.7110666	0.6337725
650	0.0610829	0.7134387	0.1646815	0.7214371	0.6377114
700	0.0355641	0.5618537	0.1373654	0.7731938	0.7504303
750	0.0614965	0.6737779	0.1022376	0.8932629	0.6819402
800	0.0912411	0.8013081	0.0913883	0.7217511	0.7459599
850	0.0493317	0.7397403	0.1227612	0.7134990	0.7529326
900	0.0581439	0.5734504	0.0622822	0.7924357	0.7582921
950	0.0631608	0.7238973	0.0751942	0.7386416	0.7042928
1000	0.0839235	0.7014654	0.0564401	0.7811113	0.7753557

0	0.1027625	0.7494022	0.1169571	0.7125360	0.6521864
50	0.0177544	0.6358442	0.0668116	0.7270834	0.8428820
100	0.0078124	0.8313032	0.1085316	0.6751612	0.6447140
150	0.0015414	0.6665765	0.1357382	0.7899243	0.6159393
200	0.0043231	0.7293848	0.2810310	0.7130935	0.5436002
250	0.0003301	0.6346935	0.3903608	0.7001277	0.5986966
300	0.0012844	0.6856568	0.4376946	0.5959246	0.5878849
350	0.0000608	0.6911258	0.4135853	0.6735686	0.6551644
400	0.0001463	0.6670165	0.4546497	0.6139562	0.5775857
450	0.0064107	0.5836490	0.4580270	0.6583143	0.5883461
500	0.0053372	0.7475798	0.6046462	0.6950219	0.4595568
550	0.0662450	0.6832231	0.2955858	0.6602585	0.8266880
600	0.0470484	0.7279718	0.1495196	0.6414367	0.6779273
650	0.0627513	0.7089684	0.0652365	0.6856745	0.6987914
700	0.0797750	0.6366886	0.0977658	0.6364972	0.6411010
750	0.0807456	0.6279117	0.1003316	0.7504509	0.6333985
800	0.0877512	0.7612443	0.0724238	0.6588994	0.6377743
850	0.1017506	0.6289484	0.0767584	0.6252822	0.6174018
900	0.0743470	0.7346887	0.0705410	0.6612325	0.8209319
950	0.0481318	0.6753137	0.1213829	0.7322527	0.7200689
1000	0.0778797	0.6064457	0.0626554	0.6749702	0.7682708

0	0.0717472	0.7438813	0.0952587	0.8005779	0.6970815
50	0.0604241	0.5497540	0.0518960	0.6846731	0.7136308
100	0.0638708	0.6646590	0.0792742	0.7542990	0.6868850
150	0.0788657	0.7009849	0.0742035	0.8233784	0.6768145
200	0.0447932	0.4743828	0.1097912	0.7491598	0.8087459
250	0.0732950	0.6419870	0.1383409	0.7166338	0.6228713
300	0.0647854	0.4942020	0.0922991	0.8831767	0.8095172
350	0.0723821	0.5475616	0.1145934	0.7439144	0.7096581
400	0.0687787	0.4554003	0.0870780	0.6533634	0.7092430
450	0.0674334	0.5657961	0.0822693	0.7447634	0.6371608
500	0.0747865	0.5387860	0.1527551	0.7106812	0.6282519
550	0.0679465	0.6746219	0.1202202	0.8098961	0.7052935
600	0.0923595	0.7378129	0.0530371	0.7647059	0.8328422
650	0.1064881	0.6427789	0.0646402	0.6984408	0.7213191
700	0.0571123	0.6919665	0.0627727	0.6868643	0.6357555
750	0.0703724	0.6931907	0.1144662	0.7364719	0.6623995
800	0.0498827	0.7839048	0.0616243	0.6635702	0.7989733
850	0.0778075	0.6661553	0.0631216	0.8432112	0.6742570
900	0.0820554	0.6719532	0.0539202	0.6556144	0.8310568
950	0.0802496	0.6223545	0.0727540	0.6766906	1.0000000
1000	0.0937082	0.7799735	0.0660354	0.8330593	0.6491075

0	0.0827593	0.7880238	0.0873691	0.6817364	0.6602577
50	0.0896212	0.3015095	0.1319202	0.2364532	0.3124249
100	0.0446839	0.1793699	0.3009393	0.1696798	0.1713110
150	0.0929357	0.1816432	0.3795917	0.1645541	0.0931296
200	0.0890425	0.0866347	0.4570811	0.1759198	0.1684593
250	0.1830822	0.1808669	0.5472214	0.1975198	0.1600609
300	0.0735091	0.2184759	0.6131295	0.1559235	0.1605227
350	0.1307176	0.1320629	0.6413386	0.1853638	0.1689759
400	0.0947966	0.1220562	0.6743805	0.1350584	0.1588932
450	0.1184134	0.1155361	0.5908510	0.1976687	0.2012943
500	0.1388290	0.1361010	0.7445629	0.2110656	0.1982657
550	0.0995895	0.7317905	0.3924739	0.5123273	0.5565486
600	0.0871359	0.7827560	0.2459199	0.5858696	0.6147274
650	0.0579163	0.6216108	0.1031945	0.7133934	0.8653621
700	0.0952280	0.6267767	0.0598028	0.7402335	0.7312898
750	0.0888567	0.7190747	0.0733039	0.5997871	0.7358890
800	0.0577367	0.6785241	0.0835495	0.6941305	0.6425736
850	0.0781117	0.8066430	0.0900544	0.6737775	0.7766034
900	0.0505361	0.7634728	0.0556845	0.6296494	0.7183389
950	0.0601296	0.7379729	0.0976466	0.7098001	0.7503517
1000	0.1248637	0.7057184	0.0598720	0.7470978	0.6156145

0	0.0785598	0.7148893	0.0708785	0.7717861	0.6399443
50	0.0358954	0.4653465	0.0644557	0.7758739	0.6702316
100	0.0025576	0.3660274	0.1384424	0.8057001	0.7477725
150	0.0018210	0.3871601	0.2974429	0.6616790	0.6807581
200	0.0010188	0.3646519	0.5348959	0.7089962	0.8189595
250	0.0002474	0.4195611	0.8112400	0.6856433	0.7122435
300	0.0035103	0.4232738	0.5323583	0.8019356	0.7564000
350	0.0041874	0.3653314	0.6066200	0.8177270	0.8600672
400	0.0035866	0.4143162	0.7374681	0.8103198	0.6394793
450	0.0020784	0.3555330	0.5311567	0.6730986	0.7145502
500	0.0054988	0.3461868	0.6572747	0.7086719	0.7442815
550	0.0535256	0.6531676	0.4691878	0.7105036	0.7953682
600	0.0708768	0.6788610	0.3096489	0.6986951	0.6485059
650	0.0826308	0.5945078	0.0940405	0.7907746	0.7524258
700	0.0322704	0.5965720	0.0657003	0.7376056	0.6877623
750	0.0505137	0.7593261	0.0699634	0.7810911	0.7181530
800	0.0652243	0.7304565	0.1324046	0.9575707	0.6268129
850	0.0788483	0.7127296	0.0743025	0.7041327	0.7126223
900	0.0575475	0.8160372	0.0525784	0.7376016	0.6753275
950	0.0650467	0.7215042	0.0949619	0.6659513	0.7677469
1000	0.0625042	0.8101447	0.1166940	0.6565526	0.6930095

0	0.0989655	0.8599036	0.0771409	0.7787016	0.7230972
50	0.0738243	0.2258915	0.0670145	0.7708502	0.6795454
100	0.0699921	0.2017652	0.1943435	0.7501950	0.7379302
150	0.0982797	0.1497970	0.4165494	0.7774393	0.6222706
200	0.0928676	0.2058021	0.6624743	0.7258457	0.6088785
250	0.0686407	0.0886997	0.7251569	0.7285988	0.7064443
300	0.0928810	0.1486905	0.5372981	0.6159987	0.7156123
350	0.1290850	0.1005708	0.5860031	0.6801772	0.8177788
400	0.0726186	0.1736708	0.6037483	0.7124942	0.8485539
450	0.0820767	0.1450975	0.5427874	0.6445233	0.6767238
500	0.1103198	0.1714036	0.6526092	0.7764472	0.8391983
550	0.1430339	0.6639522	0.4119330	0.7258932	0.5870002
600	0.0927661	0.5519773	0.1859443	0.7288307	0.7496189
650	0.0842053	0.8121460	0.1376990	0.6625339	0.6469658
700	0.0829710	0.8304720	0.0789105	0.6364148	0.5862294
750	0.1036566	0.6815413	0.0883357	0.6110957	0.7215095
800	0.0587586	0.6049801	0.1412429	0.8317283	0.7642415
850	0.0787222	0.6741922	0.0786854	0.6495579	0.7620570
900	0.0608815	0.7133123	0.0706039	0.8433133	0.6175506
950	0.0739321	0.7500586	0.0442656	0.7158269	0.6804279
1000	0.0735454	0.7015388	0.0737534	0.7321888	0.7458404

0	0.0764914	0.6886233	0.0546531	0.7252264	0.7262413
50	0.0449664	0.6979716	0.0399877	0.5737641	0.3796011
100	0.0316211	0.6269141	0.0107469	0.6976152	0.1166333
150	0.0338186	0.8052363	0.0247126	0.5890753	0.1650874
200	0.0384332	0.6451613	0.0115402	0.5896485	0.0767738
250	0.0259206	0.7919205	0.0101764	0.7040417	0.0867798
300	0.0588127	0.7042288	0.0184556	0.6567408	0.0957914
350	0.0339200	0.7756789	0.0129267	0.6176488	0.1521797
400	0.0230324	0.7532884	0.0111091	0.6983151	0.0970775
450	0.0497837	0.7168888	0.0204467	0.4810733	0.0812068
500	0.0382807	0.7746178	0.0181681	0.6717197	0.0735767
550	0.0754481	0.7054747	0.0808110	0.6415986	0.4965284
600	0.0517163	0.7458529	0.0635185	0.7332733	0.6521709
650	0.0934703	0.7194813	0.1142845	0.6668770	0.7106914
700	0.0528788	0.6502347	0.0864825	0.6666554	0.6694959
750	0.0544391	0.8569764	0.0881446	0.7633051	0.7112493
800	0.0822597	0.7090680	0.0726508	0.6916559	0.5915749
850	0.0653984	0.7458566	0.1350551	0.8516066	0.7263457
900	0.0539649	0.6405461	0.0696284	0.6830702	0.7113623
950	0.0579236	0.6670556	0.0587455	0.6594431	0.5593149
1000	0.0714188	0.6348547	0.0719136	0.6965840	0.8214884

0	0.0587320	0.6928833	0.0921200	0.7583743	0.6680165
50	0.0149572	0.7591034	0.1088419	0.1221625	0.7451884
100	0.0008800	0.7246399	0.1074489	0.0491257	0.7141086
150	0.0010826	0.7650533	0.2141751	0.0891943	0.7849460
200	0.0013108	0.7844665	0.2600633	0.0795798	0.7163628
250	0.0008934	0.6428167	0.2757235	0.0546683	0.7185117
300	0.0001241	0.7107034	0.2971473	0.0850421	0.6860413
350	0.0000222	0.5681246	0.5552741	0.0628124	0.6366250
400	0.0032262	0.7317797	0.7483411	0.0451348	0.6300914
450	0.0025556	0.7907008	0.4684774	0.0529628	0.6848606
500	0.0003978	0.7201916	0.5523513	0.0800394	0.6972179
550	0.0312187	0.5822609	0.2219242	0.6431967	0.6901086
600	0.0606055	0.6953105	0.1219203	0.7132223	0.7404949
650	0.0882104	0.8448585	0.0602417	0.7116523	0.8241481
700	0.0483108	0.6533027	0.0941332	0.5949995	0.8309106
750	0.0765915	0.6843765	0.0674371	0.6992876	0.7576902
800	0.0665935	0.6700092	0.1264883	0.9268978	0.6736471
850	0.0643039	0.6098182	0.0924955	0.7529903	0.6886575
900	0.0535960	0.6199187	0.0783711	0.7865576	0.5642440
950	0.0569428	0.7209224	0.0767340	0.8145992	0.6850587
1000	0.0352280	0.7317891	0.1127433	0.6476248	0.6170518

0	0.0869699	0.6882651	0.0762580	0.8078977	0.6307744
50	0.1230156	0.7073364	0.0604955	0.6218982	0.6026853
100	0.0656242	0.6559429	0.0475465	0.7124447	0.6984761
150	0.0573263	0.7082955	0.0572924	0.6363970	0.7669583
200	0.0534726	0.7351008	0.0540860	0.7402532	0.6700716
250	0.0674845	0.8168160	0.0481399	0.7075347	0.5423617
300	0.0557960	0.6752703	0.0595483	0.7171919	0.7339285
350	0.0472039	0.7523493	0.0838466	0.7313366	0.6771547
400	0.0482559	0.7170411	0.0824780	0.6368305	0.6654899
450	0.0658714	0.6779043	0.0462975	0.7850234	0.6887232
500	0.0889125	0.6808957	0.0613892	0.6527795	0.6713269
550	0.0974625	0.6434641	0.0984999	0.7182989	0.7097250
600	0.0209996	0.7994349	0.0841271	0.8009984	0.6830298
650	0.0823184	0.6586212	0.0770843	0.6539269	0.7163966
700	0.0644408	0.7315430	0.0750485	0.7398738	0.7679634
750	0.0656732	0.6788716	0.0659721	0.5978483	0.7084736
800	0.0504403	0.6071187	0.0585065	0.7186721	0.7471563
850	0.0823355	0.7291048	0.0668061	0.8166631	0.6472392
900	0.0625625	0.8579051	0.0436763	0.6502420	0.7150573
950	0.1056498	0.5975806	0.0569709	0.7020864	0.8219380
1000	0.1020505	0.8066480	0.0498085	0.7241146	0.7759778

0	0.0593518	0.6548582	0.0868431	0.7660058	0.6758005
50	0.0694421	0.6723415	0.0844499	0.7374380	0.3894736
100	0.1197917	0.6768731	0.0533575	0.7868183	0.2926431
150	0.0514408	0.7998516	0.0960288	0.6665004	0.2781915
200	0.0477908	0.7708058	0.0593130	0.8241087	0.1963467
250	0.0456529	0.8211839	0.0578942	0.6706232	0.1298502
300	0.0839822	0.6801106	0.1246743	0.7557625	0.2025685
350	0.0331094	0.6847034	0.0515680	0.7713499	0.2525611
