"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	0.6650419	0.6507061	0.1465571	0.6566941	0.4403188	0.3718146	0.6822794	0.2330503	0.5028639	0.0523522
50	0.8326052	0.6053983	0.1080329	0.7187422	0.3838564	0.2537973	0.7232930	0.1512138	0.4440072	0.0048979
100	0.7133562	0.7141347	0.1109933	0.6963451	0.3738739	0.2602427	0.7127694	0.1160284	0.3921738	0.0006888
150	0.6994153	0.6950660	0.1193154	0.6129391	0.5043085	0.2454889	0.6678025	0.0626763	0.4310716	0.0008805
200	0.6456500	0.6533533	0.0607388	0.6675168	0.4897777	0.2526994	0.7004605	0.0959974	0.4845911	0.0002171
250	0.8662141	0.6499618	0.1416713	0.5982156	0.4721854	0.3137769	0.6631206	0.0868266	0.5916959	0.0004008
300	0.7520447	0.7824373	0.1275259	0.6551322	0.4714029	0.3373281	0.6481730	0.0693370	0.5018833	0.0045652
350	0.7180977	0.7462155	0.1169456	0.5905037	0.3991668	0.3249553	0.6095672	0.0579722	0.5349856	0.0000161
400	0.6271601	0.6382488	0.0868307	0.7711930	0.4694786	0.2418496	0.7738574	0.0865969	0.5577158	0.0011408
450	0.7358961	0.6032396	0.1291657	0.6928416	0.3524635	0.3460367	0.7716952	0.0679605	0.5956729	0.0072743
500	0.7434895	0.7473390	0.1608685	0.6535349	0.4371960	0.2893914	0.6601697	0.1014312	0.5543914	0.0003290
550	0.7009011	0.5280982	0.1348494	0.6471454	0.3873667	0.3013200	0.7438766	0.1668303	0.4769500	0.0258906
600	0.7502500	0.7888930	0.1341124	0.8008889	0.4253333	0.3093968	0.8793378	0.1444151	0.6005607	0.0457407
650	0.6814143	0.7664633	0.1556899	0.7496732	0.2934278	0.4267759	0.6867834	0.1932333	0.5248451	0.0471335
700	0.7719735	0.6291822	0.1282767	0.6148114	0.4032448	0.3286798	0.7012918	0.2457166	0.6148238	0.0509154
750	0.7278334	0.6872808	0.1218972	0.6353129	0.3776438	0.2706351	0.7685074	0.1597646	0.3595402	0.0718791
800	0.7926405	0.8093972	0.1337885	0.6970177	0.3907585	0.3467886	0.6558830	0.1527400	0.4450691	0.0379250
850	0.7610530	0.6219926	0.1670068	0.6276718	0.4153056	0.3260529	0.7449062	0.2066404	0.5012304	0.0940038
900	0.6609638	0.7542226	0.1563008	0.5761065	0.4592791	0.3477421	0.7103389	0.1571485	0.5474536	0.0522348
950	0.6956448	0.8063414	0.1953310	0.6468449	0.3534605	0.3385014	0.7689503	0.1882267	0.4615228	0.0389789
1000	0.8123685	0.6758961	0.1949803	0.7398499	0.3694402	0.2834750	0.6566469	0.1370806	0.4069801	0.0234507

0	0.8047610	0.6054527	0.1106584	0.6291570	0.4176779	0.3563008	0.7400082	0.1435514	0.4329387	0.0170002
50	0.6324814	0.7359747	0.2070247	0.6082032	0.3823013	0.2189232	0.7867252	0.1522009	0.5019752	0.0098238
100	0.7457875	0.6727900	0.1449217	0.5335391	0.3874931	0.2575941	0.7818177	0.1368154	0.4665856	0.0066019
150	0.7188556	0.6218639	0.1991242	0.6714056	0.3030931	0.3492158	0.7303567	0.1521840	0.5004209	0.0048725
200	0.7288712	0.6007499	0.1456977	0.7289145	0.2919306	0.2949409	0.6248242	0.1588497	0.3799308	0.0014724
250	0.7570983	0.7903086	0.1725804	0.6481539	0.3342853	0.1991241	0.7543682	0.1506582	0.4442090	0.0001552
300	0.6018645	0.6622838	0.1216666	0.7734836	0.4479806	0.2814535	0.7039961	0.2010453	0.4590193	0.0000000
350	0.7365548	0.6872268	0.1189442	0.6207153	0.4733008	0.2635734	0.8200113	0.1948153	0.3649201	0.0004725
400	0.7694031	0.6882191	0.1197267	0.6548662	0.4018380	0.2481051	0.7765669	0.2727588	0.4199944	0.0037225
450	0.7935197	0.6157995	0.1801657	0.6031047	0.3780053	0.2445272	0.7077771	0.2042537	0.3987456	0.0027478
500	0.6318695	0.6295963	0.1844418	0.6761205	0.3150545	0.3250411	0.7175297	0.1807730	0.5144491	0.0000000
550	0.8746572	0.6948015	0.2282490	0.5847507	0.2987668	0.3321891	0.6451846	0.1851581	0.4674104	0.0501649
600	0.6621094	0.7284106	0.2602378	0.6930623	0.3796444	0.3380747	0.7976889	0.1668779	0.5120290	0.0317469
650	0.8499727	0.7000179	0.1550673	0.6630046	0.2891404	0.2963735	0.7414269	0.2575752	0.5293860	0.0558390
700	0.7586581	0.6304530	0.1976242	0.6386668	0.3072433	0.3276244	0.7666368	0.2067533	0.4405193	0.0363414
750	0.6448600	0.7443930	0.1897750	0.6620466	0.3654681	0.2188862	0.7103146	0.2118067	0.5083342	0.0669862
800	0.7495568	0.6887499	0.1691698	0.5779824	0.3587498	0.3209259	0.7139933	0.1737290	0.4350341	0.0498056
850	0.7055340	0.7277820	0.1485410	0.6650680	0.3787984	0.3229335	0.7201964	0.1757770	0.4515787	0.0741742
900	0.5501483	0.6578669	0.1662688	0.5918340	0.2497601	0.2805116	0.6529371	0.2207052	0.4783158	0.0771495
950	0.6854666	0.6053502	0.2228532	0.7394633	0.2786525	0.3769007	0.6753519	0.1404209	0.4535316	0.0588376
1000	0.7487292	0.8158271	0.1341206	0.6384126	0.3171911	0.2992641	0.6869843	0.1804764	0.4446686	0.0308955

0	0.7378159	0.7177287	0.1335683	0.6617514	0.3213426	0.3128017	0.6995734	0.1851074	0.4692047	0.0253480
50	0.7607550	0.7090854	0.2411672	0.2293289	0.3486609	0.3572068	0.7068445	0.1755022	0.2990443	0.0411055
100	0.6582367	0.7673250	0.1918220	0.1266681	0.3616424	0.2167003	0.6266646	0.1815890	0.2178834	0.0225273
150	0.7178523	0.6253567	0.1481513	0.0399390	0.2043588	0.1033494	0.6174196	0.2271527	0.1875511	0.0244896
200	0.5637078	0.6776903	0.1582532	0.0291396	0.2221452	0.0685104	0.6982874	0.1420543	0.1536180	0.0410913
250	0.5668313	0.6803969	0.1341673	0.0281861	0.2085286	0.0930031	0.4811473	0.1361229	0.1213137	0.0175475
300	0.5896937	0.6832246	0.1546481	0.0074798	0.1592719	0.0930098	0.3755663	0.1793604	0.1137951	0.0351180
350	0.6566016	0.7650331	0.1237668	0.0118394	0.2277240	0.0405972	0.2993585	0.1867079	0.1480503	0.0176730
400	0.6810806	0.6251127	0.1948252	0.0182624	0.1624650	0.0853753	0.4242334	0.1426746	0.1526102	0.0398272
450	0.8028077	0.7053393	0.1859017	0.0042893	0.2267288	0.0545282	0.3244975	0.1266279	0.1434180	0.0302941
500	0.6167495	0.6655761	0.1804283	0.0442196	0.1709373	0.1116878	0.3427313	0.1970130	0.1365598	0.0438239
550	0.7122823	0.8006815	0.1967565	0.5561118	0.2482892	0.0918843	0.5874418	0.1979988	0.2290312	0.0316334
600	0.6931220	0.7285721	0.1469835	0.6638932	0.2190520	0.0985580	0.6689766	0.2213908	0.3304846	0.0287202
650	0.6946986	0.6382228	0.1347185	0.6372313	0.3219807	0.3105719	0.6767988	0.2731484	0.4130527	0.0509607
700	0.7560495	0.7709125	0.2563215	0.5946556	0.2922179	0.3332807	0.6666611	0.2900319	0.4476660	0.0553991
750	0.7028619	0.7712694	0.1316099	0.6913173	0.3482749	0.2498904	0.7123205	0.1564593	0.4251366	0.0363518
800	0.5925431	0.7456211	0.1170802	0.7130086	0.3637847	0.3023766	0.7970423	0.1450513	0.3304472	0.0417833
850	0.5460278	0.6918445	0.1303020	0.6937404	0.3410086	0.2992677	0.7119797	0.1888499	0.3687367	0.0352315
900	0.6810968	0.5587345	0.1733085	0.7435634	0.3818220	0.3240460	0.7323090	0.1388087	0.3778052	0.0574856
950	0.7477490	0.7117095	0.1708440	0.5483542	0.3049986	0.3180726	0.8113906	0.1183323	0.5590270	0.0442044
1000	0.6711510	0.7587549	0.1227365	0.5792499	0.3012362	0.2325349	0.8082201	0.1950879	0.3671569	0.0443827

0	0.7991900	0.5908289	0.1535532	0.6741647	0.3604131	0.3402892	0.7504532	0.1604457	0.4438272	0.0301052
50	0.6927775	0.7240211	0.2095921	0.7103749	0.4312073	0.2907650	0.5780252	0.1345581	0.5778976	0.0297169
100	0.6752706	0.7740443	0.1904637	0.8007106	0.3283839	0.3298928	0.6064916	0.2006878	0.3376986	0.0492250
150	0.6291921	0.7571040	0.1815968	0.5800000	0.4416585	0.3352924	0.7272309	0.1391197	0.4614393	0.0562629
200	0.7171932	0.6436648	0.1482348	0.5682957	0.3752193	0.2882435	0.6569498	0.2118128	0.3584003	0.0314107
250	0.7510939	0.6843080	0.1884661	0.6198246	0.4613924	0.2967692	0.7228652	0.1663679	0.3947208	0.0350944
300	0.7015852	0.6867849	0.1118994	0.7226164	0.5610364	0.3180392	0.7389489	0.1532404	0.3770100	0.0643250
