"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
100	1.0000000	0.9993649	0.2285675	0.2394260	0.4889773	0.3416103	0.8628419	0.2441108	0.3760703	0.0561719
150	1.0000000	0.9993649	0.2285670	0.0987851	0.4397731	0.2460498	0.8208969	0.2441101	0.2749924	0.0561719
200	1.0000000	0.9993649	0.2285668	0.0482089	0.3938535	0.1811913	0.7549579	0.2441098	0.2224556	0.0561719
250	1.0000000	0.9993649	0.2285667	0.0312566	0.3609783	0.1467811	0.6633930	0.2441097	0.1976836	0.0561719
300	1.0000000	0.9993649	0.2285666	0.0257667	0.3404568	0.1303728	0.5843661	0.2441096	0.1865666	0.0561719
350	1.0000000	0.9993649	0.2285666	0.0240209	0.3286205	0.1229734	0.5369489	0.2441096	0.1817148	0.0561719
400	1.0000000	0.9993649	0.2285666	0.0234713	0.3221278	0.1197440	0.5142951	0.2441096	0.1796325	0.0561719
450	1.0000000	0.9993649	0.2285666	0.0232992	0.3186862	0.1183632	0.5048965	0.2441096	0.1787480	0.0561719
500	1.0000000	0.9993649	0.2285666	0.0232455	0.3169066	0.1177807	0.5013339	0.2441096	0.1783748	0.0561719
550	1.0000000	0.9993649	0.2285666	0.4015803	0.3192965	0.1195716	0.6833812	0.2441096	0.2466670	0.0561719
600	1.0000000	0.9993649	0.2285666	0.7312761	0.3467944	0.1654476	0.8818904	0.2441096	0.3390401	0.0561719
650	1.0000000	0.9993649	0.2285666	0.8719167	0.3938791	0.2534793	0.9611092	0.2441096	0.4325405	0.0561719
700	1.0000000	0.9993649	0.2285666	0.9224928	0.4390461	0.3275379	0.9858188	0.2441096	0.5150598	0.0561719
750	1.0000000	0.9993649	0.2285666	0.9394451	0.4727065	0.3736090	0.9927839	0.2441096	0.5730221	0.0561719
800	1.0000000	0.9993649	0.2285666	0.9449351	0.4945972	0.3984483	0.9946546	0.2441096	0.6076192	0.0561719
850	1.0000000	0.9993649	0.2285666	0.9466809	0.5076874	0.4107919	0.9951465	0.2441096	0.6261957	0.0561719
900	1.0000000	0.9993649	0.2285666	0.9472305	0.5150872	0.4166150	0.9952753	0.2441096	0.6354911	0.0561719
950	1.0000000	0.9993649	0.2285666	0.9474025	0.5191072	0.4192661	0.9953092	0.2441096	0.6399215	0.0561719
1000	1.0000000	0.9993649	0.2285666	0.9474562	0.5212279	0.4204426	0.9953182	0.2441096	0.6419615	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2285687	0.9474742	0.5231551	0.4213120	0.9961492	0.2441125	0.6435174	0.0561719
100	1.0000000	0.9993649	0.2285675	0.9474778	0.5232863	0.4213248	0.9967666	0.2441108	0.6435549	0.0561719
150	1.0000000	0.9993649	0.2285670	0.9474793	0.5233536	0.4213308	0.9969826	0.2441101	0.6435728	0.0561719
200	1.0000000	0.9993649	0.2285668	0.9474800	0.5233878	0.4213337	0.9970448	0.2441098	0.6435813	0.0561719
250	1.0000000	0.9993649	0.2285667	0.9474803	0.5234050	0.4213350	0.9970612	0.2441097	0.6435852	0.0561719
300	1.0000000	0.9993649	0.2285666	0.9474804	0.5234136	0.4213356	0.9970652	0.2441096	0.6435870	0.0561719
350	1.0000000	0.9993649	0.2285666	0.9474804	0.5234179	0.4213359	0.9970662	0.2441096	0.6435879	0.0561719
400	1.0000000	0.9993649	0.2285666	0.9474805	0.5234200	0.4213360	0.9970664	0.2441096	0.6435883	0.0561719
450	1.0000000	0.9993649	0.2285666	0.9474805	0.5234210	0.4213360	0.9970665	0.2441096	0.6435884	0.0561719
500	1.0000000	0.9993649	0.2285666	0.9474805	0.5234215	0.4213361	0.9970665	0.2441096	0.6435885	0.0561719
550	1.0000000	0.9993649	0.2285666	0.9474805	0.5234218	0.4213361	0.9962387	0.2441096	0.6435886	0.0561719
600	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4213361	0.9956215	0.2441096	0.6435886	0.0561719
650	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4213361	0.9954055	0.2441096	0.6435886	0.0561719
700	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953434	0.2441096	0.6435886	0.0561719
750	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953270	0.2441096	0.6435886	0.0561719
800	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953230	0.2441096	0.6435886	0.0561719
850	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953220	0.2441096	0.6435886	0.0561719
900	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953218	0.2441096	0.6435886	0.0561719
950	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6435886	0.0561719
1000	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6435886	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.8752036	0.9993145	0.2344788	0.9473370	0.5230105	0.4082703	0.9953185	0.2473585	0.6452058	0.0562646
100	0.7266192	0.9988976	0.2802358	0.9435084	0.5187119	0.3982970	0.9952196	0.2688972	0.6568960	0.0571367
150	0.6356027	0.9978581	0.3727102	0.9254810	0.4982873	0.4007306	0.9944216	0.3063898	0.6777215	0.0596230
200	0.5880022	0.9963323	0.4797948	0.8860423	0.4576523	0.4084892	0.9905737	0.3452560	0.6984034	0.0637235
250	0.5646116	0.9947593	0.5720513	0.8314657	0.4062774	0.4139142	0.9791688	0.3761795	0.7118359	0.0683728
300	0.5534426	0.9934948	0.6388679	0.7759085	0.3555969	0.4131629	0.9581130	0.3972621	0.7167555	0.0724092
350	0.5481842	0.9926382	0.6822464	0.7298929	0.3121503	0.4062734	0.9316252	0.4103014	0.7157549	0.0753185
400	0.5457261	0.9921215	0.7084188	0.6967006	0.2779831	0.3956445	0.9064515	0.4178578	0.7121029	0.0771622
450	0.5445814	0.9918333	0.7234149	0.6749124	0.2526753	0.3841709	0.8867787	0.4220415	0.7080419	0.0782307
500	0.5440493	0.9916810	0.7316873	0.6615294	0.2347861	0.3739538	0.8733437	0.4242820	0.7046144	0.0788122
550	0.6685986	0.9923751	0.7248726	0.6540685	0.2226738	0.3761886	0.8655899	0.4203798	0.6962025	0.0770952
600	0.8170683	0.9949528	0.6544076	0.6586747	0.2161062	0.3723680	0.8738774	0.3914958	0.6606690	0.0699431
650	0.9080316	0.9971226	0.5395002	0.6901484	0.2185903	0.3619668	0.9089029	0.3483504	0.6114101	0.0634389
700	0.9556075	0.9983247	0.4305405	0.7460352	0.2351179	0.3574659	0.9486262	0.3096721	0.5732904	0.0596110
750	0.9789866	0.9988989	0.3498429	0.8077253	0.2675361	0.3630457	0.9742746	0.2822644	0.5572702	0.0577149
800	0.9901503	0.9991582	0.2975598	0.8593174	0.3119719	0.3750685	0.9866080	0.2651789	0.5611517	0.0568477
850	0.9954063	0.9992731	0.2663325	0.8955284	0.3605920	0.3882797	0.9917549	0.2553241	0.5763653	0.0564657
900	0.9978631	0.9993239	0.2486574	0.9182668	0.4057806	0.3994648	0.9938083	0.2499216	0.5945132	0.0562998
950	0.9990074	0.9993465	0.2390239	0.9315736	0.4429631	0.4076569	0.9946431	0.2470622	0.6105387	0.0562280
1000	0.9995392	0.9993566	0.2339172	0.9390163	0.4708682	0.4131329	0.9950015	0.2455868	0.6226327	0.0561967

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.1879640	0.9495108	0.5384569	0.4213264	0.8590631	0.2441125	0.6435625	0.0369519
100	1.0000000	0.9993649	0.1348111	0.9600974	0.5748911	0.4216650	0.7575593	0.2441108	0.6446267	0.0171969
150	1.0000000	0.9993649	0.0995189	0.9735788	0.6235990	0.4227868	0.7221436	0.2441101	0.6482057	0.0071965
200	1.0000000	0.9993649	0.0800158	0.9837782	0.6728460	0.4245188	0.7120187	0.2441098	0.6538304	0.0029898
250	1.0000000	0.9993649	0.0701261	0.9898371	0.7139231	0.4263024	0.7094058	0.2441097	0.6597194	0.0013647
300	1.0000000	0.9993649	0.0653524	0.9930156	0.7440116	0.4277511	0.7087828	0.2441096	0.6645662	0.0007661
350	1.0000000	0.9993649	0.0631195	0.9945762	0.7641692	0.4287628	0.7086480	0.2441096	0.6679851	0.0005522
400	1.0000000	0.9993649	0.0620972	0.9953152	0.7768406	0.4294010	0.7086241	0.2441096	0.6701582	0.0004772
450	1.0000000	0.9993649	0.0616363	0.9956580	0.7844380	0.4297757	0.7086223	0.2441096	0.6714415	0.0004512
500	1.0000000	0.9993649	0.0614309	0.9958148	0.7888304	0.4299845	0.7086237	0.2441096	0.6721600	0.0004424
550	1.0000000	0.9993649	0.1019448	0.9951380	0.7796646	0.4300921	0.8449293	0.2441096	0.6725313	0.0196594
600	1.0000000	0.9993649	0.1550566	0.9896786	0.7489610	0.4300311	0.9465628	0.2441096	0.6723022	0.0394133
650	1.0000000	0.9993649	0.1903308	0.9793922	0.7024718	0.4295162	0.9820606	0.2441096	0.6704668	0.0494134
700	1.0000000	0.9993649	0.2098262	0.9684530	0.6531575	0.4283987	0.9921788	0.2441096	0.6665762	0.0536199
750	1.0000000	0.9993649	0.2197124	0.9598652	0.6108728	0.4268781	0.9947337	0.2441096	0.6614146	0.0552451
800	1.0000000	0.9993649	0.2244847	0.9542433	0.5791498	0.4253118	0.9952909	0.2441096	0.6562258	0.0558436
850	1.0000000	0.9993649	0.2267170	0.9509686	0.5573965	0.4239748	0.9953740	0.2441096	0.6518885	0.0560576
900	1.0000000	0.9993649	0.2277390	0.9492055	0.5434101	0.4229771	0.9953642	0.2441096	0.6487060	0.0561326
950	1.0000000	0.9993649	0.2281997	0.9483073	0.5348435	0.4223032	0.9953464	0.2441096	0.6465846	0.0561585
1000	1.0000000	0.9993649	0.2284051	0.9478675	0.5297919	0.4218813	0.9953344	0.2441096	0.6452696	0.0561674

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
