"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	1.0117834	1.0771440	0.4227800	0.0964236	0.0567879	0.3288188	0.0567214	0.1644504	0.3358575	0.0828422	0.1486813	0.0591835	0.0003439	0.7158833	0.9107046	0.0223843	0.0558380	0.4198504	0.1552527	0.3677619
250	1.0241159	1.0092621	0.3807915	0.1127667	0.0871754	0.4104555	0.0717994	0.1609905	0.3368947	0.0472723	0.1645669	0.0324004	0.0001293	0.6800053	1.0081676	0.0153057	0.0805232	0.4550160	0.1218183	0.3528734
300	0.9525337	0.9700358	0.3758457	0.1210592	0.0701631	0.4086493	0.0472059	0.1558920	0.3083518	0.0870930	0.1691838	0.0337225	0.0001085	0.7415780	0.9533658	0.0194783	0.0925033	0.4348627	0.1655738	0.4193194
350	0.9121050	1.0196440	0.4826730	0.0921171	0.0778478	0.5354849	0.0487002	0.1425334	0.3321264	0.1084787	0.1851102	0.0346710	0.0000814	0.7368842	1.0253817	0.0128608	0.0857806	0.4495474	0.2426012	0.4239279
400	0.9064526	0.9460021	0.4293473	0.1309584	0.0807546	0.5870442	0.0564500	0.1908943	0.3363296	0.1027462	0.2273031	0.0482999	0.0000418	0.6829775	1.0359335	0.0214435	0.0779797	0.4499391	0.2499803	0.3997122
450	1.0169566	0.9160658	0.4730196	0.1330539	0.0752242	0.4353754	0.0455253	0.1959741	0.3604442	0.1164869	0.2317289	0.0410138	0.0000005	0.6110727	1.0015120	0.0148046	0.0645774	0.4335815	0.2330906	0.4311820
500	0.9564073	0.9412223	0.4506003	0.1292063	0.0617455	0.4183503	0.0457008	0.2076623	0.3732773	0.1347498	0.1925746	0.0440823	0.0000014	0.6409618	0.9833391	0.0360474	0.0970333	0.4770594	0.2039859	0.4898158
550	0.7773375	1.0253218	0.4736519	0.2516468	0.3259984	0.2429973	0.3773904	0.1948050	0.3466813	0.1815268	0.2208729	0.0445201	0.0447688	0.5862531	0.9224747	0.0390813	0.1929712	0.5271832	0.2083974	0.4433408
600	0.8090757	0.9988182	0.4329446	0.2893940	0.4060726	0.1291777	0.3380964	0.1757281	0.2831605	0.1826208	0.1842133	0.0518828	0.0446603	0.5175435	0.9857527	0.0197345	0.1747095	0.4942674	0.2189856	0.4359694
650	0.7980847	1.0306570	0.4800920	0.2350567	0.3627460	0.0732923	0.3470794	0.1860052	0.2742374	0.1693310	0.2096889	0.0452752	0.0412198	0.5718528	0.9994928	0.0232003	0.2054755	0.5083684	0.1663374	0.4249070
700	0.7921706	1.0044813	0.4636105	0.3097638	0.4142760	0.0444847	0.3716249	0.1979002	0.3007629	0.1995709	0.1947882	0.0407661	0.0554092	0.5506540	0.9122352	0.0293116	0.2731597	0.4729331	0.2252705	0.3957453
750	0.8184434	0.9562422	0.3991780	0.2892977	0.3947256	0.0409169	0.2988656	0.2026236	0.2732526	0.1616197	0.1863705	0.0351955	0.0437161	0.5698369	1.0376781	0.0186448	0.2084617	0.4689138	0.2452309	0.4216702
800	0.7500731	1.0236426	0.4973865	0.2676558	0.3739781	0.0377268	0.3357406	0.1850394	0.2567554	0.2088062	0.2317325	0.0315665	0.0393092	0.5455149	0.9980842	0.0235621	0.2335877	0.4866907	0.2099797	0.4302613
