"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.5904503	0.7925187	0.3382055	0.2151577	0.3272570	0.0339722	0.2000928	0.1097092	0.1575741	0.1443480	0.1825186	0.0463314	0.0659629	0.3937840	0.7779133	0.0077971	0.1202459	0.3770363	0.1694853	0.2508776
50	0.6180937	0.7544813	0.2717117	0.2874509	0.1495215	0.0348832	0.2048920	0.1080980	0.1456033	0.2254121	0.1596775	0.0196574	0.0358301	0.3943180	0.9179783	0.0132507	0.1134917	0.4137231	0.1694347	0.3333642
100	0.8620045	0.7325549	0.3179904	0.1835159	0.0474561	0.0535112	0.2627437	0.1229214	0.1993370	0.2229052	0.2010382	0.0228237	0.0622758	0.4081844	0.9566171	0.0251470	0.1052493	0.3771338	0.2361885	0.3019502
150	0.4364343	0.7762073	0.4660051	0.2554400	0.0781378	0.0607034	0.2479100	0.1290214	0.1568932	0.1666344	0.2126874	0.0347491	0.0298472	0.3939934	0.8428202	0.0171274	0.0836343	0.3102831	0.1724584	0.3706619
200	0.4942787	0.8135278	0.4015462	0.2469470	0.0649944	0.0395682	0.2324275	0.1542606	0.1680935	0.1942861	0.2052202	0.0060682	0.0552937	0.4652576	0.7722569	0.0316869	0.1021072	0.3645825	0.1620863	0.2638248
250	0.4894126	0.7828247	0.4193249	0.1991053	0.0213854	0.0363763	0.1841689	0.1031176	0.1545841	0.1920009	0.1654039	0.0040128	0.0389110	0.4244313	0.5427443	0.0202569	0.1141859	0.3277039	0.2416746	0.3220808
300	0.5526949	0.8003231	0.2880683	0.1947205	0.0074544	0.0161646	0.2235826	0.1333908	0.1711452	0.1679870	0.1625686	0.0028725	0.0391593	0.5175614	0.6581984	0.0424994	0.0608582	0.3793088	0.1795505	0.2470384
350	0.5439618	0.9177722	0.2685291	0.1196833	0.0528234	0.0505335	0.2306512	0.1463951	0.1874677	0.1383424	0.1890546	0.0171474	0.0889874	0.4327029	0.7221960	0.0147633	0.1103592	0.3703185	0.1078631	0.3430649
400	0.5346329	0.7917557	0.4081886	0.1643756	0.0213589	0.0384097	0.3201823	0.1546994	0.2196951	0.1304553	0.1186193	0.0191710	0.0108932	0.4806375	0.7542728	0.0120135	0.0481436	0.3395056	0.0773100	0.2958987
450	0.6043241	0.8727727	0.3401931	0.2154815	0.0258568	0.0407164	0.2847219	0.1136535	0.2408488	0.1185924	0.2018715	0.0142025	0.0647131	0.5324519	0.8942934	0.0675769	0.1000569	0.2698237	0.1064516	0.2765407
