kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.7171686	0.6613492	0.0000000	0.0000000	0.2610445	0.7084640	0.4189270	0.7006049	0.7507258	0.0155531
0.0000000	0.7082133	0.0000000	0.6974415	0.5878286	0.6518371	0.5452782	0.6816177	0.3976044	0.4926762
