"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	0.5779940	0.0143414	0.2566925	0.5500982	0.6302512	0.6075313	0.2843786	0.5788559	0.2233690	0.4061631
450	0.7246149	0.0249299	0.2040230	0.3949879	0.5524757	0.7083053	0.2639191	0.5849998	0.1467044	0.4018460
500	0.6576385	0.0307116	0.1972645	0.5028364	0.6200551	0.7463017	0.2506825	0.6675354	0.2075404	0.3559793
550	0.7350284	0.0057138	0.6667953	0.4088522	0.7052341	0.4851530	0.2606271	0.7117096	0.2031745	0.3629394
600	0.6487690	0.0035332	0.6496434	0.2419447	0.5973526	0.4061628	0.2294972	0.5424263	0.2202977	0.3458152
650	0.7039207	0.0009085	0.6038790	0.1044659	0.3977434	0.3184570	0.2268410	0.4930854	0.2138368	0.2297721
700	0.6287843	0.0023700	0.6893104	0.0695078	0.2446687	0.2335692	0.1774337	0.5092127	0.2639763	0.1500927
750	0.7066884	0.0001151	0.6149951	0.0729350	0.2677276	0.2515971	0.1435479	0.7808573	0.2731431	0.0816788
800	0.6469698	0.0023887	0.6282013	0.0853341	0.1940308	0.1631927	0.1623047	0.6672455	0.2631292	0.0924414
850	0.7086894	0.0038303	0.8090628	0.0376396	0.2625693	0.1021608	0.1312601	0.5656644	0.2635761	0.0824642
900	0.8538163	0.0000872	0.6679488	0.0315785	0.1069437	0.1892335	0.1007475	0.7007403	0.2523147	0.0890095
950	0.8148061	0.0033199	0.6971793	0.0366912	0.1176641	0.1104761	0.1399450	0.7481792	0.2623375	0.0960215
1000	0.6187251	0.0052042	0.6341626	0.0563683	0.1270431	0.1312763	0.1272239	0.7229841	0.3253994	0.0968203

0	0.7880941	0.0068361	0.8450568	0.0518883	0.1611575	0.1176508	0.1603018	0.6997950	0.2861465	0.0893897
50	0.6515160	0.0016520	0.7178658	0.0287032	0.1288458	0.1712789	0.1560389	0.6565903	0.2170319	0.1363131
100	0.6320971	0.0032251	0.7105104	0.0255873	0.0588361	0.1655068	0.1420884	0.5191785	0.0941535	0.1609612
150	0.5693478	0.0087377	0.6661065	0.0123748	0.0843372	0.2006546	0.1159480	0.5491458	0.0650558	0.1424217
200	0.6285782	0.0019720	0.6256787	0.0105358	0.0775427	0.1458862	0.1767484	0.3802404	0.0207608	0.1737639
250	0.5719985	0.0039882	0.8806888	0.0066060	0.0327383	0.1406154	0.1225171	0.4672514	0.0064350	0.1567842
300	0.5382905	0.0013632	0.7060199	0.0002202	0.0479596	0.1551390	0.1505377	0.5835122	0.0015362	0.1437450
350	0.5011279	0.0021567	0.6752506	0.0017231	0.0209328	0.1397222	0.1055356	0.4703996	0.0025614	0.1669965
400	0.5234790	0.0005503	0.7339909	0.0249407	0.0202495	0.1141276	0.0930049	0.4986937	0.0036184	0.1286855
450	0.5360213	0.0021106	0.5978928	0.0257450	0.0279334	0.1848402	0.1639639	0.5259007	0.0083173	0.1546513
500	0.5369667	0.0015521	0.6878050	0.0076146	0.0143423	0.1685604	0.0736768	0.4849851	0.0021010	0.1403184
550	0.6040813	0.0000328	0.6893899	0.0208612	0.0421664	0.1399078	0.1440567	0.6678428	0.0965352	0.1060648
600	0.7363771	0.0031568	0.5984097	0.0344450	0.1125875	0.1151717	0.1451686	0.6662400	0.2713719	0.0887764
650	0.5997072	0.0052022	0.6393889	0.0368585	0.1051484	0.1203282	0.1252605	0.7113874	0.2843938	0.0675704
700	0.6893483	0.0036343	0.6704428	0.0307567	0.1294571	0.1086663	0.1681951	0.6876401	0.3531604	0.0704536
750	0.6410190	0.0015640	0.6730187	0.0478394	0.1595993	0.1807383	0.1665897	0.6193477	0.3075290	0.1174929
800	0.7021797	0.0000902	0.6839465	0.0439855	0.1581424	0.1157602	0.1330447	0.7221394	0.2615224	0.0903309
850	0.6709532	0.0000000	0.6634680	0.0422102	0.1350998	0.0878746	0.1801808	0.6128800	0.3324515	0.0674142
900	0.6183201	0.0004154	0.7825074	0.0236685	0.1189794	0.1487092	0.1659921	0.6059750	0.2961199	0.0350471
950	0.7161757	0.0009733	0.6026036	0.0758990	0.1677334	0.1483764	0.1119429	0.6328641	0.2734792	0.0811340
1000	0.8210988	0.0009191	0.6573819	0.0524969	0.2153347	0.2154494	0.1812009	0.6018943	0.3075318	0.1089172

0	0.9774322	0.0039410	0.6157599	0.0444168	0.1633066	0.2007879	0.1519478	0.7181565	0.4077379	0.1153870
50	0.4083192	0.0015262	0.7701275	0.0557501	0.1009734	0.1476978	0.1182489	0.5810787	0.3383978	0.0598022
100	0.2026779	0.0059604	0.6659538	0.0598464	0.0827925	0.0819920	0.0588187	0.4374679	0.3341090	0.0819597
150	0.0694147	0.0203965	0.6594006	0.0350937	0.0855263	0.0879688	0.0275994	0.5274971	0.3393520	0.0967903
200	0.0353095	0.1116168	0.7151245	0.0469946	0.0651161	0.0546359	0.0040860	0.5191800	0.4247020	0.0703719
250	0.0302150	0.3088483	0.9106429	0.0443518	0.0293436	0.0762975	0.0096994	0.4236317	0.3624797	0.0801387
300	0.0503388	0.4530458	0.7257557	0.0405339	0.0347805	0.0672565	0.0174531	0.5034119	0.3675781	0.0726328
350	0.0205137	0.5211278	0.6461023	0.0746489	0.0423366	0.0541492	0.0063509	0.4220607	0.3364818	0.0464294
400	0.0478193	0.6036416	0.5867733	0.0324564	0.0308411	0.1058697	0.0052273	0.4716615	0.3708811	0.0745474
450	0.0196473	0.6071263	0.7428476	0.0639591	0.0515733	0.0970519	0.0041849	0.5326431	0.2927444	0.0855537
500	0.0355815	0.6393490	0.6175855	0.0192398	0.0577175	0.0719718	0.0034770	0.4780947	0.3278836	0.0564532
550	0.3044231	0.4956417	0.6253759	0.0514927	0.0839784	0.0893601	0.0456000	0.4680669	0.3985669	0.0538286
600	0.5405173	0.2526292	0.5963215	0.0589802	0.0913437	0.1513451	0.1015810	0.6191884	0.2811326	0.0836747
650	0.6419621	0.0650759	0.6273094	0.0639424	0.1205850	0.1935997	0.1935956	0.5203428	0.3655980	0.1111347
700	0.7749120	0.0186045	0.6875833	0.0344206	0.1459877	0.2133489	0.1187554	0.6083971	0.4212825	0.0868949
750	0.7158216	0.0139073	0.8934704	0.0630202	0.1608350	0.1491455	0.1395939	0.5769206	0.3159845	0.0878829
800	0.7321146	0.0058809	0.6118436	0.0645265	0.1442393	0.1576252	0.1183724	0.5625715	0.3322498	0.0751979
850	0.7540944	0.0031705	0.6473984	0.0611002	0.1647231	0.1849214	0.1560703	0.5662804	0.4136483	0.1204489
900	0.6617662	0.0153956	0.7389063	0.0436736	0.2036067	0.1495762	0.1596444	0.5225679	0.3698530	0.1214510
950	0.7125484	0.0029189	0.6713787	0.0537153	0.1177629	0.1220381	0.1110779	0.6573366	0.3869090	0.0674511
1000	0.8268590	0.0051672	0.7505357	0.0700730	0.1736661	0.1602526	0.1189118	0.6616904	0.3663618	0.0894679

0	0.7752194	0.0102937	0.7090112	0.0399399	0.1644250	0.1328283	0.1188192	0.5532908	0.2893288	0.0804558
50	0.5743792	0.0092847	0.7321234	0.0691281	0.1782985	0.1329467	0.1511233	0.6919962	0.4003309	0.1006065
100	0.6794721	0.0022585	0.5646447	0.0603711	0.1776833	0.1207789	0.3287821	0.6250633	0.2895943	0.0787242
150	0.6608216	0.0039671	0.8018661	0.0162877	0.1598610	0.1258179	0.3645831	0.7177442	0.3672078	0.1281002
200	0.5737058	0.0091631	0.6157492	0.0499357	0.2204806	0.1477474	0.3927545	0.5077170	0.3625530	0.0803461
250	0.5993164	0.0068227	0.6618565	0.0513903	0.1960757	0.1998250	0.3760727	0.6490903	0.3683183	0.0854557
300	0.6504277	0.0011660	0.6780314	0.0286586	0.1678531	0.1293158	0.4356079	0.7554726	0.3179304	0.1337155
350	0.6661004	0.0001550	0.6229094	0.0479261	0.0952221	0.1728199	0.3865420	0.6057756	0.3834487	0.0789975
400	0.5612977	0.0080281	0.7059196	0.0249115	0.1117833	0.1787937	0.4052630	0.7112350	0.3376464	0.0703974
450	0.6640110	0.0114796	0.6824452	0.0446190	0.1059880	0.0864079	0.3119254	0.5641255	0.3083309	0.0446172
500	0.8179272	0.0027250	0.6580597	0.0590606	0.1134244	0.1468698	0.3979801	0.6850768	0.3107680	0.1269752
550	0.8094860	0.0008159	0.7502699	0.0627776	0.1186977	0.1096915	0.2691635	0.5679593	0.3372179	0.0690063
600	0.8076999	0.0075508	0.5851916	0.0722688	0.2415696	0.0926685	0.1904408	0.8050565	0.3519688	0.0717020
650	0.7728399	0.0026717	0.6489230	0.0269975	0.1730074	0.1327667	0.1673687	0.6325765	0.2873714	0.0736686
700	0.7270566	0.0111154	0.8238835	0.0506714	0.1708328	0.1884304	0.1225524	0.6771399	0.3143983	0.0835231
