"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	1.0000000	0.0110198	0.2704415	0.6803763	0.9868102	0.9584157	0.4276085	0.9774059	0.2914761	0.6312455
450	1.0000000	0.0110338	0.2704405	0.6822870	0.9886155	0.9588330	0.4308743	0.9768499	0.2895850	0.6340434
500	1.0000000	0.0110386	0.2704403	0.6831052	0.9894271	0.9590038	0.4323715	0.9765869	0.2887663	0.6352503
550	1.0000000	0.0067027	0.8609010	0.4153888	0.8985847	0.7733314	0.4576965	0.9266825	0.2649831	0.5409922
600	1.0000000	0.0046279	0.9734792	0.2191119	0.7317123	0.5084486	0.3494577	0.9119287	0.3201613	0.3900303
650	1.0000000	0.0039232	0.9949435	0.1328125	0.5123128	0.3507697	0.2671552	0.9502976	0.3917902	0.2918917
700	1.0000000	0.0036853	0.9990359	0.0955836	0.3599267	0.2711061	0.2273539	0.9775397	0.4379627	0.2236656
750	1.0000000	0.0036051	0.9998162	0.0796060	0.2842729	0.2349536	0.2112572	0.9902505	0.4604473	0.1785778
800	1.0000000	0.0035782	0.9999650	0.0727631	0.2502242	0.2194534	0.2051659	0.9955398	0.4702165	0.1526430
850	1.0000000	0.0035691	0.9999933	0.0698350	0.2353505	0.2129537	0.2029011	0.9976635	0.4743177	0.1393523
900	1.0000000	0.0035661	0.9999987	0.0685827	0.2289216	0.2102402	0.2020549	0.9985084	0.4760352	0.1330347
950	1.0000000	0.0035650	0.9999998	0.0680471	0.2261545	0.2091041	0.2017339	0.9988447	0.4767588	0.1301646
1000	1.0000000	0.0035647	1.0000000	0.0678181	0.2249656	0.2086262	0.2016098	0.9989794	0.4770656	0.1288949

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	0.8693501	0.0035669	1.0000000	0.0328225	0.1194301	0.2057828	0.2011786	0.8369382	0.0795683	0.2520827
100	0.8308596	0.0035743	1.0000000	0.0179310	0.0756821	0.2002569	0.2005203	0.7801937	0.0135293	0.2582752
150	0.8195199	0.0035817	1.0000000	0.0115637	0.0574806	0.1962601	0.2001324	0.7603144	0.0025655	0.2449452
200	0.8161792	0.0035866	1.0000000	0.0088411	0.0499290	0.1941990	0.1999667	0.7533405	0.0007457	0.2346380
250	0.8151950	0.0035892	1.0000000	0.0076770	0.0467984	0.1932687	0.1999032	0.7508923	0.0004439	0.2290646
300	0.8149050	0.0035904	1.0000000	0.0071793	0.0455009	0.1928706	0.1998797	0.7500328	0.0003939	0.2264097
350	0.8148196	0.0035909	1.0000000	0.0069665	0.0449632	0.1927032	0.1998710	0.7497309	0.0003856	0.2252138
400	0.8147944	0.0035911	1.0000000	0.0068755	0.0447404	0.1926330	0.1998678	0.7496250	0.0003843	0.2246892
450	0.8147870	0.0035911	1.0000000	0.0068365	0.0446480	0.1926035	0.1998666	0.7495878	0.0003840	0.2244620
500	0.8147848	0.0035912	1.0000000	0.0068199	0.0446098	0.1925910	0.1998661	0.7495747	0.0003840	0.2243642
550	0.9454341	0.0035862	1.0000000	0.0416385	0.1485087	0.1938773	0.1999214	0.9119802	0.4100686	0.0909103
600	0.9839244	0.0035766	1.0000000	0.0565263	0.1917552	0.1981402	0.2002435	0.9689206	0.4733338	0.0901304
650	0.9952640	0.0035702	1.0000000	0.0628920	0.2100547	0.2024333	0.2007002	0.9887392	0.4801590	0.1064484
700	0.9986047	0.0035669	1.0000000	0.0656139	0.2179450	0.2052807	0.2010675	0.9955692	0.4793587	0.1175171
