"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	1.0489757	0.0091550	0.2950932	0.7236237	0.9004594	0.8902283	0.4655999	0.9643290	0.3229536	0.6176619
450	1.0927500	0.0106496	0.2608274	0.6815070	0.9730778	0.9696525	0.4371004	0.9126271	0.3151470	0.5955930
500	1.0478376	0.0177972	0.3249852	0.7551498	0.9503441	0.9486094	0.4647993	0.9535838	0.3127785	0.5440095
550	0.9519579	0.0082923	0.9746485	0.5998721	0.9832858	0.8060041	0.4296888	1.0437123	0.2808144	0.5606701
600	0.9941233	0.0053402	0.9723580	0.3615471	0.8645328	0.6154436	0.3781783	0.9246456	0.3065228	0.5087111
650	1.0955962	0.0032578	0.9779191	0.1803550	0.6596953	0.4984714	0.3517953	0.8715453	0.3538364	0.4096621
700	0.9890374	0.0022383	0.9497297	0.0719329	0.4173696	0.3250922	0.2310056	0.8495487	0.4226901	0.2476787
750	1.0505571	0.0003292	0.9311457	0.1012454	0.3577792	0.3224303	0.2140990	0.9821737	0.4517078	0.1784489
800	1.0317113	0.0046246	1.0447407	0.1060619	0.2902636	0.2295963	0.1788537	0.9889297	0.4461266	0.1807441
850	1.0780457	0.0102851	1.1075678	0.0720863	0.2760866	0.2056593	0.1835058	0.9273456	0.4086124	0.1434702
900	1.1514271	0.0002926	0.9953960	0.0527340	0.1911886	0.2118901	0.1891571	1.0119728	0.4092986	0.1447870
950	1.0388956	0.0059559	0.9836086	0.0668972	0.1740311	0.1640660	0.1814603	1.0189120	0.4302158	0.1577951
1000	1.0055268	0.0069714	0.9267327	0.0917369	0.1823791	0.2090029	0.1784902	0.9827418	0.4464275	0.1168358

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9394108	0.0057777	0.9676855	0.0445784	0.1851728	0.2837717	0.1636262	0.8635577	0.3392501	0.1997411
100	0.8593448	0.0085000	0.9807718	0.0362459	0.1305307	0.2551425	0.1937123	0.7819536	0.1413891	0.2642177
150	0.8603617	0.0086227	1.0299061	0.0075519	0.0910178	0.2519392	0.1986263	0.7871554	0.0822335	0.2252361
200	0.7906363	0.0013856	0.9340956	0.0042798	0.0577886	0.1976665	0.2481284	0.6698510	0.0373592	0.2349069
250	0.8182037	0.0050093	1.1559615	0.0096465	0.0346614	0.1615060	0.1761924	0.7479463	0.0177942	0.2366038
300	0.7512398	0.0012163	1.0076314	0.0002181	0.0320247	0.2097479	0.2179861	0.7424003	0.0040699	0.2170877
350	0.8179147	0.0043978	1.0481081	0.0057940	0.0389084	0.1918424	0.1619828	0.7263430	0.0021221	0.2527197
400	0.8137638	0.0004508	0.9747536	0.0105618	0.0384440	0.1867552	0.1554646	0.7397013	0.0044591	0.2388724
450	0.8431439	0.0025625	0.9524890	0.0229382	0.0318815	0.2052949	0.1815898	0.7142701	0.0126876	0.2773216
500	0.8661262	0.0012903	1.0513479	0.0076269	0.0299359	0.2048197	0.1983643	0.6990499	0.0062430	0.2567930
550	0.9107172	0.0003522	1.0088690	0.0275727	0.0680005	0.1722341	0.2036847	0.9212898	0.1573585	0.1254220
600	1.0359876	0.0043547	0.8923609	0.0449099	0.1813877	0.2109837	0.2227849	0.9885985	0.3271099	0.0944913
650	0.9857982	0.0045380	1.0888782	0.0513828	0.1847696	0.2209425	0.2097091	0.9232457	0.4525724	0.1084910
700	1.0924613	0.0071886	0.9240674	0.0528030	0.2001757	0.1862225	0.2144636	0.9518902	0.5517234	0.1308399
750	0.9940932	0.0077794	1.0214178	0.0697897	0.2048390	0.1975809	0.2242784	0.9194605	0.5098784	0.1083325
800	1.0344731	0.0002038	0.9771377	0.0506183	0.2254601	0.1798769	0.2174027	1.0664247	0.5049170	0.1083218
850	1.1065503	0.0000000	1.0064619	0.0760720	0.2206467	0.1796001	0.2590511	0.9342066	0.5145733	0.0932737
900	1.0022221	0.0016535	1.0840944	0.0603233	0.2276863	0.1687320	0.2216019	0.9450583	0.4561021	0.0964689
950	1.0062280	0.0022656	0.9308419	0.1083351	0.2369986	0.1825712	0.2030182	0.9615617	0.4360744	0.1300035
1000	0.9952582	0.0038184	0.9303399	0.0835790	0.2814576	0.2623157	0.2078206	1.0187461	0.4176635	0.1363578

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.6169853	0.0014620	1.0401900	0.1020590	0.1502296	0.1982588	0.1694588	0.8531706	0.5008755	0.1086162
100	0.2757277	0.0085966	0.9557354	0.0679823	0.1499164	0.1232843	0.0900021	0.6827507	0.4911700	0.1484871
150	0.1030664	0.0263965	1.0947778	0.0632044	0.0938882	0.1169124	0.0411634	0.6858766	0.4724091	0.1423893
200	0.0674188	0.1684532	0.9562909	0.0631811	0.0939850	0.0805941	0.0236413	0.6570110	0.4869915	0.1136751
250	0.0360942	0.4133348	1.0242405	0.0497581	0.0587005	0.0940994	0.0101575	0.5325017	0.4824940	0.1352172
300	0.0314388	0.7005865	0.9674608	0.0686306	0.0688511	0.0899606	0.0113486	0.6152939	0.5038233	0.1324877
350	0.0365181	0.8258528	0.9635369	0.0712340	0.0394424	0.1411330	0.0044755	0.6308853	0.5053850	0.1031549
400	0.0494020	0.8142442	0.9260700	0.0567803	0.0571272	0.1354166	0.0035300	0.7149306	0.5203905	0.1202709
450	0.0225068	0.9243205	1.0749358	0.0588371	0.0621019	0.1447574	0.0031563	0.6456348	0.4891243	0.1097904
500	0.0468939	0.8639777	0.9873915	0.0467597	0.0534710	0.1296445	0.0044521	0.6317775	0.5150883	0.1140827
550	0.4490444	0.6908761	0.9980347	0.0695969	0.1109607	0.1436481	0.0870960	0.7137629	0.5035226	0.1004469
600	0.8256628	0.3318076	0.9496478	0.0675527	0.1486308	0.1813418	0.1804479	0.7709058	0.5356950	0.0982244
650	0.8886452	0.1055887	0.9549519	0.0884790	0.2076708	0.2512170	0.2202560	0.8070608	0.5695489	0.1388732
700	1.0254398	0.0382949	0.9816510	0.0722275	0.2366085	0.2296764	0.1700445	0.9442226	0.5189741	0.1246607
750	1.0182434	0.0205892	1.0731731	0.0550152	0.2341926	0.2451843	0.1530489	0.9575170	0.4415249	0.1965182
800	1.0087118	0.0095914	0.9697527	0.0611223	0.2189861	0.2449645	0.1969575	0.9636970	0.4568555	0.1310237
850	1.0427931	0.0064472	0.9312476	0.0951688	0.2539397	0.2406740	0.2023774	0.9645333	0.5085818	0.1332832
900	1.0423194	0.0128762	0.9634878	0.0786070	0.2541460	0.2312317	0.2267600	0.8212497	0.5240033	0.1474205
950	1.0383398	0.0040821	0.9638842	0.0640030	0.2023819	0.2044441	0.1856382	0.9166139	0.5397180	0.1067923
1000	0.9972355	0.0097539	1.1173529	0.0742146	0.2403850	0.2429375	0.1699681	0.9882802	0.5019824	0.1286937

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	1.0921083	0.0071160	1.0306705	0.0728222	0.2494091	0.1838129	0.2953644	1.0381511	0.5451521	0.1193615
100	0.9451941	0.0027685	0.9670648	0.0653836	0.2651037	0.1647858	0.4371778	1.0174047	0.5331658	0.1196608
150	0.9239951	0.0071272	1.1051087	0.0509288	0.2702479	0.1655089	0.5127194	0.9681922	0.4794131	0.1316472
200	0.9902859	0.0076839	0.9016227	0.0844635	0.2810183	0.2091049	0.5431991	0.9171976	0.5122111	0.1184627
250	0.8528683	0.0052811	0.9969988	0.0943531	0.2330691	0.1966674	0.5206504	0.9090886	0.4786247	0.1287839
300	0.8783184	0.0008584	1.0287931	0.0583926	0.2258765	0.2117418	0.6010795	0.9720319	0.4994590	0.1395253
350	1.0081167	0.0009310	1.1052188	0.0438188	0.1878697	0.2054964	0.6130326	0.9344475	0.5973077	0.1315003
400	0.9174760	0.0025528	1.1091377	0.0600896	0.1752275	0.1880462	0.5128809	0.9727828	0.5446491	0.0980058
450	1.0341472	0.0064021	0.9752927	0.0801400	0.2245353	0.1589749	0.4887872	0.9827470	0.5057216	0.0899085
500	1.0131787	0.0041000	0.9857450	0.0668154	0.2214894	0.1739383	0.4975662	0.9738999	0.4421261	0.1165392
550	1.0658622	0.0008742	1.0032766	0.0543451	0.2534134	0.1576233	0.3921990	0.9297255	0.4764366	0.1189612
600	1.0314385	0.0060327	0.9776785	0.0979415	0.2855618	0.1893499	0.2929104	1.0131608	0.4357833	0.0932185
650	1.0626107	0.0044833	1.0295190	0.0617415	0.2569558	0.2008485	0.2184908	1.0178047	0.4017163	0.0982793
700	1.0205646	0.0173674	1.0788560	0.0486486	0.2755561	0.2128452	0.2019483	1.0023953	0.4637521	0.1233556
750	0.9367741	0.0032275	1.0406408	0.0661652	0.2681813	0.1772657	0.1901359	1.0753716	0.4962022	0.1469372
800	0.9742655	0.0077291	1.0294984	0.0669922	0.2310892	0.1841926	0.1955003	1.1068997	0.4563647	0.1674041
850	0.9123043	0.0036377	1.0310746	0.0381069	0.2137351	0.2284195	0.1884815	1.0509004	0.5405625	0.1438772
900	1.0841443	0.0137900	0.9667115	0.0990201	0.1923118	0.2007557	0.1849537	1.0938745	0.5207091	0.1451273
950	1.0864210	0.0112286	0.8949193	0.0750171	0.1950953	0.2259554	0.2164160	0.9751131	0.4733370	0.1721205
1000	1.0614137	0.0056102	0.8929055	0.0482375	0.2058331	0.2565923	0.2156552	0.9732404	0.4838345	0.1400125

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9229796	0.0050001	1.0587200	0.0411829	0.2279278	0.1864429	0.1190877	1.0911803	0.3932009	0.2578202
100	0.9266393	0.0049711	0.9089412	0.0324556	0.2151654	0.1453479	0.0973250	1.0349827	0.4562244	0.4903958
150	0.9674883	0.0043831	0.9172090	0.0167641	0.2127822	0.1248836	0.0503521	1.0787127	0.4792602	0.5070809
200	0.9698707	0.0034101	0.9708153	0.0077094	0.1874600	0.1025970	0.0550829	0.9189951	0.4779782	0.5024431
250	0.9474075	0.0050337	1.0398862	0.0140476	0.1862136	0.1086430	0.0475250	0.8910195	0.5119796	0.4852632
300	0.9061190	0.0113060	1.0379047	0.0230473	0.2217361	0.1137128	0.0583098	0.9661307	0.5599590	0.5514634
350	0.9248393	0.0126959	0.9269389	0.0122079	0.2557884	0.0909829	0.0572348	0.9593465	0.4539977	0.5450363
400	0.9817615	0.0133989	0.9081665	0.0201451	0.2352694	0.0756629	0.0616114	0.9489071	0.5227870	0.5037043
450	1.0289920	0.0119591	0.9782327	0.0111731	0.2398594	0.1111454	0.0532065	1.0203076	0.5555436	0.4976234
500	1.0092416	0.0090231	1.0336169	0.0128598	0.2356552	0.0734148	0.0535691	0.9346576	0.5430125	0.5130687
550	0.9167535	0.0078935	1.0292810	0.0372444	0.1919349	0.1103890	0.1007129	1.0613468	0.5146796	0.3845139
600	0.9534531	0.0037496	1.0350091	0.0630111	0.2497132	0.1490287	0.1490445	0.8749238	0.4514049	0.2135618
650	1.0717237	0.0016437	1.0514652	0.0766497	0.2631657	0.1783530	0.2137968	0.9337017	0.4613697	0.1514986
700	1.1042394	0.0125388	0.8655575	0.0777795	0.1666389	0.1485945	0.2183823	0.9470945	0.5221609	0.1308376
750	0.9493702	0.0062142	0.9073626	0.0771140	0.2047803	0.2175612	0.2146808	0.9094305	0.4692879	0.0989818
800	0.9477732	0.0080803	1.0108222	0.0653910	0.2230135	0.1780241	0.2309860	0.9633724	0.5164224	0.1245965
850	0.9401477	0.0030966	1.0080967	0.0501252	0.1841030	0.2094684	0.2090958	0.9233092	0.5312669	0.1161133
900	0.9308133	0.0044460	0.9454927	0.0810120	0.2295797	0.1755314	0.2083753	0.9411917	0.4976834	0.1143738
950	0.9909530	0.0036664	0.8984524	0.0671230	0.2989520	0.1810618	0.2119885	1.0209788	0.5203019	0.1070728
1000	0.9321189	0.0101938	1.1089006	0.0684745	0.3324298	0.1883785	0.1669555	1.0282447	0.4583046	0.1621653

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.7419022	0.0106002	0.3734368	0.0825063	0.2795657	0.3017342	0.2182511	0.9172034	0.3967376	0.1207640
100	0.5942266	0.0216454	0.1294852	0.2772607	0.3409996	0.5345118	0.3514806	0.9393290	0.5564418	0.1780420
150	0.5443672	0.2495003	0.0798918	0.3727789	0.5060507	0.8420102	0.4142270	1.0613529	0.6292006	0.2912692
200	0.5231292	0.4277703	0.0754980	0.4463466	0.6466703	0.9593916	0.5181483	0.9821580	0.6747565	0.4325987
250	0.4886010	0.5190894	0.0652567	0.5109983	0.7800124	0.9983413	0.6076309	1.0006880	0.6694820	0.5706813
300	0.5179648	0.6113358	0.0762571	0.5985289	0.9026656	0.9231646	0.5997599	1.0086070	0.6795270	0.5817508
350	0.4807634	0.5612243	0.0901289	0.6342233	0.9073714	0.8958939	0.6344747	1.0290292	0.6792191	0.6780805
400	0.4480429	0.5395449	0.0912609	0.5425984	0.9851021	0.8690076	0.6536286	1.0583341	0.6938247	0.7040001
450	0.4695943	0.5614076	0.0466376	0.6142738	0.9015718	0.9465657	0.6718620	1.0484460	0.7430244	0.6849838
500	0.4618675	0.6380562	0.0582797	0.6182796	0.9584076	0.9812694	0.7341818	1.0405366	0.6663415	0.6511785
550	0.7807114	0.5733131	0.7167476	0.6511954	0.9311909	0.9171567	0.6149937	1.0006012	0.6037559	0.5579835
600	0.9697582	0.2339288	0.9738056	0.4145479	0.7877361	0.7083089	0.4748661	0.9482242	0.4311016	0.5098908
650	0.9937992	0.1124593	1.0590582	0.2237411	0.8015531	0.5295007	0.4321647	1.0965277	0.3669979	0.3611226
700	1.0109122	0.0572885	0.9532913	0.1524303	0.6009471	0.3517678	0.2978568	0.9568449	0.3830655	0.2754078
750	0.9042110	0.0279353	0.9910820	0.0992256	0.4283990	0.3312447	0.2683730	0.9846226	0.4166470	0.2290254
800	1.0661647	0.0099981	1.0504872	0.0598325	0.3138458	0.2454342	0.2204331	1.0959100	0.4449927	0.1843723
850	1.0925678	0.0009778	1.0985171	0.0795619	0.1865532	0.2756567	0.2189187	1.0307454	0.4038690	0.1360283
