"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
400	1.0000000	0.9999756	0.2285666	0.9474805	0.5234216	0.4213361	0.9953217	0.2440009	0.6435885	0.0561719
450	1.0000000	0.9999756	0.2285666	0.9474805	0.5234218	0.4213361	0.9953217	0.2440007	0.6435885	0.0561719
500	1.0000000	0.9999756	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2440007	0.6435886	0.0561719
550	1.0000000	0.9994537	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2440189	0.6435886	0.0561719
600	1.0000000	0.9993778	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2440578	0.6435886	0.0561719
650	1.0000000	0.9993668	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2440856	0.6435886	0.0561719
700	1.0000000	0.9993652	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2440996	0.6435886	0.0561719
750	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441057	0.6435886	0.0561719
800	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441081	0.6435886	0.0561719
850	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441091	0.6435886	0.0561719
900	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441094	0.6435886	0.0561719
950	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441095	0.6435886	0.0561719
1000	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6435886	0.0561719

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	0.8352224	0.9992776	0.1843445	0.9501373	0.5287626	0.4234209	0.9953738	0.2511262	0.6463917	0.0147397
100	0.7950767	0.9990087	0.1939403	0.9560969	0.5437509	0.4300237	0.9954767	0.2708951	0.6563637	0.0042620
150	0.7852958	0.9987085	0.2193544	0.9583086	0.5524911	0.4372521	0.9955255	0.2901605	0.6684337	0.0017438
200	0.7829128	0.9984804	0.2418982	0.9553061	0.5480779	0.4424140	0.9954905	0.3033483	0.6778320	0.0012238
250	0.7823323	0.9983406	0.2570549	0.9491912	0.5344811	0.4450463	0.9953745	0.3109829	0.6830245	0.0011653
300	0.7821908	0.9982649	0.2659644	0.9424756	0.5181015	0.4457862	0.9952092	0.3150182	0.6846493	0.0011898
350	0.7821563	0.9982267	0.2708112	0.9367336	0.5032152	0.4454728	0.9950391	0.3170422	0.6840748	0.0012155
400	0.7821480	0.9982082	0.2733229	0.9325017	0.4915429	0.4447560	0.9948960	0.3180264	0.6825424	0.0012314
450	0.7821459	0.9981994	0.2745834	0.9296794	0.4832052	0.4440157	0.9947916	0.3184962	0.6808610	0.0012399
500	0.7821454	0.9981953	0.2752023	0.9279272	0.4776263	0.4434150	0.9947227	0.3187180	0.6794253	0.0012441
550	0.9469229	0.9984389	0.3506607	0.9212469	0.4663141	0.4398926	0.9944093	0.3097923	0.6740915	0.0437081
600	0.9870685	0.9988769	0.3292164	0.9079889	0.4454057	0.4310217	0.9936693	0.2873256	0.6596427	0.0537171
650	0.9968494	0.9991386	0.2915660	0.9036660	0.4339491	0.4225125	0.9934654	0.2682401	0.6434583	0.0558608
700	0.9992324	0.9992622	0.2636115	0.9096349	0.4372657	0.4173381	0.9938531	0.2565099	0.6319886	0.0562335
750	0.9998130	0.9993181	0.2468863	0.9197076	0.4509467	0.4156132	0.9943486	0.2502071	0.6272235	0.0562520
800	0.9999544	0.9993434	0.2377953	0.9291524	0.4684379	0.4160384	0.9947274	0.2470354	0.6276069	0.0562220
850	0.9999889	0.9993550	0.2331061	0.9362216	0.4848903	0.4172871	0.9949730	0.2454939	0.6305610	0.0561984
