"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
400	0.7659013	0.6497200	0.1887004	0.6309912	0.4385596	0.3859787	0.7592849	0.2081205	0.4908991	0.0582565
450	0.8505686	0.8852171	0.1736276	0.7506305	0.3440772	0.2760764	0.9066238	0.2498118	0.4123783	0.0434281
500	0.8379941	0.8441548	0.1780543	0.8688893	0.4531609	0.4024660	0.6971060	0.1622874	0.3772547	0.0569721
550	0.7546243	0.6431244	0.2183981	0.6884875	0.4595873	0.4199967	0.7752277	0.2873724	0.4691044	0.0609575
600	0.6849239	0.6323763	0.2128409	0.6635044	0.4582213	0.2859504	0.6772845	0.1974218	0.4342937	0.0770627
650	0.7599915	0.7507150	0.2022653	0.5989081	0.4317357	0.4281796	0.7837924	0.2196009	0.3581999	0.0594699
700	0.7527712	0.8203578	0.1224261	0.6928684	0.4100734	0.2834935	0.7128716	0.2011609	0.4851972	0.0542918
750	0.8279163	0.6902269	0.1695843	0.6592317	0.2930328	0.3317912	0.7492948	0.1905700	0.4388067	0.0392870
800	0.7574967	0.6897766	0.1589751	0.6827902	0.3343803	0.3262379	0.5963409	0.2440411	0.5209982	0.0217136
850	0.6877482	0.6856849	0.1838783	0.7669875	0.3246761	0.3165617	0.6908671	0.1772604	0.5084691	0.0800629
900	0.7328031	0.8158532	0.0937202	0.6677004	0.3327271	0.2940710	0.7689884	0.2338544	0.4722972	0.0585567
950	0.7015028	0.7672570	0.1664331	0.7599744	0.3332672	0.2340225	0.7322228	0.1829718	0.3768113	0.1021802
1000	0.6304215	0.5753441	0.1982596	0.6966387	0.2330702	0.2595655	0.8478957	0.1630417	0.3963616	0.0657108

0	0.6722234	0.7862693	0.2049464	0.7229774	0.3360559	0.2433364	0.7385344	0.1878481	0.6065548	0.0278813
50	0.6502261	0.7288820	0.1417559	0.6847667	0.4317181	0.2976904	0.7156127	0.1997495	0.6273212	0.0474858
100	0.5342701	0.7331459	0.1502854	0.7296384	0.4535832	0.2871103	0.7134632	0.1795713	0.5378738	0.0067485
150	0.6435111	0.7140549	0.1472404	0.6903978	0.3951854	0.3159387	0.7721388	0.1472039	0.4499705	0.0048253
200	0.6053861	0.7561168	0.1684140	0.7006744	0.4212941	0.3055492	0.6767499	0.1982332	0.5177889	0.0048419
250	0.4784064	0.7286734	0.1444329	0.7523488	0.3752181	0.3953298	0.7602080	0.1854059	0.4140508	0.0029867
300	0.5400576	0.7957506	0.2556769	0.6623537	0.3254052	0.2835972	0.6626760	0.3000517	0.5124795	0.0061180
350	0.5286854	0.6200484	0.1962456	0.5984571	0.3606498	0.2956244	0.5890823	0.2857474	0.5005567	0.0013636
400	0.5841619	0.7562426	0.2321926	0.6977543	0.3574542	0.3388885	0.6780298	0.2388169	0.5182814	0.0006310
450	0.5685947	0.7339183	0.2758123	0.7964551	0.4115855	0.3648917	0.7045571	0.2613207	0.4880961	0.0025455
500	0.5306269	0.7737885	0.1736492	0.6794472	0.2898383	0.2489342	0.6100460	0.2659111	0.5213042	0.0030039
550	0.7855468	0.7676327	0.2207911	0.6341369	0.3521863	0.3303176	0.8669431	0.2942441	0.3997728	0.0123036
600	0.7637555	0.8550097	0.2170461	0.6013384	0.3364771	0.2085973	0.7664550	0.2301644	0.4937901	0.0174684
650	0.6977052	0.6783811	0.2341895	0.6548675	0.2714437	0.2991925	0.7049121	0.2117567	0.4363605	0.0498204
700	0.7761517	0.6932131	0.1697843	0.6284746	0.3098234	0.2902199	0.7622815	0.1668249	0.4697417	0.0436811
750	0.8914503	0.8011635	0.1459715	0.7461995	0.3246842	0.3433013	0.6844400	0.1286444	0.4421750	0.0573322
800	0.6767383	0.7200708	0.1501132	0.6572528	0.3329679	0.3493024	0.6832613	0.1798437	0.3795745	0.0605324
850	0.7147962	0.8293802	0.1432807	0.6378570	0.3958073	0.3452308	0.7586970	0.2186772	0.5246705	0.0374285
900	0.7614785	0.8140790	0.1842057	0.8017509	0.4565509	0.3099652	0.6596236	0.1912107	0.4137517	0.0559671
950	0.6323679	0.8914921	0.1338274	0.6277965	0.3692199	0.3135579	0.7977987	0.1848067	0.5172526	0.0347536
1000	0.6645149	0.6878185	0.2538254	0.6503295	0.4497849	0.3299846	0.7780077	0.2020426	0.5311968	0.0242116

0	0.7634683	0.8472356	0.1281085	0.7581020	0.3472634	0.3261859	0.8377955	0.1693837	0.6343179	0.0500199
50	0.6633149	0.8492775	0.1625220	0.6634348	0.4471193	0.2577838	0.6867549	0.1662307	0.4253303	0.0670398
100	0.8302816	0.8801594	0.0704428	0.6363232	0.3874267	0.2136549	0.6777889	0.2146126	0.4788952	0.0227361
150	0.6983299	0.7295609	0.0623215	0.6361435	0.3628158	0.3394638	0.5413367	0.1214589	0.3601186	0.0567305
200	0.7875191	0.7202270	0.0485343	0.7526181	0.4139229	0.3074405	0.5214768	0.1911187	0.4721468	0.0371783
250	0.7059610	0.6122358	0.1087301	0.7612535	0.4259046	0.3424507	0.5413160	0.2335996	0.3747307	0.0404107
300	0.8074150	0.7236142	0.0862521	0.7447970	0.5508681	0.4136314	0.4789446	0.1488263	0.4816602	0.0549517
350	0.7122491	0.6951117	0.1259988	0.6701738	0.4735498	0.3255537	0.4198833	0.2287280	0.4733897	0.0247368
400	0.7457846	0.7546920	0.1187900	0.7393069	0.5377487	0.2890891	0.4745079	0.1939527	0.4823189	0.0457603
450	0.7516349	0.7389519	0.1017723	0.6667860	0.4383520	0.3372962	0.4773020	0.2341137	0.5908647	0.0530273
500	0.7455964	0.7563433	0.0794965	0.6614698	0.5132974	0.3102545	0.6200099	0.2407945	0.4430650	0.0210598
550	0.8206398	0.6290243	0.0708989	0.7873841	0.5387731	0.3858917	0.6204573	0.1646460	0.4373761	0.0673424
600	0.6993481	0.8561211	0.1962048	0.9003446	0.5376050	0.2778569	0.7068163	0.1570632	0.5225931	0.0450427
