"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
400	1.0479079	0.9645061	0.2219559	0.9430790	0.5675863	0.4285268	1.0495529	0.2694521	0.6097152	0.0471823
450	1.0109471	1.0333169	0.2201904	0.9731688	0.4999787	0.4104479	1.0694671	0.2625279	0.5901954	0.0473623
500	1.1091961	0.9825570	0.2396718	1.0059886	0.5988927	0.3985255	0.9564607	0.2798091	0.5922892	0.0693846
550	1.0579406	0.9469762	0.2519137	0.9089076	0.5613633	0.3650494	1.0244180	0.2777196	0.5603691	0.0711252
600	0.9351694	0.8837434	0.2385278	0.8209807	0.5726739	0.3892123	1.0229687	0.2801398	0.5953092	0.0646183
650	0.9615205	0.9046516	0.2330423	0.8162468	0.5796893	0.4685037	1.0089113	0.3260913	0.5491024	0.0641955
700	1.0098735	0.9156924	0.2252472	0.9653146	0.5057990	0.4187862	1.0296863	0.2902195	0.6074120	0.0802108
750	1.0316931	0.9128939	0.2458341	0.8903563	0.5099848	0.4084441	0.9869774	0.2754165	0.6491057	0.0610378
800	1.0172264	0.9488748	0.2498858	0.9402626	0.4534802	0.4198880	0.9429051	0.2562874	0.6785846	0.0428407
850	0.9267522	0.9242328	0.2265769	0.9753442	0.4848912	0.4616643	0.9741979	0.2553305	0.6639710	0.0709627
900	0.9839363	1.0033698	0.2381021	0.9673234	0.4839637	0.4582780	0.9854461	0.2773901	0.6295507	0.0592564
950	0.9874194	0.9872558	0.2556524	0.8872688	0.3972965	0.3428831	0.9847683	0.2642060	0.5522864	0.0841328
1000	0.9150129	1.0193782	0.2473732	0.8874465	0.4370811	0.3313629	1.0708590	0.2636417	0.6446955	0.0672644

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	0.9175538	0.9206907	0.1848398	1.0066294	0.5720741	0.4297507	0.9442076	0.2799612	0.7410100	0.0352032
100	0.8546404	0.9234637	0.2152799	1.0002306	0.5780178	0.3833470	1.0590599	0.2550910	0.7090658	0.0129680
150	0.8475109	0.9512865	0.2289221	0.8917066	0.6063856	0.3984081	1.0068386	0.2176606	0.6127620	0.0033586
200	0.8212211	1.0163474	0.2048013	0.8908705	0.5554585	0.4591395	1.0270418	0.2821689	0.6649555	0.0030278
250	0.6929876	0.9635075	0.2584004	0.8894701	0.5262606	0.4492770	1.0021569	0.2902968	0.6228833	0.0054414
300	0.7202271	0.9568248	0.2978507	0.8733974	0.4820216	0.4346594	0.9188119	0.3214636	0.6638634	0.0067166
350	0.7309539	0.9080062	0.3121545	0.8629091	0.4701960	0.4276866	0.9330193	0.3088683	0.6671833	0.0019814
400	0.7411178	0.9885453	0.3026749	0.9308986	0.4529635	0.4335995	0.8979546	0.3085649	0.7034196	0.0008797
450	0.7697829	0.9658976	0.3047751	0.9603511	0.4872487	0.4798221	0.9687397	0.3494267	0.6185867	0.0048001
500	0.7366245	1.0329085	0.3574321	0.8858693	0.4584215	0.4400494	1.0630896	0.3656148	0.6929285	0.0031024
550	0.8342642	1.0160226	0.3366028	0.8077619	0.4365923	0.4276962	0.9811689	0.3479735	0.6514822	0.0214880
600	0.8944906	1.0879510	0.3525499	0.8135411	0.4422764	0.3812768	0.9631549	0.3068667	0.6273142	0.0407392
650	0.9162985	1.0120827	0.3215275	0.8022096	0.4051557	0.4308085	1.0191018	0.3177807	0.5900943	0.0422392
700	1.0424718	1.0061784	0.2899261	0.9285258	0.4602353	0.4064407	1.0213324	0.2729129	0.5723783	0.0621337
750	1.1218291	1.0736932	0.2263951	0.8938267	0.4191019	0.4132670	0.9648212	0.2298673	0.6664199	0.0693404
800	1.0455988	1.0392590	0.2219172	0.9212633	0.4867665	0.4216704	0.9292865	0.2746760	0.6262464	0.0564822
850	0.9645072	1.0530675	0.2123461	0.9559782	0.5272800	0.4434611	0.9349961	0.2724536	0.6171080	0.0527702
900	0.9155886	1.0700963	0.2126320	0.9425797	0.5396462	0.4353104	0.9630654	0.2296523	0.5977444	0.0473869
950	0.9269346	1.0597049	0.2261694	0.9016447	0.5036433	0.3346884	1.0134753	0.2665803	0.6717008	0.0469578
1000	1.0005925	0.9323695	0.2535660	0.9027794	0.4787330	0.3907505	0.9680700	0.2452819	0.6356126	0.0445944

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	1.0858223	1.0312391	0.1822091	0.7912381	0.6045026	0.4429483	0.8675447	0.2511905	0.5567087	0.0581382
100	1.0736875	1.0232418	0.1209415	0.9504621	0.5710291	0.3840361	0.7683413	0.2398697	0.5662731	0.0570801
150	1.0229339	0.9840485	0.0878572	1.0450044	0.5336281	0.4561308	0.6964507	0.2029138	0.5473746	0.0550287
200	0.9547750	0.8820575	0.0946543	0.9457150	0.5568673	0.4256130	0.7046045	0.2303781	0.5907654	0.0543247
250	1.0364975	0.9368424	0.1398786	0.9842947	0.5844560	0.4248019	0.7363225	0.2554481	0.5767820	0.0419180
300	0.9346125	0.9088694	0.1480093	1.0357658	0.6321019	0.5397979	0.7295564	0.2389351	0.6357011	0.0499822
350	0.9647021	0.9202103	0.1253016	0.9571612	0.7061118	0.4670221	0.6639173	0.3175795	0.6964601	0.0342345
400	0.9854548	0.8855038	0.1159249	1.0724189	0.6790541	0.4360198	0.7549593	0.2209380	0.6772857	0.0572451
450	1.0575070	0.9292293	0.1104619	0.9504407	0.6796214	0.4817084	0.6691959	0.2490506	0.6943967	0.0545283
500	0.9927777	0.9424372	0.1093583	1.0287975	0.7587644	0.4720080	0.7144009	0.2294890	0.6694445	0.0546584
550	1.0341168	0.9165037	0.1176501	1.0351778	0.7918079	0.4465031	0.8065316	0.2233006	0.7052278	0.0723947
600	0.9980483	1.0225731	0.1960208	1.0510717	0.7494588	0.4490914	0.9998546	0.2266569	0.7051003	0.0513194
650	1.0317105	1.0358479	0.2145091	0.9703258	0.6556447	0.4820799	0.9453651	0.2277063	0.7025663	0.0576750
700	0.9657397	0.9862896	0.2345649	0.9890577	0.5850389	0.4917141	0.9428996	0.2341331	0.6040986	0.0393153
750	0.9577036	0.9809272	0.2578818	0.9444668	0.5785553	0.4979412	0.9312321	0.2570724	0.6943360	0.0510056
800	0.9778345	1.0012160	0.2348185	0.9591211	0.5129357	0.4614152	0.9782870	0.2832023	0.6243038	0.0852712
850	0.9730857	0.9774636	0.2422198	0.9547371	0.4840563	0.5038412	0.9389229	0.2749650	0.6692719	0.0706719
900	0.9540996	1.0160798	0.2526033	0.8917179	0.4514618	0.4751774	1.0009676	0.2680924	0.7123804	0.0470628
950	0.9776474	0.9669194	0.2318388	0.9175311	0.4474685	0.5072340	0.9825005	0.2229537	0.6491480	0.0538685
1000	1.0089767	1.0479544	0.2393015	0.9752646	0.5574312	0.4215635	1.0587478	0.2414087	0.6646872	0.0659541

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	1.0274988	1.0407906	0.1913230	0.8538444	0.5703340	0.4057967	0.8793898	0.2289412	0.6111736	0.0273439
100	1.0419662	1.0096701	0.1886680	0.8111679	0.5587893	0.4324196	0.8688601	0.2374642	0.5447528	0.0096090
150	1.0048181	0.9409410	0.2156367	0.8950583	0.6254369	0.4560892	0.9532519	0.2295170	0.4554672	0.0027883
200	1.0026153	0.9794778	0.2396566	0.9888423	0.5424468	0.5304356	1.0183435	0.2541113	0.4456347	0.0017533
250	1.1759277	1.0654693	0.2796377	0.9993818	0.4917149	0.5721047	0.9608768	0.2719586	0.4778205	0.0031335
300	1.1357064	1.1304860	0.2432639	0.9916574	0.4922526	0.5822416	1.1093354	0.2726973	0.4507360	0.0008631
350	1.1075331	1.0647971	0.2358572	0.8951843	0.5493134	0.5434830	0.8737393	0.2598183	0.4195631	0.0023071
400	1.0682025	0.9842673	0.1827801	0.9473242	0.5441991	0.5239007	0.9016868	0.2126004	0.4553730	0.0003874
450	0.9659426	1.0915953	0.2207549	0.9289847	0.5671681	0.5672359	0.9821841	0.2160152	0.4485060	0.0000000
500	0.9632572	1.1093762	0.2131008	0.9995247	0.5725613	0.5312703	0.9167117	0.1833585	0.5214695	0.0000265
550	0.9533590	1.0495196	0.2214923	1.0819542	0.5803861	0.5543189	1.0479691	0.2335720	0.5945604	0.0259389
600	1.0097510	1.0002027	0.2426324	0.9560342	0.5497166	0.5654571	0.9955602	0.2132266	0.6904688	0.0522896
650	1.0711745	1.1063153	0.2346686	0.9613797	0.5727394	0.5078521	1.0154639	0.2011105	0.6902445	0.0563445
700	1.0396862	1.0590680	0.2513614	0.9148070	0.5434046	0.4977995	0.9624931	0.1934600	0.6916497	0.0575676
750	0.9822643	0.9880978	0.2480847	0.9826438	0.5257754	0.4241376	1.0393093	0.2321440	0.5680824	0.0478619
800	1.0295913	1.0313223	0.2306451	0.9637351	0.4737041	0.4192717	1.0643150	0.3039409	0.5403888	0.0525226
850	1.0308641	1.0395908	0.2292448	0.9564257	0.4974533	0.4225894	1.1108954	0.2602420	0.5820860	0.0486546
900	0.9543138	1.0538911	0.2176333	0.9533425	0.5018874	0.3975452	1.0641372	0.2247592	0.6981207	0.0552155
950	0.9645632	1.0422371	0.2227305	0.8821513	0.5120644	0.4282353	1.1291553	0.2036820	0.7489688	0.0623124
1000	1.0072323	1.0327550	0.2765402	0.9470207	0.4638380	0.4241236	1.0422185	0.2320993	0.6217620	0.0476630

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	0.8936995	0.9830552	0.2605184	1.0336098	0.5789384	0.2719001	0.7618830	0.2126105	0.6437585	0.0608041
100	0.5957555	1.0478803	0.3485850	0.9099277	0.5533809	0.2054314	0.6708141	0.2200063	0.6630308	0.0563228
150	0.4595172	1.0993652	0.5078714	0.8223232	0.5473175	0.1405101	0.5686804	0.2297599	0.7131546	0.0590896
200	0.4645124	1.0749764	0.6420680	0.7544426	0.4758397	0.1061677	0.4925703	0.2484994	0.7954287	0.0947742
250	0.4183192	1.0274125	0.7887018	0.7385953	0.4011455	0.0731459	0.4857140	0.2695328	0.7366297	0.1057181
300	0.3821622	0.9843613	0.7976623	0.6715041	0.3242259	0.0777095	0.4524313	0.2677465	0.8077915	0.1183223
350	0.3784796	0.9341264	0.7950306	0.6697905	0.3133473	0.0653108	0.3757151	0.2662252	0.8478990	0.1735488
400	0.4053894	0.9056057	0.8256765	0.5772291	0.3149443	0.0465190	0.4098802	0.2787879	0.7879461	0.1762979
