"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.1881808	0.6977865	0.5911053	0.6401696	0.2974358
750	0.1819528	0.6547898	0.5602707	0.6711326	0.4283259
800	0.1773492	0.7377624	0.5315255	0.5760408	0.3804230
850	0.1294701	0.7594727	0.5079514	0.5888694	0.4084896
900	0.1443893	0.6081701	0.4936645	0.6684018	0.3549766
950	0.1661172	0.7405166	0.6284668	0.6227131	0.3662184
1000	0.1942773	0.6334984	0.5107822	0.6966262	0.3217090

0	0.2213290	0.5756812	0.5440668	0.6736183	0.4200919
50	0.1641211	0.5803560	0.5136806	0.7468210	0.4147264
100	0.1603384	0.6863987	0.5341206	0.8498925	0.6140126
150	0.0740205	0.7770507	0.4924872	0.8131714	0.5860664
200	0.1338246	0.7469267	0.4877977	0.7438637	0.5796014
250	0.1270727	0.6413153	0.4631868	0.7336460	0.5929535
300	0.1628377	0.6629707	0.5690277	0.6669505	0.4871118
350	0.1337057	0.6285989	0.5408897	0.7893858	0.5678607
400	0.1732131	0.6745316	0.4649748	0.7568817	0.4963832
450	0.1019246	0.6681995	0.4750558	0.6863456	0.4879892
500	0.1127874	0.7082381	0.4860774	0.6683344	0.5766992
550	0.1679525	0.6611299	0.6180349	0.5514050	0.4973938
600	0.1733032	0.7474700	0.5097284	0.7222680	0.3696540
650	0.2071902	0.7423106	0.5416174	0.5483135	0.2872740
700	0.2155341	0.7586906	0.5543793	0.6736645	0.3686265
750	0.1780926	0.6152400	0.4371970	0.7098315	0.3600117
800	0.1884113	0.5254754	0.4872824	0.6364139	0.5059440
850	0.1265725	0.8041281	0.5400595	0.6381319	0.4300045
900	0.1948941	0.6515310	0.4367078	0.7120143	0.3156273
950	0.1911114	0.7564875	0.5190026	0.7166520	0.4254025
1000	0.1566231	0.7444229	0.4778443	0.7571342	0.3788549

0	0.2030879	0.6209069	0.5275417	0.6523849	0.3931068
50	0.1673792	0.7374517	0.5974688	0.5555824	0.3364576
100	0.1689211	0.6382498	0.6270226	0.6291995	0.3440198
150	0.1668466	0.5980005	0.5851565	0.6882904	0.3965801
200	0.1435554	0.6889341	0.5625279	0.6132046	0.3163960
250	0.1730274	0.6457147	0.6458389	0.6059006	0.4178538
300	0.1332147	0.7374999	0.6250182	0.6716860	0.3557187
350	0.1638867	0.6278917	0.5405305	0.6344050	0.4120133
400	0.1255341	0.8159744	0.5078601	0.7316439	0.4411282
450	0.1826170	0.7918047	0.4607909	0.6168710	0.4544235
500	0.1109614	0.7501697	0.4739807	0.6673939	0.4411111
550	0.1927615	0.7022199	0.4992183	0.4541542	0.3784504
600	0.1758343	0.7191737	0.4174190	0.6162660	0.3210678
650	0.1198460	0.6097571	0.5912429	0.6295993	0.3558721
700	0.1224259	0.7076238	0.5734789	0.5954388	0.2652076
750	0.1539023	0.7268750	0.6057126	0.6683975	0.3594683
800	0.1354740	0.6097319	0.5766718	0.6015551	0.3493446
850	0.1788268	0.7223309	0.4941818	0.6039448	0.4195788
900	0.1258604	0.7183064	0.5132304	0.5546728	0.4483717
950	0.1686650	0.6556837	0.6118307	0.5682678	0.3626843
