"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.2730978	0.9688251	0.7041097	0.9161516	0.5539612
750	0.2549919	0.9883205	0.7285541	0.9194227	0.5476700
800	0.2478735	0.9956571	0.7391916	0.9196900	0.5443606
850	0.2451565	0.9983906	0.7435955	0.9194152	0.5428805
900	0.2441341	0.9994045	0.7453604	0.9191791	0.5422700
950	0.2437523	0.9997798	0.7460521	0.9190460	0.5420289
1000	0.2436103	0.9999186	0.7463189	0.9189817	0.5419360

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2083119	1.0000000	0.7463230	0.9503619	0.6604114
100	0.1847735	1.0000000	0.7457843	0.9794076	0.7496181
150	0.1773505	1.0000000	0.7453254	0.9924535	0.7810170
200	0.1753832	1.0000000	0.7450833	0.9973362	0.7900738
250	0.1748974	1.0000000	0.7449804	0.9990208	0.7924485
300	0.1747815	1.0000000	0.7449417	0.9995769	0.7930365
350	0.1747543	1.0000000	0.7449282	0.9997557	0.7931765
400	0.1747480	1.0000000	0.7449238	0.9998122	0.7932089
450	0.1747466	1.0000000	0.7449224	0.9998299	0.7932162
500	0.1747462	1.0000000	0.7449219	0.9998354	0.7932178
550	0.2099656	1.0000000	0.7450082	0.9671042	0.6730741
600	0.2335003	1.0000000	0.7454320	0.9377881	0.5834210
650	0.2409224	1.0000000	0.7459197	0.9253011	0.5527979
700	0.2428895	1.0000000	0.7462342	0.9209346	0.5444430
750	0.2433753	1.0000000	0.7463860	0.9195381	0.5424293
800	0.2434912	1.0000000	0.7464480	0.9191119	0.5419869
850	0.2435184	1.0000000	0.7464708	0.9189851	0.5418979
900	0.2435247	1.0000000	0.7464786	0.9189479	0.5418819
950	0.2435261	1.0000000	0.7464811	0.9189371	0.5418795
1000	0.2435265	1.0000000	0.7464820	0.9189339	0.5418793

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7756632	0.9188919	0.5419141
100	0.2435277	1.0000000	0.8000722	0.9189208	0.5418887
150	0.2435268	1.0000000	0.8099137	0.9189292	0.5418819
200	0.2435266	1.0000000	0.8132247	0.9189316	0.5418801
250	0.2435266	1.0000000	0.8142538	0.9189323	0.5418796
300	0.2435266	1.0000000	0.8145606	0.9189325	0.5418795
350	0.2435266	1.0000000	0.8146498	0.9189326	0.5418794
400	0.2435266	1.0000000	0.8146754	0.9189326	0.5418794
450	0.2435266	1.0000000	0.8146827	0.9189326	0.5418794
500	0.2435266	1.0000000	0.8146847	0.9189326	0.5418794
550	0.2435266	1.0000000	0.7855004	0.9189326	0.5418794
600	0.2435266	1.0000000	0.7610947	0.9189326	0.5418794
650	0.2435266	1.0000000	0.7512540	0.9189326	0.5418794
700	0.2435266	1.0000000	0.7479432	0.9189326	0.5418794
750	0.2435266	1.0000000	0.7469141	0.9189326	0.5418794
800	0.2435266	1.0000000	0.7466073	0.9189326	0.5418794
850	0.2435266	1.0000000	0.7465180	0.9189326	0.5418794
900	0.2435266	1.0000000	0.7464924	0.9189326	0.5418794
950	0.2435266	1.0000000	0.7464852	0.9189326	0.5418794
1000	0.2435266	1.0000000	0.7464831	0.9189326	0.5418794

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2322637	0.6649944	0.7336840	0.9184943	0.5380572
100	0.2895349	0.3514366	0.6486140	0.9114005	0.4905259
150	0.4103389	0.2033464	0.5054595	0.8384233	0.3519061
200	0.5341120	0.1431524	0.3878633	0.6579101	0.2408652
250	0.6213480	0.1199805	0.3366630	0.5177678	0.2206024
300	0.6698362	0.1112604	0.3316219	0.4605865	0.2443897
350	0.6930129	0.1080114	0.3422541	0.4475431	0.2717001
400	0.7030856	0.1068063	0.3529675	0.4486948	0.2899643
450	0.7072083	0.1063602	0.3598930	0.4520523	0.2998078
500	0.7088329	0.1061952	0.3635986	0.4545176	0.3045093
550	0.6584432	0.4411399	0.4039090	0.5334946	0.3426535
600	0.4722643	0.7546752	0.5362328	0.7432986	0.4890141
650	0.3420649	0.9027570	0.6422268	0.8594212	0.5518461
700	0.2820373	0.9629479	0.6994635	0.9023792	0.5558200
750	0.2580187	0.9861187	0.7264179	0.9153234	0.5495690
800	0.2489059	0.9948384	0.7382381	0.9185474	0.5452560
850	0.2455148	0.9980872	0.7431861	0.9191187	0.5432283
900	0.2442607	0.9992923	0.7451906	0.9191099	0.5423950
950	0.2437977	0.9997383	0.7459836	0.9190330	0.5420724
1000	0.2436267	0.9999033	0.7462918	0.9189807	0.5419510

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.8489852	0.9504089	0.6864809
100	0.2435277	1.0000000	0.9347097	0.9794998	0.7963740
150	0.2435268	1.0000000	0.9692747	0.9925672	0.8356779
200	0.2435266	1.0000000	0.9809035	0.9974584	0.8472454
250	0.2435266	1.0000000	0.9845181	0.9991461	0.8503521
300	0.2435266	1.0000000	0.9855956	0.9997033	0.8511432
350	0.2435266	1.0000000	0.9859091	0.9998825	0.8513378
400	0.2435266	1.0000000	0.9859990	0.9999392	0.8513845
450	0.2435266	1.0000000	0.9860245	0.9999569	0.8513955
500	0.2435266	1.0000000	0.9860318	0.9999624	0.8513980
550	0.2435266	1.0000000	0.8835269	0.9684468	0.7068313
600	0.2435266	1.0000000	0.7978060	0.9393854	0.5969130
650	0.2435266	1.0000000	0.7632419	0.9263266	0.5576026
700	0.2435266	1.0000000	0.7516133	0.9214379	0.5460334
750	0.2435266	1.0000000	0.7479988	0.9197510	0.5429263
800	0.2435266	1.0000000	0.7469213	0.9191940	0.5421351
850	0.2435266	1.0000000	0.7466077	0.9190149	0.5419405
900	0.2435266	1.0000000	0.7465179	0.9189583	0.5418938
950	0.2435266	1.0000000	0.7464923	0.9189405	0.5418828
1000	0.2435266	1.0000000	0.7464851	0.9189350	0.5418802

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2442876	0.9750371	0.7456783	0.9503245	0.5417574
100	0.2475752	0.9516724	0.7418574	0.9793222	0.5410814
150	0.2511306	0.9406375	0.7373028	0.9923318	0.5404974
200	0.2534544	0.9361522	0.7340550	0.9971916	0.5402679
250	0.2546522	0.9344255	0.7322509	0.9988636	0.5402554
300	0.2551944	0.9337758	0.7313813	0.9994136	0.5403056
350	0.2554218	0.9335337	0.7309971	0.9995895	0.5403511
400	0.2555127	0.9334439	0.7308367	0.9996449	0.5403788
450	0.2555481	0.9334106	0.7307723	0.9996620	0.5403929
500	0.2555616	0.9333983	0.7307470	0.9996673	0.5403994
550	0.2547406	0.9583567	0.7316176	0.9684693	0.5406008
600	0.2512929	0.9817197	0.7356426	0.9396999	0.5413385
650	0.2477347	0.9927540	0.7402203	0.9266943	0.5418943
