"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.2620840	1.0386880	0.7603418	0.8776429	0.5667402
750	0.2522175	0.9668149	0.7592354	0.8385925	0.5014932
800	0.2169830	1.0001730	0.7921623	1.0023683	0.6004557
850	0.1866656	1.0461686	0.7457935	0.9802664	0.5232730
900	0.2458672	1.0593535	0.8292423	0.9671577	0.5258075
950	0.2087962	1.0923519	0.8336629	0.9057037	0.5422278
1000	0.2133567	0.9566883	0.8103887	0.8665177	0.5375905

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2197810	0.9997047	0.6758117	0.8936300	0.6429229
100	0.1974416	0.9982522	0.6862993	0.8545841	0.6787933
150	0.2059370	1.0689347	0.7464508	1.0049751	0.8012543
200	0.1614682	1.0515563	0.7796353	1.1812418	0.8123737
250	0.1798374	1.0187400	0.7578726	1.0535591	0.8491239
300	0.2188444	1.0300627	0.7765147	1.0888668	0.8004525
350	0.1975112	0.9726714	0.7147181	0.9997264	0.6680275
400	0.2035144	0.9361760	0.6903761	1.0045778	0.7554943
450	0.1907573	0.9831841	0.6780445	0.9530421	0.8364280
500	0.1676089	1.0285673	0.7760339	0.9675504	0.7809015
550	0.1632629	1.0688148	0.7727622	1.0026250	0.6742402
600	0.1764613	0.9350408	0.7384117	0.9640856	0.6117726
650	0.1906251	1.0017819	0.7699346	0.9538533	0.5951989
700	0.2304565	0.9866146	0.7883327	1.0396900	0.5541828
750	0.2250143	0.9444306	0.6452814	1.0006529	0.5803715
800	0.2729046	0.9304672	0.6564855	1.0088940	0.5615223
850	0.2521419	0.8974423	0.7361773	0.9967158	0.6197491
900	0.2736470	0.9648881	0.7497285	1.0381658	0.5502889
950	0.2562532	1.0387848	0.7282182	0.8849226	0.5604759
1000	0.2470636	1.0275681	0.7440670	0.9550191	0.5487846

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2503703	0.9963066	0.8147885	0.9280829	0.5161771
100	0.2406101	1.0926411	0.8162952	0.8454746	0.5418587
150	0.2158244	1.0353693	0.8145032	0.8045750	0.5522849
200	0.2362164	1.0089343	0.8398335	0.8469653	0.5865931
250	0.2021510	1.0391335	0.8156393	0.9602921	0.5828430
300	0.1867799	1.0424568	0.8724153	0.9290177	0.5827421
350	0.2343707	1.0692361	0.8787264	0.9618500	0.5905614
