"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.2427903	1.0449575	0.8076154	0.8207420	0.5332046
750	0.2618880	0.9498700	0.8651613	0.8800183	0.5221305
800	0.2146047	1.0314307	0.7921102	0.8982940	0.5966977
850	0.2267866	1.0102055	0.8042385	0.8728386	0.5601550
900	0.2205576	1.0276312	0.7536434	0.9337298	0.5506992
950	0.2253384	1.1236283	0.7955824	0.9155880	0.5699478
1000	0.2626524	1.0102850	0.7919023	0.9764329	0.5426486

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.1989847	1.0184233	0.7550294	0.9727276	0.7194831
100	0.1969610	1.0105151	0.7616659	1.0286847	0.7846335
150	0.1576528	1.1276735	0.7808035	1.1223131	0.7643836
200	0.1959595	1.1390046	0.7814642	1.0610589	0.8652202
250	0.1971087	1.0104908	0.7240128	1.0255107	0.7872284
300	0.2004640	0.9256698	0.7366545	0.9967489	0.7490007
350	0.1871854	0.9737785	0.7753249	0.9530934	0.7539741
400	0.2284960	0.9890699	0.7123002	0.9849839	0.7670878
450	0.1677314	1.0556387	0.7081326	0.9790213	0.8232278
500	0.1702890	1.0645626	0.7408325	0.9716070	0.8053398
550	0.1982216	0.9268184	0.7801517	0.9337368	0.6349136
600	0.2279128	1.0350459	0.7311873	0.9404752	0.5511464
650	0.2655268	1.0535575	0.7883838	0.8732550	0.5150457
700	0.2426286	1.1014145	0.7505784	0.9611828	0.5346434
750	0.2254666	0.9386043	0.7007593	0.9443731	0.4781208
800	0.2938738	0.9391869	0.7022900	0.9280874	0.5773449
850	0.2404140	1.0006883	0.8151845	0.9682581	0.5815273
900	0.2853463	0.9779509	0.7590503	0.9464336	0.5385844
950	0.2942090	1.0075531	0.7052153	0.9340456	0.5483891
1000	0.2283654	0.9828215	0.7170899	1.0162628	0.5193245

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2230769	1.0742446	0.8245424	0.9243807	0.5234075
100	0.2473586	1.0658441	0.8578311	0.8350124	0.5241288
150	0.2611778	0.9630941	0.8117068	0.9032204	0.5428744
200	0.2254847	1.0361742	0.7692772	0.9136058	0.5488997
250	0.2380821	0.9446987	0.7759142	0.9418142	0.5997424
300	0.2053873	0.9879969	0.8219975	0.9263038	0.5308654
350	0.2222237	0.9466650	0.8240032	0.9293845	0.5555576
400	0.2029743	1.0053391	0.7824054	1.0214693	0.5743179
