"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697370	0.0138232	0.9553109	0.2014598
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697314	0.0138232	0.9553120	0.2014605
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697290	0.0138232	0.9553123	0.2014607
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7745344	0.0138232	0.9319751	0.0576231
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7766002	0.0138232	0.9252807	0.0259690
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7774883	0.0138232	0.9233604	0.0190029
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7778700	0.0138232	0.9228096	0.0174699
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7780341	0.0138232	0.9226516	0.0171325
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781047	0.0138232	0.9226062	0.0170583
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781350	0.0138232	0.9225932	0.0170420
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781480	0.0138232	0.9225895	0.0170384
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781536	0.0138232	0.9225884	0.0170376
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781561	0.0138232	0.9225881	0.0170374

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.6250328	0.7946496	0.0138240	0.9225880	0.0170373
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.8434865	0.8017395	0.0138235	0.9225880	0.0170373
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.9208958	0.8047873	0.0138233	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.9483259	0.8060975	0.0138232	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9580458	0.8066607	0.0138232	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9614901	0.8069028	0.0138232	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9627106	0.8070069	0.0138232	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9631430	0.8070517	0.0138232	0.9225880	0.0170373
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9632963	0.8070709	0.0138232	0.9225880	0.0170373
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9633506	0.8070792	0.0138232	0.9225880	0.0170373
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3468807	0.7905906	0.0138232	0.9225880	0.0170373
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.1284338	0.7835025	0.0138232	0.9225880	0.0170373
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0510269	0.7804554	0.0138232	0.9225880	0.0170373
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0235977	0.7791456	0.0138232	0.9225880	0.0170373
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0138781	0.7785825	0.0138232	0.9225880	0.0170373
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0104339	0.7783404	0.0138232	0.9225880	0.0170373
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0092135	0.7782363	0.0138232	0.9225880	0.0170373
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0087810	0.7781916	0.0138232	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0086278	0.7781724	0.0138232	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085735	0.7781641	0.0138232	0.9225880	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.2552798	0.7781576	0.6149288	0.9225880	0.0170373
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.3427111	0.7781577	0.7294166	0.9225880	0.0170373
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.3736924	0.7781578	0.7512223	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.3846707	0.7781578	0.7553755	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3885609	0.7781579	0.7561665	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3899394	0.7781579	0.7563171	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3904278	0.7781579	0.7563458	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3906009	0.7781579	0.7563513	0.9225880	0.0170373
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3906623	0.7781579	0.7563523	0.9225880	0.0170373
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3906840	0.7781579	0.7563525	0.9225880	0.0170373
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.1439556	0.7781579	0.1552474	0.9225880	0.0170373
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0565271	0.7781579	0.0407593	0.9225880	0.0170373
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0255467	0.7781579	0.0189535	0.9225880	0.0170373
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0145687	0.7781579	0.0148003	0.9225880	0.0170373
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0106787	0.7781579	0.0140093	0.9225880	0.0170373
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0093002	0.7781579	0.0138586	0.9225880	0.0170373
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0088118	0.7781579	0.0138299	0.9225880	0.0170373
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0086387	0.7781579	0.0138245	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085773	0.7781579	0.0138234	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085556	0.7781579	0.0138232	0.9225880	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127580	1.0000000	0.4832787	0.9990535	0.3799696	0.0085437	0.7781576	0.4562320	0.9225880	0.0170373
100	0.0132736	1.0000000	0.3858390	0.9994329	0.3799494	0.0085437	0.7781577	0.5405324	0.9225880	0.0170374
150	0.0155633	1.0000000	0.3674645	0.9997409	0.3798988	0.0085437	0.7781578	0.5568548	0.9225877	0.0170375
200	0.0204930	1.0000000	0.3639995	0.9998648	0.3798433	0.0085438	0.7781576	0.5609026	0.9225863	0.0170381
250	0.0264189	1.0000000	0.3633461	0.9998805	0.3798054	0.0085440	0.7781567	0.5635449	0.9225804	0.0170403
300	0.0312418	1.0000000	0.3632229	0.9998323	0.3797884	0.0085447	0.7781525	0.5664271	0.9225625	0.0170451
350	0.0343352	1.0000000	0.3631997	0.9997489	0.3797883	0.0085456	0.7781421	0.5691542	0.9225279	0.0170523
400	0.0360561	1.0000000	0.3631953	0.9996601	0.3797991	0.0085468	0.7781253	0.5712623	0.9224833	0.0170601
450	0.0369346	1.0000000	0.3631945	0.9995871	0.3798147	0.0085478	0.7781065	0.5726573	0.9224412	0.0170666
500	0.0373598	1.0000000	0.3631943	0.9995368	0.3798302	0.0085485	0.7780901	0.5734829	0.9224096	0.0170709
550	0.0259779	1.0000000	0.8799155	0.9983446	0.3798564	0.0085485	0.7780882	0.1434661	0.9224155	0.0170693
600	0.0170925	1.0000000	0.9773553	0.9956027	0.3800692	0.0085467	0.7781179	0.0527024	0.9225009	0.0170541
650	0.0141341	1.0000000	0.9957298	0.9962804	0.3803785	0.0085451	0.7781395	0.0276741	0.9225560	0.0170436
700	0.0131941	1.0000000	0.9991948	0.9975874	0.3804489	0.0085443	0.7781497	0.0190732	0.9225772	0.0170395
750	0.0128846	1.0000000	0.9998482	0.9983528	0.3803374	0.0085439	0.7781543	0.0158380	0.9225844	0.0170381
800	0.0127763	1.0000000	0.9999714	0.9987060	0.3801962	0.0085438	0.7781563	0.0145961	0.9225868	0.0170376
850	0.0127359	1.0000000	0.9999946	0.9988552	0.3800921	0.0085437	0.7781572	0.0141198	0.9225876	0.0170374
900	0.0127202	1.0000000	0.9999990	0.9989155	0.3800304	0.0085437	0.7781576	0.0139375	0.9225879	0.0170374
950	0.0127139	1.0000000	0.9999998	0.9989395	0.3799981	0.0085437	0.7781577	0.0138676	0.9225880	0.0170374
1000	0.0127114	1.0000000	1.0000000	0.9989488	0.3799825	0.0085437	0.7781578	0.0138406	0.9225880	0.0170374

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127940	1.0000000	0.3085294	0.9991025	0.4486630	0.0085437	0.8476533	0.0138294	0.9225880	0.0170373
100	0.0149920	1.0000000	0.1781366	0.9996017	0.4709382	0.0085437	0.8775285	0.0140634	0.9225879	0.0170374
150	0.0464875	1.0000000	0.1535480	0.9998658	0.4781232	0.0085439	0.8903710	0.0188065	0.9225833	0.0170392
200	0.1798713	1.0000000	0.1489112	0.9998786	0.4804444	0.0085696	0.8950100	0.0651409	0.9202351	0.0172548
250	0.3359712	1.0000000	0.1480369	0.9998204	0.4821722	0.0095481	0.8070592	0.2000809	0.8580262	0.0243942
300	0.4279966	1.0000000	0.1478720	0.9998591	0.4897111	0.0158386	0.6806191	0.3462923	0.8023805	0.0605123
350	0.4708630	1.0000000	0.1478409	0.9998951	0.5058576	0.0290519	0.6205670	0.4420172	0.7832061	0.1141072
400	0.4894180	1.0000000	0.1478350	0.9999146	0.5236668	0.0437436	0.5942023	0.4927340	0.7772337	0.1557542
450	0.4972874	1.0000000	0.1478339	0.9999238	0.5372170	0.0552117	0.5827414	0.5172712	0.7753916	0.1798259
500	0.5006188	1.0000000	0.1478337	0.9999280	0.5456010	0.0625238	0.5777720	0.5286292	0.7748172	0.1919712
550	0.2742165	1.0000000	0.8393043	0.9942212	0.4751867	0.0609526	0.2795906	0.5187775	0.7747157	0.1832035
600	0.0931509	1.0000000	0.9696971	0.8408013	0.4244204	0.0356417	0.1655370	0.3977716	0.7764777	0.0972535
650	0.0401384	1.0000000	0.9942857	0.6603198	0.4218942	0.0187746	0.3711751	0.2134563	0.8256975	0.0392203
700	0.0268905	1.0000000	0.9989224	0.7850482	0.4409972	0.0122006	0.6002346	0.0950825	0.8904623	0.0222435
750	0.0209221	1.0000000	0.9997968	0.9141928	0.4335452	0.0098431	0.7016081	0.0484466	0.9131454	0.0182195
800	0.0168932	1.0000000	0.9999617	0.9688367	0.4133253	0.0090050	0.7452452	0.0305190	0.9198521	0.0173050
850	0.0146362	1.0000000	0.9999928	0.9884436	0.3973137	0.0087074	0.7640084	0.0222492	0.9217975	0.0170984
900	0.0135408	1.0000000	0.9999986	0.9952371	0.3881015	0.0086018	0.7720750	0.0180010	0.9223596	0.0170516
950	0.0130530	1.0000000	0.9999997	0.9976034	0.3835437	0.0085643	0.7755429	0.0158161	0.9225219	0.0170408
1000	0.0128474	1.0000000	1.0000000	0.9984482	0.3814761	0.0085510	0.7770337	0.0147364	0.9225688	0.0170382

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0150293	1.0000000	1.0000000	0.3012548	0.4140757	0.0085437	0.7781576	0.0117916	0.9225880	0.2523495
100	0.0401514	1.0000000	1.0000000	0.1039028	0.5364415	0.0085436	0.7781577	0.0091905	0.9225838	0.3041355
150	0.1165769	1.0000000	1.0000000	0.0469733	0.6848404	0.0085436	0.7781523	0.0100747	0.9220214	0.3155826
200	0.2236042	1.0000000	1.0000000	0.0235321	0.7952880	0.0085437	0.7778894	0.0125707	0.8892504	0.3192633
250	0.3038931	1.0000000	1.0000000	0.0113501	0.8608235	0.0085437	0.7760966	0.0127217	0.7070311	0.3274705
300	0.3457871	1.0000000	1.0000000	0.0066963	0.8962541	0.0085436	0.7738223	0.0103863	0.5373595	0.3453212
350	0.3635140	1.0000000	1.0000000	0.0051000	0.9140593	0.0085436	0.7732601	0.0079857	0.4572845	0.3657797
400	0.3702646	1.0000000	1.0000000	0.0045608	0.9224558	0.0085436	0.7737132	0.0065407	0.4253323	0.3810784
450	0.3727194	1.0000000	1.0000000	0.0043762	0.9262155	0.0085436	0.7742480	0.0058658	0.4130986	0.3899216
500	0.3735957	1.0000000	1.0000000	0.0043117	0.9278314	0.0085436	0.7746017	0.0055909	0.4084503	0.3942927
550	0.3660040	1.0000000	1.0000000	0.1577032	0.8962691	0.0085496	0.6476538	0.0331623	0.4228615	0.1935742
600	0.2493747	1.0000000	1.0000000	0.2040380	0.8216283	0.0086135	0.4348045	0.0796368	0.4742003	0.1275671
650	0.1725936	1.0000000	1.0000000	0.2336517	0.7605978	0.0086439	0.4356314	0.0879084	0.5433557	0.0713414
700	0.1300070	1.0000000	1.0000000	0.2854199	0.7174964	0.0086228	0.5633626	0.0770265	0.6523370	0.0390541
750	0.0981268	1.0000000	1.0000000	0.3806363	0.6752307	0.0086007	0.6669615	0.0673781	0.7740501	0.0254309
800	0.0691988	1.0000000	1.0000000	0.5278005	0.6213165	0.0085872	0.7247842	0.0619237	0.8575864	0.0201448
850	0.0456177	1.0000000	1.0000000	0.7073953	0.5563131	0.0085756	0.7538129	0.0566788	0.8988347	0.0181132
900	0.0298115	1.0000000	1.0000000	0.8566813	0.4925617	0.0085628	0.7674443	0.0482861	0.9149051	0.0173766
950	0.0208853	1.0000000	1.0000000	0.9407132	0.4433638	0.0085530	0.7735200	0.0375511	0.9202550	0.0171365
1000	0.0163964	1.0000000	1.0000000	0.9771970	0.4122525	0.0085477	0.7761601	0.0279193	0.9218975	0.0170654

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0038278	1.0000000	1.0000000	0.9992748	0.3865953	0.0085437	0.7817762	0.0117538	0.9225885	0.0170370
100	0.0011534	1.0000000	1.0000000	0.9997331	0.3887029	0.0085436	0.7833319	0.0073989	0.9225890	0.0170366
150	0.0003482	1.0000000	1.0000000	0.9999201	0.3893358	0.0085436	0.7840007	0.0045192	0.9225892	0.0170365
200	0.0001057	1.0000000	1.0000000	0.9999772	0.3895122	0.0085436	0.7842882	0.0032278	0.9225893	0.0170365
250	0.0000327	1.0000000	1.0000000	0.9999935	0.3895573	0.0085436	0.7844118	0.0027494	0.9225893	0.0170365
300	0.0000107	1.0000000	1.0000000	0.9999982	0.3895677	0.0085436	0.7844650	0.0025912	0.9225893	0.0170365
350	0.0000041	1.0000000	1.0000000	0.9999995	0.3895696	0.0085436	0.7844878	0.0025426	0.9225893	0.0170365
