"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0122217	0.6145525	0.6232913	0.5718581	0.2502366	0.0115559	0.5886689	0.0041061	0.6159864	0.1848399
450	0.0085277	0.6055231	0.6626416	0.6368490	0.2255266	0.0070495	0.4913862	0.0038192	0.7232115	0.1612369
500	0.0111719	0.7829758	0.8214173	0.7449285	0.2820859	0.0070362	0.6406734	0.0071007	0.7662078	0.1738056
550	0.0067826	0.6074254	0.7540961	0.7093442	0.3202793	0.0095320	0.4419677	0.0249250	0.6793103	0.0652574
600	0.0229032	0.6523416	0.6753977	0.6894757	0.2440023	0.0058299	0.5643330	0.0174078	0.5855785	0.0149117
650	0.0046692	0.6336056	0.6410727	0.6178491	0.2375471	0.0359727	0.4276080	0.0196959	0.7188990	0.0041112
700	0.0089177	0.6533216	0.6741980	0.6110821	0.2384480	0.0055829	0.5328084	0.0289253	0.7943553	0.0058782
750	0.0039399	0.6988321	0.7607034	0.5703996	0.3006050	0.0123417	0.5043501	0.0295595	0.7052507	0.0069679
800	0.0006433	0.6697974	0.7230855	0.6021599	0.2915094	0.0081405	0.5572519	0.0095620	0.5891990	0.0372833
850	0.0052672	0.6482320	0.6989930	0.7410959	0.2077100	0.0067838	0.5456442	0.0044795	0.7102445	0.0122694
900	0.0109203	0.5966992	0.8716803	0.7434343	0.2375755	0.0194321	0.4534565	0.0115921	0.5812251	0.0152244
950	0.0055813	0.6957463	0.5963560	0.7548643	0.2807674	0.0153351	0.5260135	0.0216052	0.6459696	0.0507032
1000	0.0130248	0.5170695	0.6002757	0.7364171	0.3070620	0.0063181	0.5434565	0.0222434	0.5569831	0.0066590

0	0.0210574	0.5765881	0.6725382	0.6849299	0.3047955	0.0062250	0.5202667	0.0295224	0.6712798	0.0160850
50	0.0323594	0.6978367	0.6404194	0.7032864	0.2827969	0.2125212	0.5060868	0.0342813	0.7217833	0.0210464
100	0.0217176	0.7095560	0.6154567	0.7347487	0.2016985	0.4389684	0.6054969	0.0201131	0.7239643	0.0111771
150	0.0280158	0.5977863	0.7518727	0.6482441	0.2649573	0.6554534	0.6865448	0.0235311	0.5857819	0.0060736
200	0.0084567	0.7007583	0.7310653	0.7074602	0.2914100	0.5638274	0.6018077	0.0150872	0.6865611	0.0049704
250	0.0121127	0.6716000	0.8415353	0.6453438	0.2542117	0.6269860	0.7151849	0.0069008	0.7795212	0.0108273
300	0.0127302	0.6835801	0.6571082	0.5893786	0.2508016	0.6013853	0.6226691	0.0040095	0.5621068	0.0037169
350	0.0047558	0.6152850	0.5419214	0.6134537	0.1898123	0.5369143	0.6171908	0.0154001	0.6452979	0.0059938
400	0.0026236	0.6659833	0.7390310	0.6484037	0.2915250	0.7149355	0.6234905	0.0216862	0.6522857	0.0023890
450	0.0032381	0.6872057	0.8359229	0.5685512	0.3262821	0.6298488	0.5671117	0.0353873	0.5514661	0.0203278
500	0.0140049	0.7573920	0.6686181	0.5703172	0.3422289	0.7388757	0.5533414	0.0067603	0.5709166	0.0064516
550	0.0131072	0.6735616	0.4873664	0.6368493	0.2577667	0.4662553	0.4258917	0.0307617	0.7157571	0.0436119
600	0.0275622	0.6394295	0.5552506	0.6645250	0.2639801	0.2668170	0.5792165	0.0176708	0.6780786	0.0218067
650	0.0124085	0.7050451	0.6621572	0.6880456	0.2499414	0.1325100	0.5594979	0.0810653	0.6990913	0.0128995
700	0.0155117	0.6757229	0.6287909	0.6819019	0.2398407	0.0629520	0.4790281	0.0092165	0.7395751	0.0148219
750	0.0018249	0.6538309	0.5339216	0.6177004	0.2328049	0.0210953	0.4866589	0.0137978	0.7466007	0.0114716
800	0.0133835	0.6570296	0.5013598	0.5814192	0.3427589	0.0207574	0.5882076	0.0069862	0.6161868	0.0061672
850	0.0066444	0.7012561	0.7582596	0.7427548	0.2176312	0.0134253	0.6115608	0.0143507	0.6234425	0.0012895
900	0.0165936	0.7040644	0.6953724	0.5565078	0.2705051	0.0193374	0.5044328	0.0031300	0.5889580	0.0399167
950	0.0194164	0.6734633	0.8151793	0.6116458	0.3273010	0.0204693	0.5231173	0.0054529	0.6426485	0.0268294
1000	0.0155343	0.7773053	0.6428126	0.6671519	0.2361767	0.0139496	0.4732544	0.0124890	0.7290448	0.0154317

0	0.0224528	0.5814416	0.7396579	0.5951005	0.2995752	0.0059041	0.5416706	0.0267189	0.6434859	0.0078727
50	0.0221536	0.6447994	0.5842710	0.6613200	0.2604709	0.1366947	0.5180850	0.1782915	0.5990690	0.0155200
100	0.0082804	0.7060427	0.7527118	0.7277858	0.2253401	0.2024674	0.5942277	0.4905097	0.7235206	0.0413064
150	0.0135059	0.7196543	0.7502659	0.7108772	0.2251632	0.1621577	0.5387379	0.4903529	0.5956692	0.0127993
200	0.0200199	0.6127635	0.7073912	0.7299588	0.1933606	0.2532108	0.4589047	0.4632942	0.6310464	0.0495648
250	0.0035331	0.8573763	0.6218474	0.5909371	0.2770529	0.2531827	0.4631289	0.5306689	0.5822182	0.0080938
300	0.0054353	0.6763642	0.7033834	0.7947084	0.2189475	0.2769885	0.5167302	0.6171061	0.6106806	0.0085227
350	0.0089710	0.6939034	0.5637825	0.9245764	0.2708595	0.3758796	0.4173851	0.5711879	0.5436653	0.0076949
400	0.0011521	0.5942265	0.6406101	0.6639090	0.1963100	0.3505459	0.5271715	0.4774872	0.5360273	0.0153270
450	0.0025460	0.6665501	0.6264174	0.6355573	0.2463621	0.2348460	0.6900473	0.5472071	0.6469379	0.0429727
500	0.0219778	0.6288918	0.7570107	0.6297297	0.3178591	0.2551669	0.5121721	0.4539242	0.5632925	0.0433776
550	0.0070012	0.6517200	0.7206676	0.6728892	0.4255102	0.1483079	0.7324491	0.3166745	0.5772651	0.0013810
600	0.0146845	0.6142403	0.6369483	0.6402296	0.2625623	0.1055539	0.4975373	0.1150784	0.6490272	0.0210382
650	0.0042709	0.6574536	0.7643410	0.6843013	0.2354760	0.0487084	0.4545404	0.0897418	0.5792166	0.0177209
700	0.0014075	0.7704795	0.7797890	0.6594321	0.2190828	0.0490746	0.5480875	0.0505368	0.7032106	0.0039086
750	0.0025133	0.7653152	0.7335270	0.7418863	0.3103523	0.0048286	0.5741549	0.0243291	0.7652170	0.0126827
800	0.0065481	0.5925891	0.6803089	0.7703573	0.2263370	0.0025172	0.4876817	0.0196426	0.6953349	0.0267521
850	0.0092294	0.7078457	0.6004792	0.6804284	0.2629255	0.0089515	0.4648091	0.0195615	0.6406834	0.0319318
900	0.0077022	0.7309792	0.6638155	0.7714101	0.2240351	0.0064421	0.4729150	0.0062148	0.7300380	0.0199069
