0	0.0109981	0.6866113	0.7370386	0.6471671	0.2779825	0.0047461	0.4710459	0.0072906	0.5459742	0.0176616
50	0.0002631	0.6525953	0.3197397	0.3393989	0.2615759	0.0042028	0.629863	0.0104254	0.6788161	0.0135302
100	0.0000882	0.7450729	0.3185178	0.2156419	0.3672895	0.0019815	0.5369749	0.0072915	0.705343	0.0140328
150	0.0046718	0.5502797	0.166857	0.2060192	0.3654775	0.0180628	0.5114126	0.0009499	0.6858952	0.0114123
200	0.0086454	0.5968735	0.1699266	0.1433602	0.4009997	0.0018108	0.5433358	0.0057816	0.6789639	0.0204401
250	0.0009821	0.5162454	0.1500545	0.1875501	0.4291051	0.0102524	0.5355083	0.0046047	0.7338495	0.0079764
300	0.0090022	0.6101599	0.1735738	0.1896695	0.5060752	0.0190581	0.5285828	0.0034146	0.7210273	0.0114237
350	0.0165811	0.7745796	0.2208462	0.1413948	0.4191751	0.0055617	0.4278404	0.0025913	0.7311131	0.0130563
400	0.027503	0.5845801	0.1997704	0.1433898	0.4959953	0.0048124	0.5845191	0.0018848	0.6417624	0.012881
450	0.0109885	0.6574665	0.1559542	0.1162194	0.5270115	0.0101562	0.6426468	0.0016684	0.5442671	0.0099635
500	0.0179319	0.664367	0.2399696	0.1938427	0.4899102	0.0117356	0.5572135	0.009666	0.5428598	0.0166089
550	0.0588182	0.7061089	0.5307234	0.5200358	0.5490562	0.0232683	0.6403179	0.0051471	0.7276878	0.0065772
600	0.0333624	0.7309538	0.698749	0.6458668	0.3691915	0.0022	0.5476453	0.0615943	0.6070969	0.0110279
650	0.0152643	0.547382	0.6712413	0.6484944	0.3354716	0.0035503	0.5443957	0.029801	0.6345058	0.017893
700	0.0293485	0.6567346	0.7204105	0.5771395	0.277695	0.0115246	0.5277545	0.0169202	0.588949	0.004676
750	0.0155706	0.7462983	0.7183469	0.7665291	0.3064335	0.0058284	0.5024578	0.0088222	0.5129386	0.0268591
800	0.0082318	0.7205428	0.6547689	0.8331827	0.2579323	0.0063044	0.5244293	0.0113715	0.5486474	0.0078774
850	0.0048607	0.5791219	0.6707569	0.6754057	0.2863384	0.0064654	0.4188431	0.0092644	0.6466652	0.0100783
900	0.0084774	0.5303847	0.6597756	0.5952626	0.2488979	0.0099889	0.5645035	0.0022168	0.6114956	0.0122105
950	0.0001897	0.6414909	0.7831992	0.7035358	0.2587361	0.0106445	0.5086718	0.0137745	0.5969329	0.0047958
