"Time"	relE	relB	hokD	alaS	ilvN

0	0.1056932	1.0496581	0.1042846	1.0165102	0.9902612
50	0.1075621	1.0502284	0.0900422	0.8736777	0.8086994
100	0.0846386	1.0191469	0.0825326	1.0036524	0.6683104
150	0.1047720	1.0328572	0.1456213	0.9752269	0.7511948
200	0.1145490	1.0032835	0.1248335	1.0440978	0.6802359
250	0.0935485	0.9531010	0.1260858	0.9551965	0.7343499
300	0.0994327	1.0330750	0.1342570	0.9424361	0.7390413
350	0.1223312	0.9569774	0.1035777	1.0142200	0.7482210
400	0.1083588	0.9854929	0.0910394	0.9523873	0.6954202
450	0.1423530	1.0362717	0.0996843	0.9741638	0.6936010
500	0.0800135	1.0587690	0.0995213	1.0348076	0.6685488
550	0.1001477	0.9994335	0.1064230	1.0248769	0.9289937
600	0.0614763	1.0479210	0.0941100	1.1404232	1.0189705
650	0.0953305	1.0465195	0.1273843	1.0499597	0.9883256
700	0.0906174	0.9933783	0.0861900	1.0324553	0.9387238
750	0.1121325	0.9426495	0.0945078	1.0183630	0.9317230
800	0.0886394	1.0140481	0.1330492	1.0677394	0.8887156
850	0.1263980	1.0408667	0.1098001	0.8989942	0.9219166
900	0.0990913	0.9523802	0.1064423	1.0733827	1.0094314
950	0.0880783	0.9784809	0.1275461	1.0262176	1.0679340
1000	0.0882822	1.0115539	0.1068463	1.0563280	1.0029085

0	0.1056932	1.0496581	0.1042846	1.0165102	0.9902612
50	0.0926893	0.9624136	0.1167529	1.0093553	1.0174498
100	0.0990521	0.9780307	0.0742633	1.0213157	1.0404216
150	0.0722495	0.9711252	0.0960465	1.0331612	0.9744139
200	0.0708292	0.9113447	0.0975081	0.9884190	1.0191050
250	0.0798676	0.9927241	0.1206531	1.0563622	0.9811012
300	0.0851194	0.9253828	0.0982515	0.9484452	0.9696522
350	0.0888143	1.0648605	0.1166583	0.9565852	0.9787713
400	0.0982370	0.9617171	0.0885054	1.0320019	1.0590953
450	0.1063254	0.9850335	0.1095965	1.0646109	1.0075405
500	0.1059339	0.9468033	0.0953394	1.0602455	1.1048385
550	0.0860427	0.9604731	0.1137088	0.9967996	1.1122648
600	0.0684617	0.9387235	0.1160942	0.9440780	1.1536571
650	0.1182423	1.0010810	0.1014187	0.9994404	1.0274530
700	0.1054086	0.9827327	0.0845643	1.0253255	1.0320798
750	0.0742047	0.9744517	0.1008087	0.9611978	1.0875610
800	0.1039979	0.9942194	0.1478646	0.9964818	0.9582061
850	0.1450649	1.1055057	0.0989083	0.9369149	1.0024061
900	0.1121060	0.9544379	0.0661604	0.9884814	0.9954878
950	0.1062135	1.0004019	0.0834616	1.0460671	0.9275562
1000	0.0774217	0.9982695	0.0918611	1.0021158	0.9502430

0	0.1056932	1.0496581	0.1042846	1.0165102	0.9902612
50	0.0857206	0.9900316	0.1238137	0.9298451	1.0124136
100	0.0766399	1.0416731	0.1161397	0.9781438	1.0004539
150	0.1110188	1.0091992	0.1169130	0.9566051	1.0530974
200	0.0983141	0.9536393	0.1232907	1.0722800	1.0705910
250	0.0961246	1.0688621	0.1117521	1.1158125	0.9965433
300	0.0971942	1.0302176	0.1041046	1.1231371	1.0092578
350	0.1010105	0.9379920	0.1163358	1.0157752	1.0381816
400	0.1012153	1.0109972	0.0885608	0.9518843	1.0114057
450	0.0621008	0.9831113	0.1151166	1.0220504	1.1114797
500	0.0693836	0.9521245	0.1229606	1.0136147	0.9807625
