"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.6851365	0.1598778	1.0323343	0.0616690	0.0274853	0.0874312	0.5338356	0.2097382	0.0788287	0.0279069	0.7197755	1.0130005	0.0530996	0.5411158	0.9913100	0.0044688	0.0194363	0.4740977	0.0988017	0.5687085
250	0.6570804	0.2094304	1.0457397	0.0837989	0.0348488	0.0638571	0.4265209	0.1833843	0.0795257	0.0245273	0.7037290	1.0853766	0.0574811	0.5589094	1.0396037	0.0025861	0.0359031	0.3751761	0.0788506	0.5215626
300	0.6999291	0.2521877	1.0696373	0.0455657	0.0247852	0.0753506	0.4178719	0.1842465	0.0755532	0.0282383	0.6573115	1.0728835	0.0546955	0.5278859	0.9070839	0.0036236	0.0281412	0.3139133	0.0684770	0.6013560
350	0.7158140	0.2385260	1.0538191	0.0471357	0.0229881	0.0827362	0.5131647	0.2314915	0.0757620	0.0421723	0.6682386	0.9952931	0.0556700	0.5583244	0.9726132	0.0060954	0.0601574	0.4183619	0.0917563	0.5569933
400	0.6967004	0.3042642	1.0048172	0.0425994	0.0390504	0.1081152	0.5640002	0.2589305	0.0874406	0.0317651	0.6458405	0.9568542	0.0573599	0.5595342	0.9582444	0.0064551	0.0356732	0.4517991	0.1057235	0.5849856
450	0.7290455	0.3134312	0.9954604	0.0347991	0.0430590	0.0998476	0.5745062	0.2622741	0.1293991	0.0438949	0.7553527	1.0229915	0.0601294	0.6386978	0.9408587	0.0124494	0.0586713	0.4837865	0.0906113	0.5024450
500	0.8322048	0.2948604	1.0440216	0.0259446	0.0530592	0.1108494	0.7044245	0.2497351	0.1144358	0.0239935	0.8005659	0.9921512	0.0657666	0.6284786	1.0635079	0.0087427	0.0495602	0.5421713	0.0720671	0.5809354
550	0.7730150	0.2674244	1.0459313	0.0406318	0.0460917	0.1939426	0.7492054	0.2205458	0.0756920	0.0196768	0.6215941	0.9693603	0.0521717	0.5527297	1.0230007	0.0058795	0.1028883	0.5702923	0.0724564	0.6597305
600	0.6960819	0.2355057	1.0001548	0.0469202	0.0448051	0.1658790	0.6333464	0.2394088	0.0920075	0.0309782	0.4644446	0.9574611	0.0634123	0.5078595	1.0479344	0.0075951	0.0869381	0.5295666	0.0946337	0.6010829
650	0.8128582	0.2127866	1.0260619	0.0527727	0.0458553	0.1406661	0.7053978	0.2434366	0.1112802	0.0378033	0.3789278	1.0363236	0.0598561	0.5532427	0.9992148	0.0130058	0.1225103	0.6783128	0.1119846	0.5392146
