"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.5351797	0.1717887	0.8053440	0.0343642	0.0252472	0.0529546	0.4709771	0.2320006	0.0562964	0.0166459	0.4530261	0.7038051	0.0449280	0.4605631	0.7892136	0.0017594	0.0131612	0.3020587	0.0301471	0.4967584
250	0.5348347	0.1174026	0.7102658	0.0625220	0.0186089	0.0648526	0.4163480	0.1304057	0.0498954	0.0304137	0.5840003	0.7868272	0.0365319	0.3532391	0.6606209	0.0000093	0.0201547	0.3582967	0.0328523	0.3766465
300	0.5396140	0.1697508	0.6921214	0.0399110	0.0201655	0.0387566	0.2753723	0.1282737	0.0828626	0.0157182	0.4927783	0.6615271	0.0149559	0.4382143	0.6472697	0.0026785	0.0263164	0.1959192	0.0399507	0.2816960
350	0.5136864	0.1688407	0.7185467	0.0493088	0.0139431	0.0685004	0.3620803	0.1379498	0.0520413	0.0306187	0.4110323	0.8415400	0.0276349	0.3644600	0.5335524	0.0010882	0.0216321	0.2438937	0.0584624	0.2912185
400	0.4409952	0.1596109	0.6324617	0.0309756	0.0370168	0.0833514	0.4496736	0.1640382	0.0520246	0.0467484	0.4555628	0.6230806	0.0174633	0.4025505	0.7153203	0.0039711	0.0347353	0.2737980	0.0567351	0.4749492
450	0.5471338	0.1469811	0.7941858	0.0171722	0.0386566	0.1056247	0.3551275	0.1510962	0.0693672	0.0157630	0.5347293	0.7824506	0.0293178	0.4564473	0.6956723	0.0124261	0.0469473	0.2920783	0.0660876	0.2771943
500	0.7313784	0.1659210	0.8504060	0.0408645	0.0128629	0.0588416	0.4167113	0.1689400	0.0865813	0.0309665	0.5119214	0.7407890	0.0392860	0.4031454	0.8877080	0.0038668	0.0291686	0.3260873	0.0788661	0.4493216
550	0.6090472	0.2189928	0.7525667	0.0120718	0.0264208	0.0974820	0.5190805	0.1862615	0.0378969	0.0094217	0.6287441	0.6891015	0.0453652	0.3673178	0.7443950	0.0125806	0.0607530	0.5445297	0.0436603	0.4499101
600	0.5149515	0.2082298	0.7485247	0.0830769	0.0298357	0.1106749	0.5133533	0.1721967	0.0739941	0.0191274	0.4407016	0.8040645	0.0400269	0.4464612	0.7160222	0.0020501	0.0600748	0.4237291	0.0432119	0.5259959
650	0.4784708	0.1952322	0.6492819	0.0427727	0.0495283	0.0920904	0.4705404	0.1973608	0.0429953	0.0105254	0.3048429	0.7032920	0.0320925	0.3707037	0.7887974	0.0137865	0.0774115	0.3699349	0.0604564	0.4229361
700	0.5902298	0.1479764	0.7767843	0.0426262	0.0122647	0.0757727	0.5395569	0.1415304	0.0983845	0.0411695	0.3262218	0.8072285	0.0794306	0.5141602	0.6644082	0.0070206	0.0768423	0.3983422	0.0744242	0.3919209
750	0.4375222	0.1633227	0.6910510	0.0133444	0.0409564	0.0848289	0.5666354	0.1309924	0.0961618	0.0352883	0.3401007	0.7442669	0.0215842	0.4543036	0.7065887	0.0175486	0.1055732	0.4057530	0.0645252	0.5292656
800	0.5739222	0.1406533	0.6510403	0.0720337	0.0250200	0.0663801	0.4000427	0.1552999	0.0797796	0.0160590	0.2890090	0.6623896	0.0415583	0.3058387	0.7660792	0.0058119	0.0663102	0.4058326	0.0781579	0.4131226
850	0.5060245	0.3084550	0.8555256	0.0393376	0.0460520	0.0753421	0.3404151	0.1227354	0.0568134	0.0111119	0.2230021	0.7798813	0.0393518	0.2449535	0.7234279	0.0171552	0.0618624	0.3622799	0.0584609	0.4172289
900	0.7239411	0.1861547	0.8858918	0.0598621	0.0138844	0.1001433	0.5301737	0.2097301	0.0365843	0.0302014	0.2615650	0.7863586	0.0516029	0.2999302	0.6863472	0.0124432	0.0689514	0.4331979	0.0791094	0.4402435
950	0.5991114	0.2061648	0.8024310	0.0483223	0.0215874	0.0987045	0.6683110	0.2111302	0.0279689	0.0261281	0.2552586	0.8198720	0.0536730	0.2180105	0.7507673	0.0089973	0.1045927	0.3968176	0.1074030	0.4305147
1000	0.5625495	0.1360700	0.8650999	0.0591281	0.0203105	0.1572588	0.5642584	0.2504374	0.0325613	0.0389908	0.3126461	0.7391560	0.0342597	0.3788653	0.7856772	0.0091368	0.0546433	0.3196209	0.0787285	0.4382596

0	0.4491064	0.1788831	0.7497358	0.0614999	0.0113477	0.1283245	0.3696352	0.1911109	0.1439257	0.0507123	0.2402260	0.8522966	0.0546438	0.4045613	0.7575649	0.0048907	0.0623650	0.3724507	0.0377605	0.3656525
50	0.5455368	0.1762796	0.5533435	0.0679126	0.0531281	0.0531165	0.4484808	0.1576787	0.0590710	0.0309661	0.2684613	0.7140486	0.0577057	0.3815298	0.7245956	0.0069151	0.0733557	0.4564173	0.0640430	0.4993086
100	0.6490721	0.2610813	0.6496370	0.0371410	0.1012543	0.0984537	0.5514367	0.2097747	0.0822909	0.0538262	0.3538428	0.6499798	0.0948494	0.2869735	0.7519880	0.0087628	0.0788030	0.4175601	0.0240700	0.3968473
150	0.6861004	0.3736309	0.4157148	0.0369031	0.1449669	0.1405237	0.6850606	0.3040806	0.1070340	0.0482145	0.2921398	0.7582857	0.1085845	0.3370023	0.7663931	0.0146025	0.1050372	0.4303895	0.0447670	0.4864519
