"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.7372251	0.2451787	1.0000000	0.0510386	0.0384046	0.1005095	0.6562318	0.2265733	0.0873091	0.0317461	0.7462416	0.9967844	0.0618466	0.5986754	0.9999999	0.0076537	0.0414084	0.5083362	0.0853652	0.5677211
250	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005092	0.6562306	0.2265728	0.0873091	0.0317461	0.7481081	0.9967844	0.0618466	0.6011577	1.0000000	0.0076537	0.0413988	0.5083361	0.0853646	0.5677210
300	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005091	0.6562301	0.2265726	0.0873091	0.0317461	0.7486540	0.9967844	0.0618466	0.6021548	1.0000000	0.0076537	0.0413977	0.5083360	0.0853643	0.5677210
350	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562299	0.2265725	0.0873091	0.0317461	0.7488136	0.9967844	0.0618466	0.6025553	1.0000000	0.0076537	0.0413976	0.5083360	0.0853642	0.5677210
400	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562299	0.2265725	0.0873091	0.0317461	0.7488603	0.9967844	0.0618466	0.6027162	1.0000000	0.0076537	0.0413976	0.5083360	0.0853641	0.5677210
450	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265725	0.0873091	0.0317461	0.7488739	0.9967844	0.0618466	0.6027808	1.0000000	0.0076537	0.0413976	0.5083360	0.0853641	0.5677210
500	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.7488779	0.9967844	0.0618466	0.6028068	1.0000000	0.0076537	0.0413976	0.5083360	0.0853641	0.5677210
550	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.4936576	0.9967844	0.0618466	0.5074625	0.9999160	0.0076537	0.1018763	0.5083360	0.0853640	0.5677210
600	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.4190210	0.9967844	0.0618466	0.4691645	0.9998999	0.0076537	0.1086669	0.5083360	0.0853640	0.5677210
650	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3971943	0.9967844	0.0618466	0.4537809	0.9998968	0.0076537	0.1094294	0.5083360	0.0853640	0.5677210
700	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3908113	0.9967844	0.0618466	0.4476016	0.9998962	0.0076537	0.1095150	0.5083360	0.0853640	0.5677210
750	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3889446	0.9967844	0.0618466	0.4451195	0.9998961	0.0076537	0.1095246	0.5083360	0.0853640	0.5677210
800	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3883987	0.9967844	0.0618466	0.4441225	0.9998960	0.0076537	0.1095257	0.5083360	0.0853640	0.5677210
850	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3882391	0.9967844	0.0618466	0.4437220	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
900	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3881924	0.9967844	0.0618466	0.4435611	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
950	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3881788	0.9967844	0.0618466	0.4434965	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
1000	0.7372250	0.2451787	1.0000000	0.0510385	0.0384046	0.1005090	0.6562298	0.2265724	0.0873091	0.0317461	0.3881748	0.9967844	0.0618466	0.4434706	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7414671	0.2728330	0.6990241	0.0513929	0.1494600	0.1015437	0.6622994	0.2313711	0.0926095	0.0348200	0.3883022	0.9968297	0.0656692	0.4043127	0.9998971	0.0077551	0.1176647	0.5121150	0.0433094	0.5682329
100	0.7865130	0.3657146	0.6195411	0.0533958	0.1977702	0.1181275	0.7174257	0.2615744	0.1191695	0.0479414	0.3916919	0.9973815	0.0804799	0.4163354	0.9999076	0.0082208	0.1553768	0.5599929	0.0241048	0.5765943
150	0.8617278	0.4681283	0.5985509	0.0574011	0.2306634	0.1779049	0.8285631	0.3286805	0.1852739	0.0679791	0.4073628	0.9984031	0.1023730	0.4524654	0.9999259	0.0090739	0.2144826	0.6653297	0.0169621	0.6027064
200	0.9163070	0.5411768	0.5930077	0.0619073	0.2605879	0.2838348	0.9157422	0.4173886	0.2947250	0.0851116	0.4377020	0.9991598	0.1234370	0.4869451	0.9999429	0.0100544	0.2681715	0.7690323	0.0159099	0.6378757
250	0.9444190	0.5830377	0.5915439	0.0654006	0.2860002	0.3983980	0.9603281	0.5007900	0.4033335	0.0951354	0.4735228	0.9995315	0.1384815	0.5104004	0.9999543	0.0108691	0.3042590	0.8383784	0.0171974	0.6674925
300	0.9574879	0.6042481	0.5911573	0.0675622	0.3046459	0.4883655	0.9799625	0.5641703	0.4794258	0.0998374	0.5044768	0.9996910	0.1473440	0.5240841	0.9999608	0.0114197	0.3249710	0.8773970	0.0188670	0.6869580
350	0.9635003	0.6142033	0.5910552	0.0687308	0.3167852	0.5470363	0.9882369	0.6065562	0.5240887	0.1017969	0.5262407	0.9997585	0.1519900	0.5314574	0.9999641	0.0117471	0.3358791	0.8977292	0.0202144	0.6981487
