"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.5221812	0.1061583	0.8518045	0.0374046	0.0377698	0.0773000	0.3896060	0.1977879	0.0908899	0.0243355	0.3694990	0.7678352	0.0545809	0.5179534	0.7702010	0.0032568	0.0098741	0.3747564	0.0669681	0.4119637
250	0.4229303	0.2184446	0.7536422	0.0682043	0.0221943	0.0437263	0.2750438	0.1217952	0.0610157	0.0233190	0.5982124	0.8533996	0.0522485	0.4000976	0.6855605	0.0004060	0.0303135	0.2386168	0.1382889	0.3663781
300	0.4013135	0.1444388	0.7689162	0.0668441	0.0113146	0.0379902	0.2687257	0.1457366	0.0640232	0.0191367	0.4465798	0.8025288	0.0329480	0.3034311	0.5673031	0.0006753	0.0199517	0.1555376	0.0411436	0.4583427
350	0.5970074	0.1792036	0.7960839	0.0263041	0.0180690	0.0493499	0.3558884	0.1602701	0.0651455	0.0534957	0.4778893	0.6961701	0.0513850	0.4646296	0.6362205	0.0025207	0.0475752	0.3665965	0.0557065	0.4357997
400	0.5622214	0.1845697	0.7420271	0.0162499	0.0264983	0.0547010	0.3784301	0.2088024	0.0609633	0.0115355	0.4342128	0.7202998	0.0349461	0.3840584	0.7246954	0.0079883	0.0199993	0.3342710	0.0653232	0.3970802
450	0.5323594	0.2852254	0.7613715	0.0265927	0.0425385	0.0788762	0.3879014	0.2610477	0.0996957	0.0313808	0.6462631	0.6922600	0.0696469	0.5250370	0.7234332	0.0126002	0.0467454	0.3106081	0.0768841	0.3384792
500	0.6579136	0.1833222	0.7539550	0.0228310	0.0472522	0.0640424	0.5798086	0.2192006	0.1031464	0.0156401	0.6006037	0.7173014	0.0398646	0.4212407	0.8773804	0.0083985	0.0715155	0.3739678	0.0388055	0.4881563
550	0.5037925	0.2106265	0.7573189	0.0287837	0.0436377	0.1511922	0.5200319	0.1862391	0.0487233	0.0100428	0.4279859	0.6649835	0.0322636	0.4971593	0.7879901	0.0011754	0.0649860	0.4572839	0.0692377	0.4769335
600	0.5346238	0.1925804	0.6993287	0.0403990	0.0240349	0.1212025	0.4496467	0.1640813	0.0446050	0.0294919	0.3733092	0.6032119	0.0513346	0.3229529	0.7049858	0.0116204	0.0745752	0.3974729	0.0856919	0.3714821
650	0.6845175	0.1445481	0.7410733	0.0393435	0.0476143	0.1133364	0.5670857	0.1521124	0.0965340	0.0400734	0.3225928	0.6326969	0.0501142	0.3662923	0.7528667	0.0125924	0.0666547	0.4270578	0.1005150	0.4342305
700	0.5475149	0.1663179	0.8285278	0.0459455	0.0220661	0.0755769	0.5074372	0.1652393	0.0625836	0.0437586	0.3006092	0.6713972	0.0258374	0.3472820	0.7787493	0.0192763	0.1300071	0.3775984	0.1445971	0.4153987
750	0.6298903	0.1630581	0.5917048	0.0456026	0.0194409	0.0851608	0.4760936	0.1788925	0.0790365	0.0252227	0.3056393	0.7389705	0.0147634	0.2621292	0.5788204	0.0063299	0.1051391	0.3366414	0.0750857	0.5314004
800	0.5466211	0.1720655	0.7130295	0.0175933	0.0089417	0.0517864	0.3342797	0.1328178	0.0605533	0.0208175	0.2648223	0.7061378	0.0458988	0.2114355	0.6619185	0.0084207	0.0674530	0.2886652	0.0829161	0.3645854
850	0.7138267	0.1884862	0.7503545	0.0274139	0.0313717	0.0606266	0.4984736	0.2407633	0.0623413	0.0099729	0.2687283	0.6958180	0.0289141	0.2718774	0.8128407	0.0025267	0.1126856	0.5260062	0.0810549	0.3351260
900	0.5258369	0.1551986	0.7878051	0.0324262	0.0575416	0.0799359	0.5999305	0.1549045	0.0971662	0.0226768	0.3732475	0.7659539	0.0377729	0.3945924	0.6928530	0.0057418	0.1175812	0.4898579	0.1118586	0.4617734
950	0.5615342	0.1714074	0.7280168	0.0401204	0.0286134	0.1233300	0.5369309	0.1529570	0.0675900	0.0097859	0.3185995	0.7202423	0.0177978	0.3814504	0.7521633	0.0104274	0.0682355	0.4868228	0.0465734	0.4394872
1000	0.5482679	0.1410937	0.7437319	0.0405197	0.0349894	0.1302856	0.6122962	0.1977798	0.0568181	0.0113801	0.4275530	0.7611092	0.0338311	0.3597116	0.6838545	0.0012697	0.0560523	0.4363853	0.0708544	0.4001933

0	0.6107443	0.1473824	0.6568734	0.0180807	0.0128513	0.0716948	0.3859003	0.1542913	0.0529042	0.0265360	0.2202392	0.6759603	0.0440945	0.3260738	0.8706696	0.0080338	0.0973462	0.2526094	0.0328832	0.5047223
50	0.6876416	0.2151847	0.4418241	0.0445854	0.0893414	0.0823754	0.4993740	0.1923323	0.0702675	0.0234125	0.2620976	0.6640373	0.0435330	0.3162576	0.7332353	0.0073454	0.1380080	0.5578394	0.0254511	0.4692711
100	0.7121958	0.2233456	0.5149366	0.0580136	0.1829939	0.0911520	0.6093850	0.1784847	0.0761263	0.0312783	0.3509981	0.7448491	0.0712811	0.2553961	0.6978422	0.0070196	0.1754822	0.4975952	0.0372774	0.3899930
150	0.6417684	0.3515781	0.4442696	0.0604040	0.2003680	0.2542824	0.6053143	0.3278445	0.1032541	0.0226456	0.3426638	0.7613977	0.0737426	0.2880745	0.7581009	0.0078087	0.1812330	0.4954359	0.0137686	0.4975469
200	0.6999230	0.4185259	0.4202144	0.0618074	0.2077531	0.2443579	0.7092839	0.4235672	0.2926251	0.0506338	0.3451559	0.7028444	0.0993642	0.4352463	0.7229887	0.0032919	0.2169624	0.5749295	0.0158982	0.5006209
250	0.7135775	0.5463640	0.3885212	0.0212705	0.2643545	0.3285333	0.6554932	0.3569602	0.3380671	0.0517837	0.3214663	0.7514646	0.1093563	0.5005534	0.6985154	0.0077533	0.2762297	0.7352482	0.0151723	0.5642826
300	0.7225720	0.4156656	0.4304953	0.0406689	0.2962829	0.3709280	0.7768818	0.3409169	0.3236352	0.0832794	0.3994636	0.7090591	0.1030242	0.3233751	0.5870170	0.0072601	0.2288940	0.5216452	0.0238886	0.4685643
350	0.7207587	0.3874522	0.3402368	0.0514530	0.3588562	0.3965331	0.7336884	0.4075287	0.4057228	0.1180687	0.4160725	0.7850687	0.1060872	0.3138912	0.7491589	0.0358187	0.2676591	0.5858118	0.0655713	0.5372660
400	0.7426914	0.4775918	0.4246628	0.0463604	0.2914333	0.5809725	0.6770561	0.5076202	0.4983427	0.1088191	0.3809343	0.7358276	0.1040724	0.3628581	0.7216009	0.0067712	0.2980702	0.6660609	0.0287513	0.5545542
450	0.7488861	0.4582743	0.4191971	0.0470985	0.2560702	0.5008921	0.7791982	0.4670950	0.3807212	0.0495887	0.4070155	0.7190197	0.1244043	0.4700290	0.7200806	0.0095702	0.2298239	0.6518599	0.0136195	0.4598512
